geography,industry,sex,year,quarter,Emp,HirN,EarnS
28,00,1,2011,1,494155,73950,3507
28,00,2,2011,1,535741,65220,2268
28,11,1,2011,1,9239,1484,2343
28,11,2,2011,1,2039,372,1912
28,21,1,2011,1,4850,620,6200
28,21,2,2011,1,596,64,3805
28,22,1,2011,1,7118,230,6196
28,22,2,2011,1,2272,117,4063
28,23,1,2011,1,42715,10596,3353
28,23,2,2011,1,6668,1148,2607
28,31-33,1,2011,1,94901,9767,3837
28,31-33,2,2011,1,38140,3819,2500
28,42,1,2011,1,25441,2305,4183
28,42,2,2011,1,8967,836,2972
28,44-45,1,2011,1,60522,8676,2572
28,44-45,2,2011,1,75864,10520,1657
28,48-49,1,2011,1,29197,4138,3320
28,48-49,2,2011,1,9630,1007,2277
28,51,1,2011,1,6995,469,4373
28,51,2,2011,1,6883,566,2750
28,52,1,2011,1,9216,1067,7497
28,52,2,2011,1,23780,2303,2981
28,53,1,2011,1,6411,830,2864
28,53,2,2011,1,5234,654,2130
28,54,1,2011,1,14241,1857,5448
28,54,2,2011,1,17415,2626,2848
28,55,1,2011,1,4811,381,7320
28,55,2,2011,1,6262,446,3237
28,56,1,2011,1,29021,12182,2358
28,56,2,2011,1,21309,7390,1761
28,61,1,2011,1,31480,1720,3553
28,61,2,2011,1,84254,3285,2582
28,62,1,2011,1,26773,2274,5113
28,62,2,2011,1,124949,11435,2489
28,71,1,2011,1,5157,756,1960
28,71,2,2011,1,5693,786,1454
28,72,1,2011,1,42469,11222,1728
28,72,2,2011,1,62341,15391,1331
28,81,1,2011,1,11034,1899,2866
28,81,2,2011,1,10042,1395,1732
28,92,1,2011,1,32563,1477,2634
28,92,2,2011,1,23404,1061,2385
28,00,1,2011,3,503619,85297,3689
28,00,2,2011,3,524306,81319,2374
28,11,1,2011,3,10517,2596,2842
28,11,2,2011,3,2264,695,2033
28,21,1,2011,3,5845,747,5929
28,21,2,2011,3,665,62,3552
28,22,1,2011,3,7067,224,5714
28,22,2,2011,3,2233,89,3584
28,23,1,2011,3,45892,12047,3706
28,23,2,2011,3,7014,1272,2807
28,31-33,1,2011,3,95999,9947,3886
28,31-33,2,2011,3,38289,3859,2659
28,42,1,2011,3,25671,2352,4490
28,42,2,2011,3,8659,917,3157
28,44-45,1,2011,3,61533,10149,2717
28,44-45,2,2011,3,75671,13945,1776
28,48-49,1,2011,3,29622,4798,3689
28,48-49,2,2011,3,9705,1374,2525
28,51,1,2011,3,6851,440,4531
28,51,2,2011,3,6682,535,2834
28,52,1,2011,3,9303,926,6556
28,52,2,2011,3,23483,2095,2963
28,53,1,2011,3,6684,1097,3073
28,53,2,2011,3,5323,669,2345
28,54,1,2011,3,14830,1820,5909
28,54,2,2011,3,16771,1853,3186
28,55,1,2011,3,4993,615,7437
28,55,2,2011,3,6220,569,3298
28,56,1,2011,3,29516,13289,2475
28,56,2,2011,3,20878,8468,1958
28,61,1,2011,3,27673,4038,3567
28,61,2,2011,3,69436,8395,2439
28,62,1,2011,3,27724,3053,6084
28,62,2,2011,3,126499,14669,2734
28,71,1,2011,3,6391,1063,2287
28,71,2,2011,3,6781,1099,1620
28,72,1,2011,3,44148,12271,1794
28,72,2,2011,3,64315,18000,1416
28,81,1,2011,3,11538,2040,3166
28,81,2,2011,3,10216,1482,1882
28,92,1,2011,3,31822,1787,2785
28,92,2,2011,3,23201,1272,2497
28,00,1,2012,1,496337,81791,3735
28,00,2,2012,1,529531,71102,2376
28,11,1,2012,1,9277,1761,2528
28,11,2,2012,1,2105,427,1997
28,21,1,2012,1,5595,789,6843
28,21,2,2012,1,621,69,3943
28,22,1,2012,1,6998,226,6653
28,22,2,2012,1,2232,65,4279
28,23,1,2012,1,42893,13129,3765
28,23,2,2012,1,6543,1524,2889
28,31-33,1,2012,1,97661,9402,4083
28,31-33,2,2012,1,38693,3458,2715
28,42,1,2012,1,25499,2303,4483
28,42,2,2012,1,8832,962,3207
28,44-45,1,2012,1,61665,9056,2721
28,44-45,2,2012,1,77150,11072,1737
28,48-49,1,2012,1,29592,4230,3556
28,48-49,2,2012,1,9857,1026,2453
28,51,1,2012,1,6893,456,4614
28,51,2,2012,1,7194,494,2854
28,52,1,2012,1,9392,594,7853
28,52,2,2012,1,23591,1453,3167
28,53,1,2012,1,6663,829,3194
28,53,2,2012,1,5252,641,2346
28,54,1,2012,1,14483,2026,5698
28,54,2,2012,1,16712,2463,3047
28,55,1,2012,1,4904,437,8087
28,55,2,2012,1,6213,467,3429
28,56,1,2012,1,29168,13647,2449
28,56,2,2012,1,21767,8108,1898
28,61,1,2012,1,30055,3126,3663
28,61,2,2012,1,77824,5568,2642
28,62,1,2012,1,26286,2336,5387
28,62,2,2012,1,123212,11916,2604
28,71,1,2012,1,5205,748,2027
28,71,2,2012,1,5681,813,1469
28,72,1,2012,1,42920,12070,1804
28,72,2,2012,1,63459,17489,1395
28,81,1,2012,1,11155,2013,3095
28,81,2,2012,1,10085,1596,1793
28,92,1,2012,1,30032,2614,2742
28,92,2,2012,1,22508,1490,2471
28,00,1,2012,3,510226,88513,3631
28,00,2,2012,3,535995,84669,2345
28,11,1,2012,3,10483,2217,2789
28,11,2,2012,3,2284,491,2067
28,21,1,2012,3,5600,710,6325
28,21,2,2012,3,651,62,3564
28,22,1,2012,3,6904,243,5725
28,22,2,2012,3,2194,72,3502
28,23,1,2012,3,43979,12438,3660
28,23,2,2012,3,6627,1237,2817
28,31-33,1,2012,3,97102,9868,3813
28,31-33,2,2012,3,38512,4061,2621
28,42,1,2012,3,25527,2248,4450
28,42,2,2012,3,8473,837,3138
28,44-45,1,2012,3,61839,10108,2688
28,44-45,2,2012,3,76047,13907,1749
28,48-49,1,2012,3,29804,4840,3578
28,48-49,2,2012,3,9931,1359,2441
28,51,1,2012,3,7005,590,4449
28,51,2,2012,3,7423,564,2773
28,52,1,2012,3,9611,713,6615
28,52,2,2012,3,23106,1751,2999
28,53,1,2012,3,6808,1020,2966
28,53,2,2012,3,5315,650,2326
28,54,1,2012,3,14466,2337,5719
28,54,2,2012,3,16065,1815,3113
28,55,1,2012,3,5090,494,7007
28,55,2,2012,3,6157,656,3292
28,56,1,2012,3,31890,15702,2387
28,56,2,2012,3,22411,9583,1881
28,61,1,2012,3,29934,3772,3554
28,61,2,2012,3,75610,8211,2452
28,62,1,2012,3,28260,3581,5960
28,62,2,2012,3,128027,16915,2674
28,71,1,2012,3,6873,962,2065
28,71,2,2012,3,7189,947,1530
28,72,1,2012,3,45441,12814,1733
28,72,2,2012,3,66543,18589,1384
28,81,1,2012,3,11720,2031,3148
28,81,2,2012,3,10325,1585,1819
28,92,1,2012,3,31887,1825,2730
28,92,2,2012,3,23106,1375,2476
28,00,1,2013,1,505859,77269,3774
28,00,2,2013,1,546777,68415,2434
28,11,1,2013,1,9382,1603,2557
28,11,2,2013,1,2166,417,2039
28,21,1,2013,1,5581,603,6923
28,21,2,2013,1,634,60,3793
28,22,1,2013,1,7169,336,6629
28,22,2,2013,1,2235,78,4294
28,23,1,2013,1,43550,13183,3722
28,23,2,2013,1,6605,1360,2874
28,31-33,1,2013,1,96803,7813,4155
28,31-33,2,2013,1,38232,3154,2743
28,42,1,2013,1,25430,2212,4594
28,42,2,2013,1,8796,871,3356
28,44-45,1,2013,1,60523,8310,2770
28,44-45,2,2013,1,75218,10213,1763
28,48-49,1,2013,1,29739,4105,3622
28,48-49,2,2013,1,10022,1015,2503
28,51,1,2013,1,6962,505,4965
28,51,2,2013,1,7358,574,2967
28,52,1,2013,1,9189,899,7934
28,52,2,2013,1,23055,2443,3268
28,53,1,2013,1,6589,835,3154
28,53,2,2013,1,5217,644,2354
28,54,1,2013,1,14009,1831,5601
28,54,2,2013,1,16665,2534,3099
28,55,1,2013,1,5163,645,7688
28,55,2,2013,1,6528,577,3431
28,56,1,2013,1,32073,13688,2524
28,56,2,2013,1,23368,8234,1925
28,61,1,2013,1,31668,1747,3716
28,61,2,2013,1,83177,3511,2677
28,62,1,2013,1,29152,2320,5456
28,62,2,2013,1,134503,12147,2703
28,71,1,2013,1,5664,1111,2057
28,71,2,2013,1,6210,1055,1529
28,72,1,2013,1,43544,12307,1776
28,72,2,2013,1,63669,17054,1387
28,81,1,2013,1,11506,1751,3175
28,81,2,2013,1,10011,1397,1833
28,92,1,2013,1,32165,1465,2731
28,92,2,2013,1,23109,1078,2475
28,00,1,2013,3,516318,90890,3770
28,00,2,2013,3,535931,86648,2416
28,11,1,2013,3,10777,1829,2882
28,11,2,2013,3,2384,436,2150
28,21,1,2013,3,5761,671,6297
28,21,2,2013,3,651,48,3607
28,22,1,2013,3,7235,210,5614
28,22,2,2013,3,2210,71,3620
28,23,1,2013,3,48781,14594,4010
28,23,2,2013,3,7224,1445,3019
28,31-33,1,2013,3,95235,10060,3940
28,31-33,2,2013,3,37516,4178,2741
28,42,1,2013,3,25409,2375,4580
28,42,2,2013,3,8574,966,3197
28,44-45,1,2013,3,61904,11378,2783
28,44-45,2,2013,3,75628,15896,1805
28,48-49,1,2013,3,29990,5125,3706
28,48-49,2,2013,3,10086,1590,2501
28,51,1,2013,3,6973,976,4527
28,51,2,2013,3,7262,761,2835
28,52,1,2013,3,9180,612,6962
28,52,2,2013,3,22658,1805,3060
28,53,1,2013,3,6776,1061,3089
28,53,2,2013,3,5308,723,2380
28,54,1,2013,3,14134,1506,5962
28,54,2,2013,3,15871,1830,3223
28,55,1,2013,3,5655,477,6837
28,55,2,2013,3,6458,531,3284
28,56,1,2013,3,33302,14764,2637
28,56,2,2013,3,23284,9711,2032
28,61,1,2013,3,28243,3594,3723
28,61,2,2013,3,70030,7955,2506
28,62,1,2013,3,29236,2846,6024
28,62,2,2013,3,133017,14585,2730
28,71,1,2013,3,6638,1130,2128
28,71,2,2013,3,6955,1138,1604
28,72,1,2013,3,46076,13452,1803
28,72,2,2013,3,66945,20009,1446
28,81,1,2013,3,11899,1996,3289
28,81,2,2013,3,10111,1468,1918
28,92,1,2013,3,33115,2231,2778
28,92,2,2013,3,23758,1501,2523
28,00,1,2014,1,515136,81490,3864
28,00,2,2014,1,549397,71645,2461
28,11,1,2014,1,9249,1528,2677
28,11,2,2014,1,2227,388,2096
28,21,1,2014,1,5504,752,7215
28,21,2,2014,1,638,79,4096
28,22,1,2014,1,7225,207,6724
28,22,2,2014,1,2226,95,4123
28,23,1,2014,1,46775,11377,3806
28,23,2,2014,1,7029,1214,2920
28,31-33,1,2014,1,99311,10878,4274
28,31-33,2,2014,1,39161,3918,2818
28,42,1,2014,1,25670,2320,4631
28,42,2,2014,1,8730,905,3310
28,44-45,1,2014,1,61543,9361,2818
28,44-45,2,2014,1,77016,11671,1778
28,48-49,1,2014,1,29822,4795,3741
28,48-49,2,2014,1,10156,1333,2470
28,51,1,2014,1,7511,1627,4896
28,51,2,2014,1,7610,1738,2982
28,52,1,2014,1,9139,707,8552
28,52,2,2014,1,22743,1532,3325
28,53,1,2014,1,6715,859,3455
28,53,2,2014,1,5212,636,2401
28,54,1,2014,1,14267,1874,5716
28,54,2,2014,1,16903,2491,3152
28,55,1,2014,1,5346,383,7865
28,55,2,2014,1,6614,461,3472
28,56,1,2014,1,33215,14260,2469
28,56,2,2014,1,24636,8850,1877
28,61,1,2014,1,31439,1569,3743
28,61,2,2014,1,81602,3107,2704
28,62,1,2014,1,28724,2171,5758
28,62,2,2014,1,131968,11870,2770
28,71,1,2014,1,5512,856,2036
28,71,2,2014,1,5912,916,1579
28,72,1,2014,1,45339,12622,1809
28,72,2,2014,1,66819,17855,1389
28,81,1,2014,1,11699,1855,3215
28,81,2,2014,1,9639,1422,1906
28,92,1,2014,1,31132,1488,2783
28,92,2,2014,1,22556,1161,2527
28,00,1,2014,3,520507,94352,3804
28,00,2,2014,3,544850,93789,2441
28,11,1,2014,3,10559,1979,2926
28,11,2,2014,3,2434,456,2160
28,21,1,2014,3,5709,782,6526
28,21,2,2014,3,660,52,3782
28,22,1,2014,3,7161,239,5761
28,22,2,2014,3,2243,97,3723
28,23,1,2014,3,45791,12732,3867
28,23,2,2014,3,6807,1360,2889
28,31-33,1,2014,3,98258,10502,4062
28,31-33,2,2014,3,38220,4134,2819
28,42,1,2014,3,25543,2547,4708
28,42,2,2014,3,8438,890,3326
28,44-45,1,2014,3,61925,11524,2777
28,44-45,2,2014,3,76470,15856,1802
28,48-49,1,2014,3,31055,6009,3851
28,48-49,2,2014,3,10592,1979,2566
28,51,1,2014,3,7359,1087,4486
28,51,2,2014,3,7118,1657,2844
28,52,1,2014,3,9155,730,7115
28,52,2,2014,3,22356,2629,3103
28,53,1,2014,3,6847,993,3139
28,53,2,2014,3,5234,639,2462
28,54,1,2014,3,14754,1646,6000
28,54,2,2014,3,16237,1887,3270
28,55,1,2014,3,5297,443,6933
28,55,2,2014,3,6408,656,3311
28,56,1,2014,3,34142,16578,2554
28,56,2,2014,3,24457,11108,1950
28,61,1,2014,3,29536,3945,3697
28,61,2,2014,3,74140,8799,2562
28,62,1,2014,3,29237,3125,6130
28,62,2,2014,3,133494,16364,2784
28,71,1,2014,3,6551,1278,2155
28,71,2,2014,3,6756,1209,1644
28,72,1,2014,3,46545,14194,1789
28,72,2,2014,3,69110,21234,1412
28,81,1,2014,3,11894,2053,3288
28,81,2,2014,3,9990,1512,1962
28,92,1,2014,3,33191,1966,2802
28,92,2,2014,3,23687,1272,2543
28,00,1,2015,1,513655,78350,3876
28,00,2,2015,1,557471,74485,2476
28,11,1,2015,1,8918,1396,2836
28,11,2,2015,1,2235,383,2158
28,21,1,2015,1,5460,326,7623
28,21,2,2015,1,640,33,4578
28,22,1,2015,1,7047,249,7325
28,22,2,2015,1,2236,91,4904
28,23,1,2015,1,41525,9669,3666
28,23,2,2015,1,6379,1032,2931
28,31-33,1,2015,1,98767,10286,4226
28,31-33,2,2015,1,38898,4366,2857
28,42,1,2015,1,25786,2250,4718
28,42,2,2015,1,8694,828,3406
28,44-45,1,2015,1,61972,9503,2741
