geography,industry,sex,year,quarter,Emp,HirN,EarnS
30,00,1,2011,1,186296,23079,3539
30,00,2,2011,1,207163,21622,2235
30,11,1,2011,1,2921,547,2657
30,11,2,2011,1,957,198,1571
30,21,1,2011,1,6005,969,7142
30,21,2,2011,1,704,103,4897
30,22,1,2011,1,2539,45,7251
30,22,2,2011,1,811,39,5064
30,23,1,2011,1,17478,2469,3106
30,23,2,2011,1,2964,356,2283
30,31-33,1,2011,1,12060,1074,3990
30,31-33,2,2011,1,4394,381,2516
30,42,1,2011,1,11460,919,4577
30,42,2,2011,1,3818,305,2621
30,44-45,1,2011,1,25919,2790,2533
30,44-45,2,2011,1,27259,2712,1592
30,48-49,1,2011,1,8135,1079,3246
30,48-49,2,2011,1,2615,266,2153
30,51,1,2011,1,4208,311,3847
30,51,2,2011,1,3088,262,2723
30,52,1,2011,1,4321,270,7741
30,52,2,2011,1,10564,500,3309
30,53,1,2011,1,2667,398,2555
30,53,2,2011,1,2527,298,1917
30,54,1,2011,1,8583,967,5330
30,54,2,2011,1,9978,1056,2863
30,55,1,2011,1,1002,67,5992
30,55,2,2011,1,1228,72,2928
30,56,1,2011,1,9500,2446,2423
30,56,2,2011,1,7916,1759,1826
30,61,1,2011,1,14096,1290,3360
30,61,2,2011,1,29023,1981,2565
30,62,1,2011,1,12745,1204,4766
30,62,2,2011,1,47859,4198,2531
30,71,1,2011,1,4554,715,1831
30,71,2,2011,1,5586,841,1170
30,72,1,2011,1,17694,3841,1318
30,72,2,2011,1,23370,4368,1086
30,81,1,2011,1,6826,976,2579
30,81,2,2011,1,8435,1047,1532
30,92,1,2011,1,13582,702,3533
30,92,2,2011,1,14066,880,2713
30,00,1,2011,3,204100,43617,3806
30,00,2,2011,3,211676,38322,2326
30,11,1,2011,3,3459,1235,3020
30,11,2,2011,3,1254,392,1633
30,21,1,2011,3,6854,1364,6762
30,21,2,2011,3,872,153,4834
30,22,1,2011,3,2692,106,7408
30,22,2,2011,3,855,31,4631
30,23,1,2011,3,23213,8278,3933
30,23,2,2011,3,3784,1086,2618
30,31-33,1,2011,3,12728,1674,4069
30,31-33,2,2011,3,4594,699,2660
30,42,1,2011,3,12117,1283,4616
30,42,2,2011,3,3949,485,2782
30,44-45,1,2011,3,27445,4924,2788
30,44-45,2,2011,3,28486,5766,1824
30,48-49,1,2011,3,8417,1650,3647
30,48-49,2,2011,3,2532,468,2216
30,51,1,2011,3,4352,440,4185
30,51,2,2011,3,3160,322,3023
30,52,1,2011,3,4435,357,6453
30,52,2,2011,3,10607,734,3275
30,53,1,2011,3,2885,594,2878
30,53,2,2011,3,2735,439,2063
30,54,1,2011,3,9243,1215,5686
30,54,2,2011,3,10043,1208,3074
30,55,1,2011,3,1057,137,5049
30,55,2,2011,3,1286,139,2978
30,56,1,2011,3,11451,4671,2852
30,56,2,2011,3,8968,2911,2067
30,61,1,2011,3,11264,2217,3101
30,61,2,2011,3,21326,2906,1820
30,62,1,2011,3,13048,1634,5702
30,62,2,2011,3,48320,5824,2859
30,71,1,2011,3,5807,1419,2095
30,71,2,2011,3,6591,1588,1295
30,72,1,2011,3,20647,7838,1573
30,72,2,2011,3,28424,10413,1328
30,81,1,2011,3,7495,1368,2787
30,81,2,2011,3,8762,1501,1671
30,92,1,2011,3,15493,1214,3778
30,92,2,2011,3,15128,1260,2815
30,00,1,2012,1,191642,25749,3830
30,00,2,2012,1,209297,23682,2385
30,11,1,2012,1,2930,444,2787
30,11,2,2012,1,945,145,1615
30,21,1,2012,1,6680,1220,7445
30,21,2,2012,1,832,83,5072
30,22,1,2012,1,2630,73,7695
30,22,2,2012,1,830,19,5207
30,23,1,2012,1,18692,3314,3255
30,23,2,2012,1,3133,465,2403
