geography,industry,sex,year,quarter,Emp,HirN,EarnS
37,00,1,2011,1,1776741,284619,4652
37,00,2,2011,1,1911974,258579,2892
37,11,1,2011,1,16166,4713,2763
37,11,2,2011,1,6698,2956,2114
37,21,1,2011,1,2310,152,4148
37,21,2,2011,1,345,50,3608
37,22,1,2011,1,10265,249,7756
37,22,2,2011,1,2838,108,5250
37,23,1,2011,1,131817,39102,3394
37,23,2,2011,1,29853,17527,2528
37,31-33,1,2011,1,292102,22798,5257
37,31-33,2,2011,1,145788,11345,3621
37,42,1,2011,1,116549,10641,5721
37,42,2,2011,1,49711,5385,3862
37,44-45,1,2011,1,211595,29232,2699
37,44-45,2,2011,1,231582,27991,1729
37,48-49,1,2011,1,76430,8819,3915
37,48-49,2,2011,1,28514,2724,2759
37,51,1,2011,1,34959,3406,7429
37,51,2,2011,1,28276,2856,5255
37,52,1,2011,1,54749,5505,14507
37,52,2,2011,1,89377,6600,5267
37,53,1,2011,1,23031,3353,3749
37,53,2,2011,1,20637,2900,2615
37,54,1,2011,1,93189,15690,7030
37,54,2,2011,1,93497,14797,3942
37,55,1,2011,1,39750,3381,10589
37,55,2,2011,1,44567,3807,5003
37,56,1,2011,1,131522,49939,2930
37,56,2,2011,1,100671,36720,2204
37,61,1,2011,1,109077,7559,3890
37,61,2,2011,1,265368,12693,2973
37,62,1,2011,1,102100,12515,5991
37,62,2,2011,1,432631,41403,2880
37,71,1,2011,1,28375,5096,3146
37,71,2,2011,1,23733,4389,1462
37,72,1,2011,1,142756,49433,1513
37,72,2,2011,1,180243,52679,1147
37,81,1,2011,1,44227,9098,2816
37,81,2,2011,1,45698,8372,1904
37,92,1,2011,1,115771,3938,3309
37,92,2,2011,1,91948,3276,3032
37,00,1,2011,3,1853392,373421,4375
37,00,2,2011,3,1906017,352357,2903
37,11,1,2011,3,20894,9492,2739
37,11,2,2011,3,9588,6686,2159
37,21,1,2011,3,2582,239,4309
37,21,2,2011,3,392,72,3305
37,22,1,2011,3,9703,295,6392
37,22,2,2011,3,2790,127,4608
37,23,1,2011,3,144659,49877,3748
37,23,2,2011,3,32222,22097,2822
37,31-33,1,2011,3,299627,26815,4997
37,31-33,2,2011,3,147261,13889,3504
37,42,1,2011,3,121499,12517,5668
37,42,2,2011,3,51496,6692,4016
37,44-45,1,2011,3,207079,44486,2871
37,44-45,2,2011,3,224822,49372,1903
37,48-49,1,2011,3,79244,10713,3698
37,48-49,2,2011,3,28299,3646,2740
37,51,1,2011,3,40134,3176,5826
37,51,2,2011,3,31784,2764,4119
37,52,1,2011,3,52471,4361,7890
37,52,2,2011,3,85853,5555,4088
37,53,1,2011,3,25469,4283,3793
37,53,2,2011,3,23727,3967,2782
37,54,1,2011,3,97962,17042,7016
37,54,2,2011,3,94238,15672,4143
37,55,1,2011,3,40664,3612,6673
37,55,2,2011,3,41521,3894,4136
37,56,1,2011,3,148679,68214,2980
37,56,2,2011,3,107491,50107,2337
37,61,1,2011,3,95378,10490,4270
37,61,2,2011,3,208150,17595,2868
37,62,1,2011,3,106852,15826,6708
37,62,2,2011,3,446321,52886,3185
37,71,1,2011,3,38123,7902,2942
37,71,2,2011,3,30467,7123,1554
37,72,1,2011,3,155677,67782,1649
37,72,2,2011,3,197235,74763,1285
37,81,1,2011,3,48162,10852,3025
37,81,2,2011,3,49144,10800,2044
37,92,1,2011,3,118533,5447,3567
37,92,2,2011,3,93215,4652,3221
37,00,1,2012,1,1820930,314681,4799
37,00,2,2012,1,1941824,285719,3029
37,11,1,2012,1,16536,5183,2901
37,11,2,2012,1,6947,3417,2250
37,21,1,2012,1,2394,209,4419
37,21,2,2012,1,362,54,3957
37,22,1,2012,1,9714,283,8018
37,22,2,2012,1,2799,100,5495
37,23,1,2012,1,135525,42914,3691
37,23,2,2012,1,30091,19041,2759
37,31-33,1,2012,1,296623,25247,5430
37,31-33,2,2012,1,143096,12452,3845
37,42,1,2012,1,118607,11194,6095
37,42,2,2012,1,50188,6157,4264
37,44-45,1,2012,1,217058,31961,2843
37,44-45,2,2012,1,237036,30250,1815
37,48-49,1,2012,1,79038,8281,3589
37,48-49,2,2012,1,29784,2673,2706
37,51,1,2012,1,39222,3044,7551
37,51,2,2012,1,30772,2558,5049
37,52,1,2012,1,52323,4080,13366
37,52,2,2012,1,84319,5580,5246
37,53,1,2012,1,23534,3294,4151
37,53,2,2012,1,20796,2977,2859
37,54,1,2012,1,95005,15874,7581
37,54,2,2012,1,95473,16450,4266
37,55,1,2012,1,43249,2736,10638
37,55,2,2012,1,45273,2759,5185
37,56,1,2012,1,138106,54887,3396
37,56,2,2012,1,106707,40042,2530
37,61,1,2012,1,109462,7571,3949
37,61,2,2012,1,264611,13352,3011
37,62,1,2012,1,106474,13274,6344
37,62,2,2012,1,445558,45143,3130
37,71,1,2012,1,29249,5235,3467
37,71,2,2012,1,23156,4571,1550
37,72,1,2012,1,148286,56187,1601
37,72,2,2012,1,187668,59055,1219
37,81,1,2012,1,45999,9935,2978
37,81,2,2012,1,47496,9520,2011
37,92,1,2012,1,114526,13291,3433
37,92,2,2012,1,89691,9568,3137
37,00,1,2012,3,1884268,365189,4320
37,00,2,2012,3,1935066,352815,2877
37,11,1,2012,3,20769,9555,2732
37,11,2,2012,3,9547,6460,2191
37,21,1,2012,3,2550,194,4321
37,21,2,2012,3,371,57,3623
37,22,1,2012,3,9745,206,6439
37,22,2,2012,3,2825,103,4880
37,23,1,2012,3,141684,47034,3748
37,23,2,2012,3,31573,21925,2868
37,31-33,1,2012,3,303583,26624,4837
37,31-33,2,2012,3,144690,14099,3466
37,42,1,2012,3,122800,12053,5526
37,42,2,2012,3,52387,6985,4013
37,44-45,1,2012,3,224931,40095,2766
37,44-45,2,2012,3,240056,45406,1836
37,48-49,1,2012,3,80181,9602,3603
37,48-49,2,2012,3,29578,3541,2674
37,51,1,2012,3,39616,3046,6312
37,51,2,2012,3,31073,2445,4347
37,52,1,2012,3,53682,4596,7826
37,52,2,2012,3,84531,6286,4131
37,53,1,2012,3,25457,4102,3826
37,53,2,2012,3,23650,3826,2812
37,54,1,2012,3,98468,15633,7193
37,54,2,2012,3,96726,14381,4162
37,55,1,2012,3,43451,3062,6793
37,55,2,2012,3,44870,3587,4071
37,56,1,2012,3,150239,66742,3226
37,56,2,2012,3,111919,49844,2481
37,61,1,2012,3,92915,11573,4239
37,61,2,2012,3,203617,21337,2886
37,62,1,2012,3,109092,15477,6442
37,62,2,2012,3,449484,50918,3140
37,71,1,2012,3,39240,8785,3200
37,71,2,2012,3,31662,8028,1671
37,72,1,2012,3,162253,71041,1634
37,72,2,2012,3,204947,78478,1282
37,81,1,2012,3,48956,11342,2986
37,81,2,2012,3,50542,11098,2039
37,92,1,2012,3,114657,4429,3385
37,92,2,2012,3,91021,4008,3056
37,00,1,2013,1,1854166,316175,4862
37,00,2,2013,1,1970359,291989,3102
37,11,1,2013,1,16741,5441,2852
37,11,2,2013,1,7132,3606,2233
37,21,1,2013,1,2340,187,4512
37,21,2,2013,1,353,75,4371
37,22,1,2013,1,10158,754,8503
37,22,2,2013,1,2855,490,5842
37,23,1,2013,1,134101,42489,3744
37,23,2,2013,1,29908,20206,2840
37,31-33,1,2013,1,303264,23621,5453
37,31-33,2,2013,1,144386,12170,3931
37,42,1,2013,1,119550,12104,6157
37,42,2,2013,1,50978,6314,4366
37,44-45,1,2013,1,220576,33675,2857
37,44-45,2,2013,1,238367,31583,1834
37,48-49,1,2013,1,78912,8126,3730
37,48-49,2,2013,1,28975,2946,2877
37,51,1,2013,1,40439,3367,7954
37,51,2,2013,1,30646,2788,5218
