geography,industry,sex,year,quarter,Emp,HirN,EarnS
38,00,1,2011,1,175685,28516,4195
38,00,2,2011,1,172317,19378,2387
38,11,1,2011,1,2313,398,2680
38,11,2,2011,1,688,119,1684
38,21,1,2011,1,12420,4276,7391
38,21,2,2011,1,993,251,5085
38,22,1,2011,1,2682,86,6338
38,22,2,2011,1,588,8,4568
38,23,1,2011,1,17036,3779,3547
38,23,2,2011,1,2154,432,2585
38,31-33,1,2011,1,17326,1584,4013
38,31-33,2,2011,1,5821,463,2689
38,42,1,2011,1,16383,1643,5123
38,42,2,2011,1,4748,435,2803
38,44-45,1,2011,1,20915,2664,2726
38,44-45,2,2011,1,21880,2792,1538
38,48-49,1,2011,1,9860,2382,4351
38,48-49,2,2011,1,2149,391,2555
38,51,1,2011,1,4133,232,4857
38,51,2,2011,1,3368,199,3275
38,52,1,2011,1,4944,380,7031
38,52,2,2011,1,11141,949,3359
38,53,1,2011,1,2402,477,4862
38,53,2,2011,1,1753,229,1906
38,54,1,2011,1,6190,807,5368
38,54,2,2011,1,5885,879,2788
38,55,1,2011,1,2659,158,7019
38,55,2,2011,1,2311,135,3712
38,56,1,2011,1,6360,2446,2416
38,56,2,2011,1,5529,1271,1950
38,61,1,2011,1,10963,735,3744
38,61,2,2011,1,23054,1266,2743
38,62,1,2011,1,9806,818,6222
38,62,2,2011,1,45596,3561,2617
38,71,1,2011,1,3340,469,1795
38,71,2,2011,1,3550,474,1252
38,72,1,2011,1,12450,3613,1288
38,72,2,2011,1,17340,4197,1017
38,81,1,2011,1,4945,950,2809
38,81,2,2011,1,6208,859,1469
38,92,1,2011,1,8557,618,3522
38,92,2,2011,1,7560,469,2943
38,00,1,2011,3,195888,52525,4651
38,00,2,2011,3,174525,32318,2548
38,11,1,2011,3,2946,999,3464
38,11,2,2011,3,809,389,1848
38,21,1,2011,3,15222,5753,8017
38,21,2,2011,3,1255,516,5242
38,22,1,2011,3,2797,102,6965
38,22,2,2011,3,622,31,4737
38,23,1,2011,3,24453,12686,4733
38,23,2,2011,3,2933,1263,3209
38,31-33,1,2011,3,18461,2702,4244
38,31-33,2,2011,3,6010,741,2936
38,42,1,2011,3,17696,2010,5180
38,42,2,2011,3,5000,680,2968
38,44-45,1,2011,3,21589,4760,2886
38,44-45,2,2011,3,22241,5645,1770
38,48-49,1,2011,3,11540,4438,4850
38,48-49,2,2011,3,2342,834,2906
38,51,1,2011,3,4263,279,6289
38,51,2,2011,3,3374,270,4177
38,52,1,2011,3,5095,333,5639
38,52,2,2011,3,11522,764,3130
38,53,1,2011,3,2656,685,4711
38,53,2,2011,3,1856,290,2198
38,54,1,2011,3,6898,1150,6023
38,54,2,2011,3,6066,875,3052
38,55,1,2011,3,2838,200,6249
38,55,2,2011,3,2420,169,3733
38,56,1,2011,3,7672,5697,2933
38,56,2,2011,3,6004,2759,2157
38,61,1,2011,3,9082,1161,3376
38,61,2,2011,3,17357,1952,2096
38,62,1,2011,3,10082,1140,7868
38,62,2,2011,3,46591,4999,3027
38,71,1,2011,3,4926,875,1922
38,71,2,2011,3,5131,1002,1413
38,72,1,2011,3,12950,5316,1507
38,72,2,2011,3,18658,7368,1200
38,81,1,2011,3,5216,1406,3147
38,81,2,2011,3,6260,1099,1646
38,92,1,2011,3,9507,834,3725
38,92,2,2011,3,8074,671,3093
38,00,1,2012,1,200087,42217,4792
38,00,2,2012,1,178782,23597,2605
38,11,1,2012,1,2471,347,2868
38,11,2,2012,1,692,121,1914
38,21,1,2012,1,19546,7070,8457
38,21,2,2012,1,1557,546,5697
38,22,1,2012,1,2719,95,6913
38,22,2,2012,1,608,29,5079
38,23,1,2012,1,21535,6663,4181
38,23,2,2012,1,2685,678,2943
38,31-33,1,2012,1,18715,2109,4405
38,31-33,2,2012,1,6007,661,2947
38,42,1,2012,1,17953,2395,5826
38,42,2,2012,1,4998,530,3213
38,44-45,1,2012,1,22161,3699,3017
38,44-45,2,2012,1,22761,3558,1726
38,48-49,1,2012,1,13971,5088,5190
38,48-49,2,2012,1,2734,734,3014
38,51,1,2012,1,4084,222,5313
38,51,2,2012,1,3320,205,3690
38,52,1,2012,1,5005,337,7249
38,52,2,2012,1,11344,750,3517
38,53,1,2012,1,2841,643,5022
38,53,2,2012,1,1829,280,2219
38,54,1,2012,1,7120,1344,5993
38,54,2,2012,1,6135,917,3055
38,55,1,2012,1,2850,211,7835
38,55,2,2012,1,2403,154,4229
38,56,1,2012,1,6871,3182,3094
38,56,2,2012,1,5752,1466,2209
38,61,1,2012,1,10978,686,3889
38,61,2,2012,1,23182,1238,2859
38,62,1,2012,1,10205,983,6598
38,62,2,2012,1,46299,4026,2872
38,71,1,2012,1,3433,501,1832
38,71,2,2012,1,3696,547,1342
38,72,1,2012,1,13581,4917,1502
38,72,2,2012,1,18767,5635,1160
38,81,1,2012,1,5319,1176,3056
38,81,2,2012,1,6328,1148,1591
38,92,1,2012,1,8729,549,3639
38,92,2,2012,1,7685,375,3074
38,00,1,2012,3,224787,52910,4903
38,00,2,2012,3,181475,34839,2638
38,11,1,2012,3,3155,1226,3296
38,11,2,2012,3,847,457,1939
38,21,1,2012,3,23721,5443,8185
38,21,2,2012,3,1931,547,5627
38,22,1,2012,3,2907,127,6741
38,22,2,2012,3,657,42,4774
38,23,1,2012,3,29988,12249,4967
38,23,2,2012,3,3502,1317,3275
38,31-33,1,2012,3,19549,2407,4253
38,31-33,2,2012,3,6325,733,2972
38,42,1,2012,3,19746,2380,5288
38,42,2,2012,3,5372,769,3124
38,44-45,1,2012,3,23094,5443,2980
38,44-45,2,2012,3,23245,6069,1834
38,48-49,1,2012,3,16315,4810,5270
38,48-49,2,2012,3,3001,808,3587
38,51,1,2012,3,4155,257,6811
38,51,2,2012,3,3318,269,4473
38,52,1,2012,3,5203,431,5829
38,52,2,2012,3,11447,1302,3264
38,53,1,2012,3,3290,738,5220
38,53,2,2012,3,1997,322,2553
38,54,1,2012,3,8210,1281,6310
38,54,2,2012,3,6410,847,3193
38,55,1,2012,3,3073,267,5953
38,55,2,2012,3,2534,183,3743
38,56,1,2012,3,8430,4147,3065
38,56,2,2012,3,6113,2408,2230
38,61,1,2012,3,9050,1173,3439
38,61,2,2012,3,17746,2141,2156
38,62,1,2012,3,10436,1151,7991
38,62,2,2012,3,47176,5075,3074
38,71,1,2012,3,5093,1077,1976
38,71,2,2012,3,5325,1264,1457
38,72,1,2012,3,14127,6267,1646
38,72,2,2012,3,19958,8324,1279
38,81,1,2012,3,5704,1320,3315
38,81,2,2012,3,6546,1326,1708
38,92,1,2012,3,9539,716,3693
38,92,2,2012,3,8025,634,3122
38,00,1,2013,1,213540,37869,4905
38,00,2,2013,1,183892,23837,2725
38,11,1,2013,1,2559,417,3058
38,11,2,2013,1,720,159,1912
38,21,1,2013,1,22489,4898,8294
38,21,2,2013,1,1937,454,5717
38,22,1,2013,1,2777,92,7083
38,22,2,2013,1,629,24,5131
38,23,1,2013,1,24247,6611,4468
38,23,2,2013,1,3006,703,3179
