geography,industry,sex,year,quarter,Emp,HirN,EarnS
35,00,1,2011,1,363848,54497,3691
35,00,2,2011,1,374215,44826,2520
35,11,1,2011,1,6885,1311,2397
35,11,2,2011,1,2684,566,2041
35,21,1,2011,1,16983,3172,6380
35,21,2,2011,1,2815,422,4384
35,22,1,2011,1,4957,253,6180
35,22,2,2011,1,1698,85,4336
35,23,1,2011,1,37815,7818,3393
35,23,2,2011,1,7942,1398,2484
35,31-33,1,2011,1,19177,1582,4648
35,31-33,2,2011,1,8555,724,3009
35,42,1,2011,1,15289,1439,4353
35,42,2,2011,1,5710,557,3164
35,44-45,1,2011,1,46800,6967,2665
35,44-45,2,2011,1,47774,6033,1856
35,48-49,1,2011,1,12204,1922,3681
35,48-49,2,2011,1,4896,510,2336
35,51,1,2011,1,8340,1732,3735
35,51,2,2011,1,6302,1154,2936
35,52,1,2011,1,5619,473,6622
35,52,2,2011,1,14684,1070,3507
35,53,1,2011,1,5666,712,3201
35,53,2,2011,1,4246,506,2256
35,54,1,2011,1,25572,2477,5908
35,54,2,2011,1,20322,2614,3587
35,55,1,2011,1,2656,345,5408
35,55,2,2011,1,2991,265,3580
35,56,1,2011,1,24480,6091,3180
35,56,2,2011,1,17483,4292,2353
35,61,1,2011,1,25118,1615,3326
35,61,2,2011,1,55461,2654,2766
35,62,1,2011,1,27076,2832,4443
35,62,2,2011,1,91162,8848,2702
35,71,1,2011,1,8354,992,2346
35,71,2,2011,1,7406,754,1824
35,72,1,2011,1,37232,9284,1501
35,72,2,2011,1,42585,9737,1271
35,81,1,2011,1,10423,1873,2814
35,81,2,2011,1,10071,1577,1843
35,92,1,2011,1,23203,1605,3394
35,92,2,2011,1,19428,1060,2839
35,00,1,2011,3,376179,73834,4101
35,00,2,2011,3,365927,62775,2742
35,11,1,2011,3,8692,4173,2491
35,11,2,2011,3,3394,1536,2099
35,21,1,2011,3,17520,3788,6317
35,21,2,2011,3,2965,534,4391
35,22,1,2011,3,4987,234,6042
35,22,2,2011,3,1799,106,3991
35,23,1,2011,3,38576,9930,3834
35,23,2,2011,3,8156,1823,2810
35,31-33,1,2011,3,21109,2977,5200
35,31-33,2,2011,3,8767,1415,3594
35,42,1,2011,3,15513,2004,4586
35,42,2,2011,3,5856,879,3266
35,44-45,1,2011,3,45762,9280,2883
35,44-45,2,2011,3,45268,9787,2039
35,48-49,1,2011,3,13035,2493,4200
35,48-49,2,2011,3,4835,633,2466
35,51,1,2011,3,8670,1715,3926
35,51,2,2011,3,6227,1251,3095
35,52,1,2011,3,5996,676,5929
35,52,2,2011,3,14814,1539,3390
35,53,1,2011,3,5657,997,3550
35,53,2,2011,3,4219,724,2500
35,54,1,2011,3,32379,2867,7109
35,54,2,2011,3,23139,2304,4399
35,55,1,2011,3,2671,283,5420
35,55,2,2011,3,3023,352,3572
35,56,1,2011,3,25687,9242,3406
35,56,2,2011,3,18252,6327,2556
35,61,1,2011,3,21323,2425,3396
35,61,2,2011,3,43976,3965,2597
35,62,1,2011,3,27284,3654,4962
35,62,2,2011,3,90108,11420,3014
35,71,1,2011,3,9008,1388,2632
35,71,2,2011,3,7993,1217,2040
35,72,1,2011,3,38562,11462,1687
35,72,2,2011,3,43995,13157,1439
35,81,1,2011,3,11862,2129,3054
35,81,2,2011,3,10629,1869,2009
35,92,1,2011,3,21886,2118,3902
35,92,2,2011,3,18513,1939,3251
35,00,1,2012,1,365192,58727,4088
35,00,2,2012,1,369049,47755,2718
35,11,1,2012,1,7061,2010,2487
35,11,2,2012,1,2755,949,2125
35,21,1,2012,1,18532,3962,6364
35,21,2,2012,1,3072,598,4364
35,22,1,2012,1,4250,176,6443
35,22,2,2012,1,1406,60,4325
35,23,1,2012,1,34317,8433,3608
35,23,2,2012,1,7507,1528,2657
35,31-33,1,2012,1,21602,1824,5912
35,31-33,2,2012,1,8925,837,3980
35,42,1,2012,1,15263,1481,4586
35,42,2,2012,1,5567,704,3306
35,44-45,1,2012,1,46346,6917,2880
35,44-45,2,2012,1,46487,6450,2006
35,48-49,1,2012,1,13628,2083,4041
35,48-49,2,2012,1,4883,594,2454
35,51,1,2012,1,8250,2566,4013
35,51,2,2012,1,5890,1278,3147
35,52,1,2012,1,6061,634,7082
35,52,2,2012,1,15342,1388,3683
35,53,1,2012,1,5394,858,3245
35,53,2,2012,1,4101,608,2369
35,54,1,2012,1,31125,2393,7157
35,54,2,2012,1,22773,2366,4408
35,55,1,2012,1,2320,248,5669
35,55,2,2012,1,2873,291,3815
35,56,1,2012,1,23039,5911,3315
35,56,2,2012,1,16605,3593,2459
35,61,1,2012,1,24385,1703,3485
35,61,2,2012,1,52508,2875,2839
35,62,1,2012,1,27223,3178,4630
35,62,2,2012,1,90584,9471,2825
35,71,1,2012,1,7930,1189,2492
35,71,2,2012,1,6901,1135,2001
35,72,1,2012,1,36454,9704,1584
35,72,2,2012,1,41350,10093,1353
35,81,1,2012,1,10442,2017,2940
35,81,2,2012,1,9949,1716,1951
35,92,1,2012,1,21571,1437,3606
35,92,2,2012,1,19570,1220,2975
35,00,1,2012,3,377363,70120,3990
35,00,2,2012,3,363535,60089,2656
35,11,1,2012,3,8920,3629,2459
35,11,2,2012,3,3549,1362,2100
35,21,1,2012,3,18952,4044,6065
35,21,2,2012,3,3046,658,4358
35,22,1,2012,3,4734,201,5882
35,22,2,2012,3,1716,100,3937
35,23,1,2012,3,36678,8738,3745
35,23,2,2012,3,8032,1594,2757
35,31-33,1,2012,3,22126,2562,5070
35,31-33,2,2012,3,9080,1371,3532
35,42,1,2012,3,15845,1742,4448
35,42,2,2012,3,5807,853,3212
35,44-45,1,2012,3,46928,9315,2811
35,44-45,2,2012,3,46370,9399,1998
35,48-49,1,2012,3,13608,2337,4015
35,48-49,2,2012,3,4590,609,2361
35,51,1,2012,3,8650,2293,3585
35,51,2,2012,3,5931,1309,2941
35,52,1,2012,3,6071,627,5884
35,52,2,2012,3,14909,1428,3380
35,53,1,2012,3,5753,1108,3407
35,53,2,2012,3,4288,673,2492
35,54,1,2012,3,31331,2585,6979
35,54,2,2012,3,22786,2345,4392
35,55,1,2012,3,2763,387,5241
35,55,2,2012,3,2961,363,3581
35,56,1,2012,3,25033,7105,3488
35,56,2,2012,3,16880,4524,2572
35,61,1,2012,3,19452,2401,3374
35,61,2,2012,3,39321,4287,2520
35,62,1,2012,3,28030,3457,4759
35,62,2,2012,3,91064,10926,2837
35,71,1,2012,3,9443,1578,2552
35,71,2,2012,3,8608,1410,1990
35,72,1,2012,3,37629,11628,1612
35,72,2,2012,3,43212,13073,1375
35,81,1,2012,3,11966,2383,3002
35,81,2,2012,3,10734,2021,1999
35,92,1,2012,3,23452,2000,3682
35,92,2,2012,3,20651,1784,3021
35,00,1,2013,1,374824,59555,4119
35,00,2,2013,1,379075,49153,2730
35,11,1,2013,1,7001,1247,2445
35,11,2,2013,1,2793,578,2080
35,21,1,2013,1,19825,4929,6692
35,21,2,2013,1,3488,774,4842
35,22,1,2013,1,4597,143,6416
35,22,2,2013,1,1627,73,4461
35,23,1,2013,1,35585,8547,3585
35,23,2,2013,1,7959,1580,2691
35,31-33,1,2013,1,21355,1809,6335
35,31-33,2,2013,1,8668,879,3963
35,42,1,2013,1,15012,1526,4574
35,42,2,2013,1,5628,677,3274
35,44-45,1,2013,1,46780,6830,2825
35,44-45,2,2013,1,46590,6315,1973
35,48-49,1,2013,1,13438,2156,3916
35,48-49,2,2013,1,5242,551,2427
35,51,1,2013,1,8262,2078,3697
35,51,2,2013,1,5990,1176,3155
35,52,1,2013,1,6186,677,7306
35,52,2,2013,1,15586,1594,3786
35,53,1,2013,1,5434,897,3245
35,53,2,2013,1,4150,640,2447
35,54,1,2013,1,30997,2381,7318
35,54,2,2013,1,22788,2671,4541
35,55,1,2013,1,2739,303,6170
35,55,2,2013,1,3008,312,4178
35,56,1,2013,1,23894,6208,3386
35,56,2,2013,1,17425,4145,2490
35,61,1,2013,1,25620,1932,3466
35,61,2,2013,1,54695,2888,2808
35,62,1,2013,1,28299,3170,4462
35,62,2,2013,1,92797,9857,2801
35,71,1,2013,1,8397,1144,2521
35,71,2,2013,1,7504,987,1946
35,72,1,2013,1,38258,10354,1611
35,72,2,2013,1,43409,10530,1389
35,81,1,2013,1,10443,1719,2931
35,81,2,2013,1,9475,1545,2013
35,92,1,2013,1,22703,1504,3650
35,92,2,2013,1,20252,1381,3013
35,00,1,2013,3,384770,71927,4060
35,00,2,2013,3,372399,62235,2702
35,11,1,2013,3,8704,3526,2483
35,11,2,2013,3,3701,1377,2118
35,21,1,2013,3,21627,4009,6593
35,21,2,2013,3,3896,640,4661
35,22,1,2013,3,4740,230,5927
35,22,2,2013,3,1722,70,3848
35,23,1,2013,3,37075,10059,3737
35,23,2,2013,3,8315,1801,2833
35,31-33,1,2013,3,21521,2407,5063
35,31-33,2,2013,3,8903,1338,3521
35,42,1,2013,3,15797,1843,4545
35,42,2,2013,3,5905,841,3205
35,44-45,1,2013,3,48063,9328,2890
35,44-45,2,2013,3,47187,9741,2042
35,48-49,1,2013,3,13719,2416,4154
35,48-49,2,2013,3,4879,676,2474
35,51,1,2013,3,9131,1836,3683
35,51,2,2013,3,6191,1172,2979
35,52,1,2013,3,6181,671,6080
35,52,2,2013,3,15198,1558,3508
35,53,1,2013,3,5879,985,3541
35,53,2,2013,3,4241,752,2763
35,54,1,2013,3,30968,2507,7072
35,54,2,2013,3,22341,2132,4502
35,55,1,2013,3,2810,470,5132
35,55,2,2013,3,2916,359,3585
35,56,1,2013,3,25334,7840,3376
35,56,2,2013,3,17914,5177,2536
35,61,1,2013,3,21289,2490,3366
35,61,2,2013,3,43634,4511,2505
35,62,1,2013,3,28576,3398,4684
35,62,2,2013,3,91796,10813,2886
35,71,1,2013,3,9297,1595,2630
35,71,2,2013,3,8383,1453,2024
35,72,1,2013,3,39805,12200,1699
35,72,2,2013,3,45354,14138,1467
35,81,1,2013,3,11595,2223,3094
35,81,2,2013,3,9948,1889,2118
35,92,1,2013,3,22660,1894,3718
35,92,2,2013,3,19974,1797,3059
35,00,1,2014,1,377257,59033,4186
35,00,2,2014,1,378139,48436,2778
35,11,1,2014,1,6729,1403,2605
35,11,2,2014,1,2787,658,2166
35,21,1,2014,1,22846,4454,7077
35,21,2,2014,1,4050,724,5080
35,22,1,2014,1,4635,311,6731
35,22,2,2014,1,1605,131,4705
35,23,1,2014,1,35771,7972,3612
35,23,2,2014,1,8122,1533,2762
35,31-33,1,2014,1,20601,1741,5837
35,31-33,2,2014,1,8496,748,3894
35,42,1,2014,1,15439,1534,4664
35,42,2,2014,1,5542,689,3392
35,44-45,1,2014,1,47505,6946,2871
35,44-45,2,2014,1,47269,6393,2005
35,48-49,1,2014,1,13864,2351,4155
35,48-49,2,2014,1,5044,648,2615
35,51,1,2014,1,7703,1781,3798
35,51,2,2014,1,5577,976,3176
35,52,1,2014,1,6241,690,7194
35,52,2,2014,1,15385,1504,3845
35,53,1,2014,1,5653,800,3389
35,53,2,2014,1,4235,583,2517
35,54,1,2014,1,30552,2202,7467
35,54,2,2014,1,22670,2249,4638
35,55,1,2014,1,2744,278,6475
35,55,2,2014,1,3014,313,4121
35,56,1,2014,1,23841,5684,3343
35,56,2,2014,1,17941,3922,2466
35,61,1,2014,1,25251,1733,3510
35,61,2,2014,1,53780,2795,2825
35,62,1,2014,1,28517,3384,4540
35,62,2,2014,1,92388,9785,2876
35,71,1,2014,1,8215,1196,2541
35,71,2,2014,1,7229,984,1989
35,72,1,2014,1,38879,10582,1627
35,72,2,2014,1,44339,10701,1403
35,81,1,2014,1,10328,1957,3025
35,81,2,2014,1,9236,1632,2095
35,92,1,2014,1,21940,2035,3739
35,92,2,2014,1,19431,1467,3105
35,00,1,2014,3,390266,77381,4126
35,00,2,2014,3,375407,67319,2763
35,11,1,2014,3,9331,4202,2534
35,11,2,2014,3,4002,1786,2179
35,21,1,2014,3,24265,5172,6910
35,21,2,2014,3,4382,870,4979
35,22,1,2014,3,4879,199,6039
35,22,2,2014,3,1767,114,4024
35,23,1,2014,3,38134,9864,3851
35,23,2,2014,3,8819,1760,2917
35,31-33,1,2014,3,18302,2365,4608
35,31-33,2,2014,3,8032,1201,3111
35,42,1,2014,3,15879,1979,4693
35,42,2,2014,3,5771,774,3368
35,44-45,1,2014,3,48700,9963,2951
35,44-45,2,2014,3,47774,10394,2093
35,48-49,1,2014,3,14085,2769,4369
