geography,industry,sex,year,quarter,Emp,HirN,EarnS
32,00,1,2011,1,551842,81484,4042
32,00,2,2011,1,524787,64361,2911
32,11,1,2011,1,1381,224,2762
32,11,2,2011,1,587,91,1959
32,21,1,2011,1,10650,1192,7278
32,21,2,2011,1,1680,175,5697
32,22,1,2011,1,3453,92,9608
32,22,2,2011,1,1519,33,6843
32,23,1,2011,1,42249,9058,4493
32,23,2,2011,1,10241,2260,2928
32,31-33,1,2011,1,26062,2509,4417
32,31-33,2,2011,1,10782,1066,3212
32,42,1,2011,1,22662,2052,5595
32,42,2,2011,1,9686,960,4032
32,44-45,1,2011,1,60536,7864,2783
32,44-45,2,2011,1,66996,7421,2051
32,48-49,1,2011,1,31967,3979,3514
32,48-49,2,2011,1,12131,1304,2720
32,51,1,2011,1,7945,1556,4862
32,51,2,2011,1,5351,801,3736
32,52,1,2011,1,10382,879,7069
32,52,2,2011,1,20583,1570,3941
32,53,1,2011,1,11418,1711,3643
32,53,2,2011,1,9795,1496,2925
32,54,1,2011,1,23088,3488,6582
32,54,2,2011,1,22548,3678,3819
32,55,1,2011,1,9633,1061,11730
32,55,2,2011,1,9328,897,5221
32,56,1,2011,1,44615,17699,2773
32,56,2,2011,1,29150,10139,2180
32,61,1,2011,1,25081,1664,4321
32,61,2,2011,1,54764,2766,3639
32,62,1,2011,1,24336,2893,5672
32,62,2,2011,1,73968,8459,3342
32,71,1,2011,1,14088,2205,3050
32,71,2,2011,1,11808,1635,1922
32,72,1,2011,1,142774,17910,2706
32,72,2,2011,1,138051,16451,2285
32,81,1,2011,1,13553,2798,3032
32,81,2,2011,1,12544,2320,2207
32,92,1,2011,1,25971,649,4917
32,92,2,2011,1,23275,838,3573
32,00,1,2011,3,562933,99403,4240
32,00,2,2011,3,521951,80074,3128
32,11,1,2011,3,1703,412,2965
32,11,2,2011,3,674,210,2052
32,21,1,2011,3,11840,1562,7095
32,21,2,2011,3,2057,281,5374
32,22,1,2011,3,3458,360,7867
32,22,2,2011,3,1515,345,5869
32,23,1,2011,3,41806,13895,4806
32,23,2,2011,3,10325,3012,4713
32,31-33,1,2011,3,26582,3120,4653
32,31-33,2,2011,3,10873,1186,3473
32,42,1,2011,3,22917,2280,5735
32,42,2,2011,3,9704,1071,4370
32,44-45,1,2011,3,61352,12038,3042
32,44-45,2,2011,3,66446,12856,2299
32,48-49,1,2011,3,32785,4751,3884
32,48-49,2,2011,3,12297,1583,2959
32,51,1,2011,3,8248,1774,5026
32,51,2,2011,3,5556,971,3849
32,52,1,2011,3,10360,1489,6289
32,52,2,2011,3,20278,2309,3966
32,53,1,2011,3,11783,2350,3927
32,53,2,2011,3,10017,1857,3229
32,54,1,2011,3,24353,3561,7262
32,54,2,2011,3,22814,3438,4247
32,55,1,2011,3,9743,1015,10190
32,55,2,2011,3,9321,945,5123
32,56,1,2011,3,45507,18451,3020
32,56,2,2011,3,29338,11044,2355
32,61,1,2011,3,21186,1703,4411
32,61,2,2011,3,43467,2752,3526
32,62,1,2011,3,24947,3531,6447
32,62,2,2011,3,74768,9983,3730
32,71,1,2011,3,15133,2502,3086
32,71,2,2011,3,12729,2065,2096
32,72,1,2011,3,148919,19562,2854
32,72,2,2011,3,143552,19116,2468
32,81,1,2011,3,14679,3186,3355
32,81,2,2011,3,13373,3150,2412
32,92,1,2011,3,25631,1861,5561
32,92,2,2011,3,22846,1901,4068
32,00,1,2012,1,560656,85146,4283
32,00,2,2012,1,530487,68046,3078
32,11,1,2012,1,1460,196,2793
32,11,2,2012,1,617,75,2080
32,21,1,2012,1,11913,1451,7531
32,21,2,2012,1,1937,219,6199
32,22,1,2012,1,3669,79,10327
32,22,2,2012,1,1629,42,7234
32,23,1,2012,1,38571,9596,4426
32,23,2,2012,1,9687,2460,3076
32,31-33,1,2012,1,26862,2708,4789
32,31-33,2,2012,1,10989,1106,3439
32,42,1,2012,1,22552,2143,6073
32,42,2,2012,1,9570,1026,4464
32,44-45,1,2012,1,62752,8825,2984
32,44-45,2,2012,1,68078,8193,2216
32,48-49,1,2012,1,33373,4334,3697
32,48-49,2,2012,1,12907,1356,2878
32,51,1,2012,1,8093,1982,5171
32,51,2,2012,1,5334,995,3995
32,52,1,2012,1,10178,1289,7522
32,52,2,2012,1,19796,2224,4316
32,53,1,2012,1,11362,1786,3763
32,53,2,2012,1,9650,1312,3108
32,54,1,2012,1,24174,3531,6943
32,54,2,2012,1,23039,3636,4080
32,55,1,2012,1,10159,1448,14088
32,55,2,2012,1,9708,1452,5724
32,56,1,2012,1,46350,17873,2871
32,56,2,2012,1,30939,11087,2267
32,61,1,2012,1,24655,1667,4221
32,61,2,2012,1,54244,2662,3571
32,62,1,2012,1,24714,3022,5910
32,62,2,2012,1,74515,8610,3553
32,71,1,2012,1,14402,2323,3191
32,71,2,2012,1,12313,1835,1983
32,72,1,2012,1,145408,17341,2868
32,72,2,2012,1,139754,16294,2441
32,81,1,2012,1,14115,2822,3177
32,81,2,2012,1,12874,2609,2306
32,92,1,2012,1,25893,729,5227
32,92,2,2012,1,22908,854,3838
32,00,1,2012,3,572669,97309,4134
32,00,2,2012,3,527338,79799,3033
32,11,1,2012,3,1730,469,3087
32,11,2,2012,3,706,167,2141
32,21,1,2012,3,13000,1472,7416
32,21,2,2012,3,2265,279,5680
32,22,1,2012,3,3623,92,7953
32,22,2,2012,3,1636,44,5942
32,23,1,2012,3,41960,13454,4600
32,23,2,2012,3,10739,3360,3199
32,31-33,1,2012,3,27607,3279,4617
32,31-33,2,2012,3,11276,1562,3455
32,42,1,2012,3,22974,2122,5677
32,42,2,2012,3,9720,980,4341
32,44-45,1,2012,3,63628,11998,2956
32,44-45,2,2012,3,67241,12535,2211
32,48-49,1,2012,3,33859,4922,3765
32,48-49,2,2012,3,13122,1704,2912
32,51,1,2012,3,7950,2028,4797
32,51,2,2012,3,5290,1229,3657
32,52,1,2012,3,10756,1246,6280
32,52,2,2012,3,20043,2124,3973
32,53,1,2012,3,11893,2036,3835
32,53,2,2012,3,10050,1655,3182
32,54,1,2012,3,24642,3194,7076
32,54,2,2012,3,22668,3366,4227
32,55,1,2012,3,10581,1077,8580
32,55,2,2012,3,10164,988,5014
32,56,1,2012,3,45992,17781,2856
32,56,2,2012,3,31267,11693,2262
32,61,1,2012,3,20611,1994,4520
32,61,2,2012,3,42505,3114,3551
32,62,1,2012,3,25602,3623,6294
32,62,2,2012,3,75252,9718,3573
32,71,1,2012,3,15204,2873,2957
32,71,2,2012,3,12572,2358,2007
32,72,1,2012,3,149858,19053,2767
32,72,2,2012,3,143895,18727,2416
32,81,1,2012,3,14995,3351,3300
32,81,2,2012,3,13579,2995,2343
32,92,1,2012,3,26206,1243,5289
32,92,2,2012,3,23351,1200,3875
32,00,1,2013,1,573553,87200,4272
32,00,2,2013,1,539722,70550,3112
32,11,1,2013,1,1384,162,2856
32,11,2,2013,1,607,83,2119
32,21,1,2013,1,12781,907,8086
32,21,2,2013,1,2044,191,6828
32,22,1,2013,1,3631,92,10544
32,22,2,2013,1,1612,54,7331
