geography,industry,sex,year,quarter,Emp,HirN,EarnS
36,00,1,2011,1,3988328,433387,8087
36,00,2,2011,1,4171222,386497,4149
36,11,1,2011,1,12517,1801,2450
36,11,2,2011,1,6019,992,1929
36,21,1,2011,1,3073,200,5032
36,21,2,2011,1,605,35,3709
36,22,1,2011,1,32528,511,8559
36,22,2,2011,1,8425,205,6341
36,23,1,2011,1,229970,42945,4948
36,23,2,2011,1,42850,7294,3184
36,31-33,1,2011,1,310595,19701,5706
36,31-33,2,2011,1,142548,10054,3945
36,42,1,2011,1,209261,16764,6800
36,42,2,2011,1,117163,10918,4954
36,44-45,1,2011,1,442760,45991,3162
36,44-45,2,2011,1,427329,41618,2089
36,48-49,1,2011,1,204787,15188,4642
36,48-49,2,2011,1,83032,5660,3173
36,51,1,2011,1,146307,20635,10029
36,51,2,2011,1,117912,14165,6747
36,52,1,2011,1,251798,21178,44058
36,52,2,2011,1,250987,17100,12044
36,53,1,2011,1,127518,10627,5235
36,53,2,2011,1,57798,5211,3883
36,54,1,2011,1,280554,33185,10040
36,54,2,2011,1,277509,32184,5970
36,55,1,2011,1,60891,4702,18125
36,55,2,2011,1,75907,5159,6952
36,56,1,2011,1,235836,54663,4225
36,56,2,2011,1,172865,40467,3162
36,61,1,2011,1,332979,23361,5043
36,61,2,2011,1,592548,35275,3860
36,62,1,2011,1,346920,25902,5332
36,62,2,2011,1,1052944,71501,3273
36,71,1,2011,1,76995,13094,4596
36,71,2,2011,1,68924,10142,2855
36,72,1,2011,1,294200,56860,2170
36,72,2,2011,1,274765,52357,1596
36,81,1,2011,1,145797,17759,3910
36,81,2,2011,1,170133,18991,2430
36,92,1,2011,1,243042,8320,5719
36,92,2,2011,1,230958,7169,4530
36,00,1,2011,3,4168865,628139,6038
36,00,2,2011,3,4181137,572862,3846
36,11,1,2011,3,16015,5219,2836
36,11,2,2011,3,7839,3265,2071
36,21,1,2011,3,4330,655,5390
36,21,2,2011,3,751,76,3827
36,22,1,2011,3,32517,547,8712
36,22,2,2011,3,8462,258,6396
36,23,1,2011,3,273286,78046,5400
36,23,2,2011,3,48946,10346,3443
36,31-33,1,2011,3,317964,25127,5418
36,31-33,2,2011,3,145422,13253,3872
36,42,1,2011,3,216509,18934,6509
