geography,industry,sex,year,quarter,Emp,HirN,EarnS
39,00,1,2011,1,2308136,255160,4525
39,00,2,2011,1,2405204,223852,2733
39,11,1,2011,1,7221,1185,2619
39,11,2,2011,1,3207,671,1696
39,21,1,2011,1,9042,845,5875
39,21,2,2011,1,1771,108,3937
39,22,1,2011,1,22720,389,7180
39,22,2,2011,1,6564,171,5000
39,23,1,2011,1,132579,18741,3839
39,23,2,2011,1,24098,2571,2652
39,31-33,1,2011,1,461018,28678,5092
39,31-33,2,2011,1,166151,8547,3484
39,42,1,2011,1,148073,10057,5814
39,42,2,2011,1,64075,4410,4734
39,44-45,1,2011,1,256537,25258,2681
39,44-45,2,2011,1,288699,23782,1696
39,48-49,1,2011,1,122625,12059,3861
39,48-49,2,2011,1,44519,3823,2677
39,51,1,2011,1,47703,2891,5735
39,51,2,2011,1,41928,2085,3624
39,52,1,2011,1,72369,5141,9572
39,52,2,2011,1,128165,7139,4032
39,53,1,2011,1,31248,3166,3644
39,53,2,2011,1,24038,2364,2514
39,54,1,2011,1,124650,13106,6689
39,54,2,2011,1,121099,13183,3769
39,55,1,2011,1,58813,4060,9993
39,55,2,2011,1,60969,3297,4871
39,56,1,2011,1,156677,58506,3023
39,56,2,2011,1,113532,35055,2178
39,61,1,2011,1,138174,9558,3707
39,61,2,2011,1,298746,14293,2988
39,62,1,2011,1,156476,12652,5238
39,62,2,2011,1,623766,51198,2659
39,71,1,2011,1,30101,3108,3164
39,71,2,2011,1,25944,2927,1498
39,72,1,2011,1,168436,34644,1357
39,72,2,2011,1,221556,37983,1044
39,81,1,2011,1,67547,8144,2735
39,81,2,2011,1,77778,8228,1662
39,92,1,2011,1,96128,2974,3894
39,92,2,2011,1,68599,2018,3235
39,00,1,2011,3,2464184,370944,4519
39,00,2,2011,3,2422738,337797,2851
39,11,1,2011,3,10202,2730,2768
39,11,2,2011,3,4934,1644,1928
39,21,1,2011,3,10393,1296,5969
39,21,2,2011,3,1921,135,4079
39,22,1,2011,3,23857,612,6496
39,22,2,2011,3,7097,259,4620
39,23,1,2011,3,169757,41386,4531
39,23,2,2011,3,28273,4357,2982
39,31-33,1,2011,3,483659,36270,5033
39,31-33,2,2011,3,171666,12103,3562
39,42,1,2011,3,154516,13180,5506
39,42,2,2011,3,66049,5878,3875
39,44-45,1,2011,3,268630,38085,2836
39,44-45,2,2011,3,294617,47776,1865
39,48-49,1,2011,3,127730,16294,4154
39,48-49,2,2011,3,45616,5400,2908
39,51,1,2011,3,48539,3820,5486
39,51,2,2011,3,41222,2899,3643
39,52,1,2011,3,74083,6834,7078
39,52,2,2011,3,127298,8586,3757
39,53,1,2011,3,34080,4386,3756
39,53,2,2011,3,25527,3045,2722
39,54,1,2011,3,132151,16364,6800
39,54,2,2011,3,123709,13840,3947
39,55,1,2011,3,63527,4831,8563
39,55,2,2011,3,62509,4752,4951
39,56,1,2011,3,180750,81820,3038
39,56,2,2011,3,121173,53713,2271
39,61,1,2011,3,124568,11697,4177
39,61,2,2011,3,265620,20422,3315
39,62,1,2011,3,146989,16592,5799
39,62,2,2011,3,591067,67689,2860
39,71,1,2011,3,53253,8882,2868
39,71,2,2011,3,43872,7713,1600
39,72,1,2011,3,183145,51065,1506
39,72,2,2011,3,245973,63766,1187
39,81,1,2011,3,72392,10735,3034
39,81,2,2011,3,82950,10784,1845
39,92,1,2011,3,101960,4064,4046
39,92,2,2011,3,71645,3037,3490
39,00,1,2012,1,2378848,284218,4803
39,00,2,2012,1,2422517,253849,2905
39,11,1,2012,1,7705,1421,2769
39,11,2,2012,1,3441,721,1857
39,21,1,2012,1,10057,1119,6169
39,21,2,2012,1,1896,136,4125
39,22,1,2012,1,23848,492,7740
39,22,2,2012,1,6656,241,5258
39,23,1,2012,1,144983,21831,4056
39,23,2,2012,1,25078,2918,2796
39,31-33,1,2012,1,481981,31074,5324
39,31-33,2,2012,1,170027,10486,3734
39,42,1,2012,1,151750,11643,5799
39,42,2,2012,1,64970,4975,4019
39,44-45,1,2012,1,260259,28516,2869
39,44-45,2,2012,1,291980,27672,1812
39,48-49,1,2012,1,126410,11670,4079
39,48-49,2,2012,1,46671,3619,2885
39,51,1,2012,1,48005,3027,6261
39,51,2,2012,1,41951,2339,3855
39,52,1,2012,1,73755,5307,9935
39,52,2,2012,1,127544,7768,4289
39,53,1,2012,1,31373,3324,3930
39,53,2,2012,1,23757,2403,2728
39,54,1,2012,1,124392,14089,6823
39,54,2,2012,1,117068,13527,3886
39,55,1,2012,1,69881,4384,11574
39,55,2,2012,1,69643,3857,5693
39,56,1,2012,1,164785,65394,3179
39,56,2,2012,1,120961,40303,2313
39,61,1,2012,1,135652,9147,3895
39,61,2,2012,1,293135,14351,3143
39,62,1,2012,1,157135,13577,5668
39,62,2,2012,1,620280,56531,2877
39,71,1,2012,1,31709,4281,3312
39,71,2,2012,1,26631,3761,1590
39,72,1,2012,1,172001,41084,1446
39,72,2,2012,1,226366,46627,1128
39,81,1,2012,1,68767,9396,2944
39,81,2,2012,1,78034,9287,1796
39,92,1,2012,1,94399,3444,4010
39,92,2,2012,1,66429,2328,3382
39,00,1,2012,3,2489291,357300,4475
39,00,2,2012,3,2462548,344513,2842
39,11,1,2012,3,10423,2602,2650
39,11,2,2012,3,5005,1613,1897
39,21,1,2012,3,10923,1411,5846
39,21,2,2012,3,1975,150,4083
39,22,1,2012,3,23305,554,6431
39,22,2,2012,3,6968,217,4447
39,23,1,2012,3,168965,35772,4412
39,23,2,2012,3,27998,3759,2942
39,31-33,1,2012,3,490277,33553,4842
39,31-33,2,2012,3,173135,12454,3478
39,42,1,2012,3,157217,12306,5411
39,42,2,2012,3,66601,5494,3828
39,44-45,1,2012,3,264914,37164,2794
39,44-45,2,2012,3,290678,47352,1843
39,48-49,1,2012,3,129555,15290,4011
39,48-49,2,2012,3,46042,5439,2850
39,51,1,2012,3,47956,3658,5513
39,51,2,2012,3,41410,3014,3626
39,52,1,2012,3,75384,5920,7065
39,52,2,2012,3,126327,9131,3744
39,53,1,2012,3,33797,4204,3730
39,53,2,2012,3,25081,3040,2666
39,54,1,2012,3,128631,13934,6672
39,54,2,2012,3,117241,12407,3892
39,55,1,2012,3,70858,4871,8552
39,55,2,2012,3,70793,4974,4864
39,56,1,2012,3,182846,78332,3058
39,56,2,2012,3,126484,54415,2236
39,61,1,2012,3,118837,12396,4187
39,61,2,2012,3,252854,21755,3259
39,62,1,2012,3,162759,16413,5960
39,62,2,2012,3,637756,67815,2936
39,71,1,2012,3,55023,9254,3343
39,71,2,2012,3,45520,8268,1637
39,72,1,2012,3,184937,54642,1505
39,72,2,2012,3,248706,67987,1197
39,81,1,2012,3,72979,11062,2965
39,81,2,2012,3,81820,12132,1834
39,92,1,2012,3,99702,3963,3915
39,92,2,2012,3,70153,3098,3392
39,00,1,2013,1,2398790,281919,4827
39,00,2,2013,1,2456747,258361,2965
39,11,1,2013,1,7926,1357,2702
39,11,2,2013,1,3492,788,1886
39,21,1,2013,1,9736,1935,5729
39,21,2,2013,1,1262,186,3505
39,22,1,2013,1,22048,712,7913
39,22,2,2013,1,6377,238,5423
39,23,1,2013,1,144418,22165,4114
39,23,2,2013,1,25082,3008,2894
39,31-33,1,2013,1,479446,27904,5252
39,31-33,2,2013,1,168075,10008,3773
39,42,1,2013,1,154499,11498,5704
39,42,2,2013,1,65747,5215,4081
39,44-45,1,2013,1,259487,29925,3060
39,44-45,2,2013,1,289582,28272,1865
39,48-49,1,2013,1,128109,11788,4076
39,48-49,2,2013,1,47321,3582,2887
39,51,1,2013,1,47665,3492,6197
39,51,2,2013,1,41048,2652,3938
39,52,1,2013,1,75453,5629,10370
39,52,2,2013,1,129101,9155,4546
39,53,1,2013,1,32038,3710,4258
39,53,2,2013,1,24248,2827,2836
39,54,1,2013,1,126956,14071,6922
39,54,2,2013,1,117753,13846,4044
39,55,1,2013,1,70086,4671,11316
39,55,2,2013,1,70387,4248,5705
39,56,1,2013,1,165801,60450,3261
39,56,2,2013,1,125852,39530,2372
39,61,1,2013,1,135354,9128,3947
39,61,2,2013,1,292053,14204,3169
39,62,1,2013,1,162356,13584,5666
39,62,2,2013,1,638276,56613,2944
39,71,1,2013,1,33669,5390,3190
39,71,2,2013,1,29557,4972,1659
39,72,1,2013,1,181637,42669,1468
39,72,2,2013,1,238696,48110,1142
39,81,1,2013,1,69253,8631,2954
39,81,2,2013,1,77650,8501,1809
39,92,1,2013,1,92853,3207,4211
39,92,2,2013,1,65190,2404,3606
39,00,1,2013,3,2525627,376406,4545
39,00,2,2013,3,2497729,364706,2909
39,11,1,2013,3,10576,2718,2809
39,11,2,2013,3,5216,1638,1989
39,21,1,2013,3,11275,1999,5899
39,21,2,2013,3,1430,182,3728
39,22,1,2013,3,22589,589,6246
39,22,2,2013,3,6816,228,4488
39,23,1,2013,3,174905,38685,4580
39,23,2,2013,3,28816,4132,3090
39,31-33,1,2013,3,488538,34137,4804
39,31-33,2,2013,3,173565,13633,3542
39,42,1,2013,3,158858,12684,5515
39,42,2,2013,3,67813,6268,3959
39,44-45,1,2013,3,269048,40577,2849
39,44-45,2,2013,3,293404,51812,1864
39,48-49,1,2013,3,129970,16837,4089
39,48-49,2,2013,3,46859,6003,2864
39,51,1,2013,3,48167,3832,5464
39,51,2,2013,3,40737,3314,3628
39,52,1,2013,3,76490,5908,7301
39,52,2,2013,3,128596,8681,3833
39,53,1,2013,3,34690,4379,3923
39,53,2,2013,3,25804,3196,2778
39,54,1,2013,3,131037,13923,6863
39,54,2,2013,3,117167,12374,4051
39,55,1,2013,3,72199,4988,8842
39,55,2,2013,3,72285,5215,5018
39,56,1,2013,3,188968,84070,3101
39,56,2,2013,3,131263,60462,2312
39,61,1,2013,3,120268,13187,4142
39,61,2,2013,3,254848,25016,3266
39,62,1,2013,3,166312,17600,6099
39,62,2,2013,3,646274,70164,3022
39,71,1,2013,3,58091,8746,3499
39,71,2,2013,3,48269,7641,1686
39,72,1,2013,3,193055,57215,1555
39,72,2,2013,3,258931,71151,1230
39,81,1,2013,3,72092,9840,3017
39,81,2,2013,3,80520,10394,1884
39,92,1,2013,3,98499,4490,4103
39,92,2,2013,3,69116,3204,3610
39,00,1,2014,1,2436385,297409,4976
39,00,2,2014,1,2479383,261539,3027
39,11,1,2014,1,8247,1460,2846
39,11,2,2014,1,3645,706,1984
39,21,1,2014,1,11800,2084,5947
39,21,2,2014,1,1395,211,3784
39,22,1,2014,1,21391,570,8118
39,22,2,2014,1,6226,196,5647
39,23,1,2014,1,148750,24951,4199
39,23,2,2014,1,26178,3474,2994
39,31-33,1,2014,1,489390,29740,5379
39,31-33,2,2014,1,174081,10681,3859
39,42,1,2014,1,157270,12757,5986
39,42,2,2014,1,66720,5715,4222
39,44-45,1,2014,1,259264,29901,2887
39,44-45,2,2014,1,290588,28421,1823
39,48-49,1,2014,1,130530,14295,4209
39,48-49,2,2014,1,48356,4296,2955
39,51,1,2014,1,46802,3742,6155
39,51,2,2014,1,39273,2745,3922
39,52,1,2014,1,74968,6562,11111
39,52,2,2014,1,127455,7859,4791
39,53,1,2014,1,32587,3677,4513
39,53,2,2014,1,24949,2704,2913
39,54,1,2014,1,128708,14620,7172
39,54,2,2014,1,118611,13692,4183
39,55,1,2014,1,74083,4417,12119
39,55,2,2014,1,74706,3995,6015
39,56,1,2014,1,171997,66236,3464
39,56,2,2014,1,131154,43205,2410
39,61,1,2014,1,134132,8637,3991
39,61,2,2014,1,288080,12996,3187
39,62,1,2014,1,164401,13971,5833
39,62,2,2014,1,643138,58119,2997
39,71,1,2014,1,35439,5154,3364
39,71,2,2014,1,30656,5051,1766
39,72,1,2014,1,184877,42416,1498
39,72,2,2014,1,242942,46877,1155
39,81,1,2014,1,69708,9110,3081
39,81,2,2014,1,77095,8382,1877
39,92,1,2014,1,92042,3108,4248
39,92,2,2014,1,64135,2213,3627
39,00,1,2014,3,2571208,397832,4667
39,00,2,2014,3,2519697,385626,2990
39,11,1,2014,3,11179,2734,2980
39,11,2,2014,3,5449,1653,2116
39,21,1,2014,3,13595,2960,6201
39,21,2,2014,3,1607,316,4126
39,22,1,2014,3,21871,723,6338
39,22,2,2014,3,6605,274,4577
39,23,1,2014,3,185588,42436,4693
39,23,2,2014,3,30283,4729,3159
39,31-33,1,2014,3,497912,36981,4946
39,31-33,2,2014,3,177462,14863,3634
39,42,1,2014,3,162737,14061,5753
39,42,2,2014,3,68885,6809,4146
39,44-45,1,2014,3,266446,42421,2894
39,44-45,2,2014,3,289889,54272,1890
39,48-49,1,2014,3,133734,18637,4200
39,48-49,2,2014,3,48214,7134,2922
39,51,1,2014,3,47289,3756,5531
39,51,2,2014,3,38830,3004,3690
39,52,1,2014,3,77179,5645,7533
39,52,2,2014,3,128474,9985,3950
39,53,1,2014,3,35498,4797,4284
39,53,2,2014,3,26433,3375,2846
39,54,1,2014,3,133080,14902,7093
39,54,2,2014,3,118547,12761,4215
39,55,1,2014,3,75550,5452,8995
39,55,2,2014,3,74644,5753,5224
39,56,1,2014,3,194241,88205,3155
39,56,2,2014,3,137193,64642,2367
39,61,1,2014,3,119877,13297,4216
39,61,2,2014,3,255021,25690,3323
39,62,1,2014,3,168590,17999,6128
39,62,2,2014,3,650886,73773,3103
39,71,1,2014,3,58449,9797,3512
39,71,2,2014,3,48622,8739,1750
39,72,1,2014,3,195237,58004,1587
39,72,2,2014,3,262876,73679,1265
39,81,1,2014,3,73889,10494,3142
39,81,2,2014,3,80487,10712,1962
39,92,1,2014,3,99267,4526,4140
39,92,2,2014,3,69291,3464,3668
39,00,1,2015,1,2489931,303688,5006
39,00,2,2015,1,2512699,284787,3070
39,11,1,2015,1,8765,1470,2961
39,11,2,2015,1,3986,806,2046
39,21,1,2015,1,13460,1815,6191
39,21,2,2015,1,1649,188,4070
39,22,1,2015,1,21528,690,8627
39,22,2,2015,1,6651,222,6187
39,23,1,2015,1,156680,23026,4262
39,23,2,2015,1,27330,3192,3139
39,31-33,1,2015,1,503307,32002,5354
39,31-33,2,2015,1,180271,12373,3891
39,42,1,2015,1,160837,12162,6115
39,42,2,2015,1,68546,5463,4385
39,44-45,1,2015,1,262020,31290,2863
39,44-45,2,2015,1,291121,31909,1811
39,48-49,1,2015,1,136834,15757,4266
39,48-49,2,2015,1,51414,5594,3033
39,51,1,2015,1,46051,3375,6216
39,51,2,2015,1,37855,2582,3970
39,52,1,2015,1,77856,4883,11147
39,52,2,2015,1,129445,7600,4890
39,53,1,2015,1,33640,3576,4673
39,53,2,2015,1,25438,2810,3025
39,54,1,2015,1,130522,14290,7173
39,54,2,2015,1,119127,13918,4271
39,55,1,2015,1,71506,4491,12359
39,55,2,2015,1,73661,4589,5963
39,56,1,2015,1,177947,67260,3426
39,56,2,2015,1,136151,46507,2436
39,61,1,2015,1,135915,10020,4037
39,61,2,2015,1,294700,15794,3236
39,62,1,2015,1,165970,14535,5883
39,62,2,2015,1,644128,64077,3030
39,71,1,2015,1,36725,4689,3541
39,71,2,2015,1,32270,4191,1711
39,72,1,2015,1,188064,45989,1529
39,72,2,2015,1,247059,51927,1197
39,81,1,2015,1,70686,9175,3164
39,81,2,2015,1,77807,8670,1934
39,92,1,2015,1,91618,3192,4281
39,92,2,2015,1,64088,2371,3690
39,00,1,2015,3,2604730,406739,4729
39,00,2,2015,3,2561757,413610,3065
39,11,1,2015,3,11317,2509,3047
39,11,2,2015,3,5797,1619,2180
39,21,1,2015,3,12321,1624,5911
39,21,2,2015,3,1670,144,3965
39,22,1,2015,3,22183,762,6447
39,22,2,2015,3,7125,337,4801
39,23,1,2015,3,187543,40514,4872
39,23,2,2015,3,31343,4734,3347
39,31-33,1,2015,3,506395,37166,4957
39,31-33,2,2015,3,183862,16246,3706
39,42,1,2015,3,165179,14152,5804
39,42,2,2015,3,70234,6820,4246
39,44-45,1,2015,3,268694,44344,2980
39,44-45,2,2015,3,291016,56966,1950
39,48-49,1,2015,3,139767,19452,4238
39,48-49,2,2015,3,51768,8024,2958
39,51,1,2015,3,46578,3870,5750
39,51,2,2015,3,38484,3605,3742
39,52,1,2015,3,79518,5782,7635
39,52,2,2015,3,130627,9098,4111
39,53,1,2015,3,36133,4896,4173
39,53,2,2015,3,26909,3479,2978
39,54,1,2015,3,135056,14030,7168
39,54,2,2015,3,119903,13305,4380
39,55,1,2015,3,72807,5675,8717
39,55,2,2015,3,74293,6190,5119
39,56,1,2015,3,195393,88685,3324
39,56,2,2015,3,140107,67396,2454
39,61,1,2015,3,119949,13949,4303
39,61,2,2015,3,256170,27951,3362
39,62,1,2015,3,172509,19654,6278
39,62,2,2015,3,662854,82397,3188
39,71,1,2015,3,59714,9771,3441
39,71,2,2015,3,49477,8975,1787
39,72,1,2015,3,200576,64524,1645
39,72,2,2015,3,270132,81453,1313
39,81,1,2015,3,75124,10750,3256
39,81,2,2015,3,81396,11185,2034
39,92,1,2015,3,97975,4629,4256
39,92,2,2015,3,68591,3686,3787
39001,00,1,2011,1,2198,352,3377
39001,00,2,2011,1,3188,274,2069
39001,11,1,2011,1,,,
39001,11,2,2011,1,0,0,
39001,21,1,2011,1,,,4174
39001,21,2,2011,1,,0,2001
39001,22,1,2011,1,136,,7599
39001,22,2,2011,1,33,0,5599
39001,23,1,2011,1,114,15,3064
39001,23,2,2011,1,31,,2077
39001,31-33,1,2011,1,476,158,4567
39001,31-33,2,2011,1,145,18,2543
39001,42,1,2011,1,159,19,2586
39001,42,2,2011,1,31,6,1877
39001,44-45,1,2011,1,386,53,2494
39001,44-45,2,2011,1,594,89,1698
39001,48-49,1,2011,1,36,8,1927
39001,48-49,2,2011,1,5,,1809
39001,51,1,2011,1,17,3,3413
39001,51,2,2011,1,34,0,1561
39001,52,1,2011,1,36,,5952
39001,52,2,2011,1,119,,2409
39001,53,1,2011,1,10,,2579
39001,53,2,2011,1,18,,1529
39001,54,1,2011,1,29,5,2769
39001,54,2,2011,1,51,9,1931
39001,55,1,2011,1,,,3915
39001,55,2,2011,1,,0,3440
39001,56,1,2011,1,23,6,3071
39001,56,2,2011,1,7,0,1939
39001,61,1,2011,1,211,7,2646
39001,61,2,2011,1,499,13,2575
39001,62,1,2011,1,155,15,3577
39001,62,2,2011,1,1082,81,2124
39001,71,1,2011,1,5,0,1015
39001,71,2,2011,1,10,,1605
39001,72,1,2011,1,149,44,1222
39001,72,2,2011,1,350,47,976
39001,81,1,2011,1,44,8,2349
39001,81,2,2011,1,55,3,1617
39001,92,1,2011,1,156,,2172
39001,92,2,2011,1,117,,2332
39003,00,1,2011,1,22075,2149,4016
39003,00,2,2011,1,23855,1961,2348
39003,11,1,2011,1,79,8,1540
39003,11,2,2011,1,17,,1388
39003,21,1,2011,1,,0,3296
39003,21,2,2011,1,,0,2178
39003,22,1,2011,1,129,,5889
39003,22,2,2011,1,33,0,4155
39003,23,1,2011,1,1179,185,3141
39003,23,2,2011,1,221,22,2381
39003,31-33,1,2011,1,6357,354,5538
39003,31-33,2,2011,1,1807,87,3885
39003,42,1,2011,1,1838,131,3615
39003,42,2,2011,1,591,43,2418
39003,44-45,1,2011,1,2572,261,2510
39003,44-45,2,2011,1,3033,234,1592
39003,48-49,1,2011,1,1049,73,3542
39003,48-49,2,2011,1,234,23,2674
39003,51,1,2011,1,424,14,3105
39003,51,2,2011,1,312,16,2262
39003,52,1,2011,1,230,7,7248
39003,52,2,2011,1,591,22,2907
39003,53,1,2011,1,152,26,2113
39003,53,2,2011,1,134,12,1658
39003,54,1,2011,1,317,74,4969
39003,54,2,2011,1,607,71,2338
39003,55,1,2011,1,95,24,7423
39003,55,2,2011,1,181,11,2513
39003,56,1,2011,1,1345,431,2481
39003,56,2,2011,1,1046,306,1903
39003,61,1,2011,1,1283,69,3256
39003,61,2,2011,1,2607,105,2524
39003,62,1,2011,1,1430,94,7057
39003,62,2,2011,1,8259,541,2648
39003,71,1,2011,1,193,13,1712
39003,71,2,2011,1,204,17,1086
39003,72,1,2011,1,1478,246,1238
39003,72,2,2011,1,2360,340,961
39003,81,1,2011,1,822,115,2034
39003,81,2,2011,1,904,98,1306
39003,92,1,2011,1,1082,24,3356
39003,92,2,2011,1,713,12,2950
39005,00,1,2011,1,7582,792,3384
39005,00,2,2011,1,8303,675,2101
39005,11,1,2011,1,86,11,1933
39005,11,2,2011,1,47,12,1342
39005,21,1,2011,1,19,3,2425
39005,21,2,2011,1,5,0,1152
39005,22,1,2011,1,23,,3417
39005,22,2,2011,1,11,0,1809
39005,23,1,2011,1,477,18,3206
39005,23,2,2011,1,80,4,2412
39005,31-33,1,2011,1,2152,125,3879
39005,31-33,2,2011,1,848,32,2737
39005,42,1,2011,1,518,43,4328
39005,42,2,2011,1,172,16,3883
39005,44-45,1,2011,1,838,66,2375
39005,44-45,2,2011,1,1040,65,1617
39005,48-49,1,2011,1,421,44,2727
39005,48-49,2,2011,1,163,10,1761
39005,51,1,2011,1,100,4,13917
39005,51,2,2011,1,114,6,3483
39005,52,1,2011,1,78,4,7117
39005,52,2,2011,1,163,7,2903
39005,53,1,2011,1,49,10,1891
39005,53,2,2011,1,46,15,1770
39005,54,1,2011,1,338,16,4843
39005,54,2,2011,1,564,31,3144
39005,55,1,2011,1,,,2820
39005,55,2,2011,1,,,1071
39005,56,1,2011,1,286,269,1753
39005,56,2,2011,1,215,111,1490
39005,61,1,2011,1,740,48,3019
39005,61,2,2011,1,1456,71,2401
39005,62,1,2011,1,407,30,3586
39005,62,2,2011,1,2137,145,1986
39005,71,1,2011,1,47,0,2384
39005,71,2,2011,1,37,,1089
39005,72,1,2011,1,409,67,1066
39005,72,2,2011,1,705,99,897
39005,81,1,2011,1,271,25,2442
39005,81,2,2011,1,298,40,1059
39005,92,1,2011,1,317,6,2681
39005,92,2,2011,1,198,8,2030
39007,00,1,2011,1,13244,2036,3649
39007,00,2,2011,1,14322,1251,2154
39007,11,1,2011,1,41,5,1768
39007,11,2,2011,1,18,,1306
39007,21,1,2011,1,155,13,4063
39007,21,2,2011,1,50,3,2940
39007,22,1,2011,1,192,5,6654
39007,22,2,2011,1,40,3,4314
39007,23,1,2011,1,649,83,7461
39007,23,2,2011,1,149,10,2894
39007,31-33,1,2011,1,4799,314,4378
39007,31-33,2,2011,1,1780,72,2982
39007,42,1,2011,1,432,42,3561
39007,42,2,2011,1,134,17,2968
39007,44-45,1,2011,1,1367,129,2239
39007,44-45,2,2011,1,1612,130,1487
39007,48-49,1,2011,1,372,28,3020
39007,48-49,2,2011,1,95,7,2089
39007,51,1,2011,1,206,11,2903
39007,51,2,2011,1,197,6,1610
39007,52,1,2011,1,121,5,5570
39007,52,2,2011,1,345,12,2378
39007,53,1,2011,1,73,6,1918
39007,53,2,2011,1,67,7,1747
39007,54,1,2011,1,219,44,3594
39007,54,2,2011,1,290,42,2139
39007,55,1,2011,1,38,,2408
39007,55,2,2011,1,26,2,1851
39007,56,1,2011,1,816,998,2604
39007,56,2,2011,1,374,257,1813
39007,61,1,2011,1,754,47,2899
39007,61,2,2011,1,2048,86,2519
39007,62,1,2011,1,1045,95,3956
39007,62,2,2011,1,4623,334,2293
39007,71,1,2011,1,73,10,1486
39007,71,2,2011,1,49,11,911
39007,72,1,2011,1,893,143,1036
39007,72,2,2011,1,1434,192,876
39007,81,1,2011,1,412,44,1727
39007,81,2,2011,1,545,49,1201
39007,92,1,2011,1,587,12,2954
39007,92,2,2011,1,444,11,2752
39009,00,1,2011,1,8252,844,3402
39009,00,2,2011,1,9994,957,2416
39009,11,1,2011,1,7,,1507
39009,11,2,2011,1,6,0,1146
39009,21,1,2011,1,264,,6617
39009,21,2,2011,1,14,,4457
39009,22,1,2011,1,65,,5190
39009,22,2,2011,1,15,0,3364
39009,23,1,2011,1,327,40,3080
39009,23,2,2011,1,65,4,2107
39009,31-33,1,2011,1,269,24,3231
39009,31-33,2,2011,1,182,3,2725
39009,42,1,2011,1,194,23,3310
39009,42,2,2011,1,102,10,2638
39009,44-45,1,2011,1,1147,124,2569
39009,44-45,2,2011,1,1129,105,1614
39009,48-49,1,2011,1,79,3,3238
39009,48-49,2,2011,1,33,0,2115
39009,51,1,2011,1,194,13,2867
39009,51,2,2011,1,133,7,2050
39009,52,1,2011,1,77,7,5327
39009,52,2,2011,1,240,9,2408
39009,53,1,2011,1,109,11,1968
39009,53,2,2011,1,90,12,1818
39009,54,1,2011,1,197,19,4456
39009,54,2,2011,1,225,21,2589
39009,55,1,2011,1,147,12,9331
39009,55,2,2011,1,152,8,3287
39009,56,1,2011,1,130,45,1910
39009,56,2,2011,1,130,52,1479
39009,61,1,2011,1,2557,152,4087
39009,61,2,2011,1,3292,199,2968
39009,62,1,2011,1,757,58,3997
39009,62,2,2011,1,2510,199,2647
39009,71,1,2011,1,48,2,2754
39009,71,2,2011,1,34,1,1943
39009,72,1,2011,1,1073,263,997
39009,72,2,2011,1,1069,275,953
39009,81,1,2011,1,169,29,1886
39009,81,2,2011,1,260,38,1420
39009,92,1,2011,1,440,16,3058
39009,92,2,2011,1,313,12,2871
