geography,industry,sex,year,quarter,Emp,HirN,EarnS
40,00,1,2011,1,710549,109042,4095
40,00,2,2011,1,711445,92979,2480
40,11,1,2011,1,7396,1124,2841
40,11,2,2011,1,2994,443,2241
40,21,1,2011,1,35944,6518,9493
40,21,2,2011,1,11332,1016,6489
40,22,1,2011,1,12213,407,7249
40,22,2,2011,1,3907,146,5038
40,23,1,2011,1,56975,11342,3306
40,23,2,2011,1,12097,1901,2338
40,31-33,1,2011,1,94479,9202,4214
40,31-33,2,2011,1,29786,2448,2879
40,42,1,2011,1,39880,4367,4492
40,42,2,2011,1,16103,1896,2912
40,44-45,1,2011,1,79916,12201,2596
40,44-45,2,2011,1,84728,12431,1609
40,48-49,1,2011,1,32453,4060,4455
40,48-49,2,2011,1,8126,853,3211
40,51,1,2011,1,15034,1062,4725
40,51,2,2011,1,11500,932,3369
40,52,1,2011,1,17398,1163,7103
40,52,2,2011,1,37501,2387,3310
40,53,1,2011,1,11355,1834,3669
40,53,2,2011,1,9907,1305,2433
40,54,1,2011,1,32075,4196,5186
40,54,2,2011,1,32051,4485,2973
40,55,1,2011,1,8331,859,8951
40,55,2,2011,1,7444,678,3966
40,56,1,2011,1,53377,19857,2917
40,56,2,2011,1,37874,11206,2141
40,61,1,2011,1,45974,3287,3457
40,61,2,2011,1,105313,5548,2546
40,62,1,2011,1,40964,4204,5160
40,62,2,2011,1,161029,19023,2564
40,71,1,2011,1,15887,1961,2855
40,71,2,2011,1,16797,2111,1996
40,72,1,2011,1,52944,16192,1375
40,72,2,2011,1,66805,19574,1113
40,81,1,2011,1,17665,3290,2883
40,81,2,2011,1,17189,2744,1807
40,92,1,2011,1,40290,1917,3344
40,92,2,2011,1,38962,1853,2810
40,00,1,2011,3,739499,147423,4351
40,00,2,2011,3,706077,132301,2626
40,11,1,2011,3,7450,1024,3137
40,11,2,2011,3,3060,416,2486
40,21,1,2011,3,39846,9165,9552
40,21,2,2011,3,12137,1247,6402
40,22,1,2011,3,12359,485,6283
40,22,2,2011,3,4053,184,4482
40,23,1,2011,3,60590,15114,3887
40,23,2,2011,3,12851,2365,2741
40,31-33,1,2011,3,100613,12266,4444
40,31-33,2,2011,3,30775,3579,3140
40,42,1,2011,3,41635,5584,4831
40,42,2,2011,3,16575,2427,3196
40,44-45,1,2011,3,81116,17234,2839
40,44-45,2,2011,3,84672,21169,1770
40,48-49,1,2011,3,33394,5326,4578
40,48-49,2,2011,3,8408,1300,3349
40,51,1,2011,3,14851,1310,4738
40,51,2,2011,3,11406,1192,3390
40,52,1,2011,3,17721,1637,6244
40,52,2,2011,3,37295,3402,3177
40,53,1,2011,3,12007,2362,3860
40,53,2,2011,3,10261,1587,2651
40,54,1,2011,3,32931,4875,5892
40,54,2,2011,3,31741,4551,3330
40,55,1,2011,3,8748,1060,7932
40,55,2,2011,3,7439,825,3744
40,56,1,2011,3,58964,28096,3225
40,56,2,2011,3,39398,15658,2431
40,61,1,2011,3,39582,5183,3447
40,61,2,2011,3,83809,9650,2189
40,62,1,2011,3,41591,5738,6068
40,62,2,2011,3,162824,25892,2955
40,71,1,2011,3,18552,3098,3008
40,71,2,2011,3,19118,3318,2195
40,72,1,2011,3,56452,20977,1514
40,72,2,2011,3,71389,27256,1251
40,81,1,2011,3,18769,3811,3252
40,81,2,2011,3,17761,3219,2009
40,92,1,2011,3,42326,3077,3567
40,92,2,2011,3,41105,3065,2932
40,00,1,2012,1,735309,123783,4489
40,00,2,2012,1,721930,107703,2673
40,11,1,2012,1,7119,957,3124
40,11,2,2012,1,3049,420,2469
40,21,1,2012,1,41525,8311,9831
40,21,2,2012,1,12455,1319,7120
40,22,1,2012,1,12489,410,9364
40,22,2,2012,1,4200,186,5914
40,23,1,2012,1,58520,12771,3620
40,23,2,2012,1,12408,2316,2611
40,31-33,1,2012,1,101251,10661,4573
40,31-33,2,2012,1,30642,2808,3208
40,42,1,2012,1,41223,5207,5040
40,42,2,2012,1,16684,2069,3292
40,44-45,1,2012,1,80187,13426,2795
40,44-45,2,2012,1,85631,14201,1715
40,48-49,1,2012,1,35414,4773,5249
40,48-49,2,2012,1,8995,1100,3751
40,51,1,2012,1,14287,1052,5173
40,51,2,2012,1,10745,769,3689
40,52,1,2012,1,17707,1786,7552
40,52,2,2012,1,37926,3295,3515
40,53,1,2012,1,11710,1783,4131
40,53,2,2012,1,9706,1311,2621
40,54,1,2012,1,32906,4845,5647
40,54,2,2012,1,32322,4823,3189
40,55,1,2012,1,9075,920,9362
40,55,2,2012,1,7753,699,4211
40,56,1,2012,1,55090,21356,3153
40,56,2,2012,1,39470,12818,2345
40,61,1,2012,1,46089,4413,3559
40,61,2,2012,1,105923,7527,2577
40,62,1,2012,1,41524,4733,5632
40,62,2,2012,1,162425,21388,2809
40,71,1,2012,1,14688,2066,2973
40,71,2,2012,1,14945,2225,2080
40,72,1,2012,1,55589,18754,1490
40,72,2,2012,1,70691,23081,1228
40,81,1,2012,1,18255,3366,3110
40,81,2,2012,1,17185,3178,1941
40,92,1,2012,1,40662,2193,3474
40,92,2,2012,1,38775,2172,2922
40,00,1,2012,3,758940,144165,4291
40,00,2,2012,3,712888,132016,2616
40,11,1,2012,3,7499,1023,3138
40,11,2,2012,3,3244,394,2491
40,21,1,2012,3,45466,8171,8223
40,21,2,2012,3,13481,1180,5787
40,22,1,2012,3,12644,465,5882
40,22,2,2012,3,4351,189,4284
40,23,1,2012,3,61673,15092,3829
40,23,2,2012,3,13149,2305,2834
40,31-33,1,2012,3,103903,11097,4389
40,31-33,2,2012,3,31032,3197,3155
40,42,1,2012,3,43079,5307,4833
40,42,2,2012,3,16884,2322,3221
40,44-45,1,2012,3,82546,17163,2864
40,44-45,2,2012,3,86212,20289,1766
40,48-49,1,2012,3,36296,5199,4730
40,48-49,2,2012,3,9097,1315,3232
40,51,1,2012,3,14190,1200,4750
40,51,2,2012,3,10607,1060,3384
40,52,1,2012,3,18059,1491,6443
40,52,2,2012,3,37739,3302,3205
40,53,1,2012,3,12354,2021,3943
40,53,2,2012,3,10048,1405,2628
40,54,1,2012,3,33924,4346,5754
40,54,2,2012,3,32104,4151,3280
40,55,1,2012,3,9338,996,7430
40,55,2,2012,3,7812,856,3686
40,56,1,2012,3,58881,25866,3171
40,56,2,2012,3,40276,15131,2379
40,61,1,2012,3,38988,9029,3697
40,61,2,2012,3,83873,14577,2264
40,62,1,2012,3,41991,5421,5899
40,62,2,2012,3,162690,24922,2903
40,71,1,2012,3,17930,2964,3082
40,71,2,2012,3,18180,3219,2177
40,72,1,2012,3,58061,20824,1535
40,72,2,2012,3,73692,26546,1277
40,81,1,2012,3,19237,3945,3267
