geography,industry,sex,year,quarter,Emp,HirN,EarnS
42,00,1,2011,1,2608128,274450,4537
42,00,2,2011,1,2698190,237205,2951
42,11,1,2011,1,13098,1663,2535
42,11,2,2011,1,6707,952,1826
42,21,1,2011,1,25025,4501,5864
42,21,2,2011,1,2471,419,4692
42,22,1,2011,1,24996,595,8385
42,22,2,2011,1,7187,214,5763
42,23,1,2011,1,175787,27302,4048
42,23,2,2011,1,28051,2958,2887
42,31-33,1,2011,1,408810,23256,4847
42,31-33,2,2011,1,151006,7838,3675
42,42,1,2011,1,158613,11317,5608
42,42,2,2011,1,65557,4688,4225
42,44-45,1,2011,1,296729,30850,2670
42,44-45,2,2011,1,323547,29913,1673
42,48-49,1,2011,1,155783,15561,3481
42,48-49,2,2011,1,65936,4718,2360
42,51,1,2011,1,54647,3877,5836
42,51,2,2011,1,41353,2991,3913
42,52,1,2011,1,107231,6160,8342
42,52,2,2011,1,168767,7409,4563
42,53,1,2011,1,32836,3132,4360
42,53,2,2011,1,23883,1849,3095
42,54,1,2011,1,164966,14932,7438
42,54,2,2011,1,146950,13886,4672
42,55,1,2011,1,64610,4522,8424
42,55,2,2011,1,62153,4072,4907
42,56,1,2011,1,152404,48829,2956
42,56,2,2011,1,115765,30949,2248
42,61,1,2011,1,171623,10033,4356
42,61,2,2011,1,343420,16144,3269
42,62,1,2011,1,203857,15023,4971
42,62,2,2011,1,719332,53585,2924
42,71,1,2011,1,37794,6379,2212
42,71,2,2011,1,34328,4995,1404
42,72,1,2011,1,167867,34072,1525
42,72,2,2011,1,218540,37438,1114
42,81,1,2011,1,85104,9863,2822
42,81,2,2011,1,96507,10031,1792
42,92,1,2011,1,106351,2584,4233
42,92,2,2011,1,76730,2158,3178
42,00,1,2011,3,2726321,422189,4726
42,00,2,2011,3,2689935,387175,3114
42,11,1,2011,3,15077,3562,2777
42,11,2,2011,3,7880,2023,1936
42,21,1,2011,3,29663,6480,6358
42,21,2,2011,3,2939,634,4508
