geography,industry,sex,year,quarter,Emp,HirN,EarnS
44,00,1,2011,1,195455,19953,4491
44,00,2,2011,1,227225,19993,2926
44,11,1,2011,1,261,20,1942
44,11,2,2011,1,160,18,1301
44,21,1,2011,1,113,14,3363
44,21,2,2011,1,18,,2615
44,22,1,2011,1,1144,24,6367
44,22,2,2011,1,230,6,4145
44,23,1,2011,1,11947,1719,4057
44,23,2,2011,1,2495,292,2976
44,31-33,1,2011,1,27156,1362,4770
44,31-33,2,2011,1,13390,694,2871
44,42,1,2011,1,10055,863,5910
44,42,2,2011,1,5236,503,4020
44,44-45,1,2011,1,23282,2369,2603
44,44-45,2,2011,1,23044,1916,1680
44,48-49,1,2011,1,6485,499,3761
44,48-49,2,2011,1,3255,115,2590
44,51,1,2011,1,5556,366,6234
44,51,2,2011,1,4786,291,3851
44,52,1,2011,1,8611,513,10679
44,52,2,2011,1,13980,617,4778
44,53,1,2011,1,3302,329,3389
44,53,2,2011,1,2117,239,2601
44,54,1,2011,1,10230,1101,6271
44,54,2,2011,1,10133,1073,3595
44,55,1,2011,1,4010,233,11691
44,55,2,2011,1,5616,251,5788
44,56,1,2011,1,11664,3237,2710
44,56,2,2011,1,9476,2370,2061
44,61,1,2011,1,16746,1613,4289
44,61,2,2011,1,30450,2378,3558
44,62,1,2011,1,16834,1156,4535
44,62,2,2011,1,61559,4269,2898
44,71,1,2011,1,3653,385,2776
44,71,2,2011,1,3089,311,1587
44,72,1,2011,1,16813,2953,1471
44,72,2,2011,1,21330,3381,1114
44,81,1,2011,1,7986,813,2767
44,81,2,2011,1,9780,985,1812
44,92,1,2011,1,9605,386,5095
44,92,2,2011,1,7081,282,4143
44,00,1,2011,3,209474,29747,4485
44,00,2,2011,3,231231,29766,2994
44,11,1,2011,3,520,118,2594
44,11,2,2011,3,311,92,1831
44,21,1,2011,3,171,14,4354
44,21,2,2011,3,16,,3096
44,22,1,2011,3,1142,38,6786
44,22,2,2011,3,227,13,4257
44,23,1,2011,3,14995,3134,4540
44,23,2,2011,3,2830,436,3184
44,31-33,1,2011,3,27140,1556,4698
44,31-33,2,2011,3,13323,821,2900
44,42,1,2011,3,10527,869,5696
44,42,2,2011,3,5434,448,4001
44,44-45,1,2011,3,23780,3513,2828
44,44-45,2,2011,3,23328,3789,1900
44,48-49,1,2011,3,6632,747,3690
44,48-49,2,2011,3,2849,328,2338
44,51,1,2011,3,5902,543,5691
44,51,2,2011,3,4900,345,3905
44,52,1,2011,3,8742,674,8643
44,52,2,2011,3,13708,700,4397
44,53,1,2011,3,3652,461,3587
44,53,2,2011,3,2224,362,2914
44,54,1,2011,3,10692,1193,6626
44,54,2,2011,3,10106,1089,3965
44,55,1,2011,3,4207,282,7361
44,55,2,2011,3,5730,297,4567
44,56,1,2011,3,13781,4416,3084
44,56,2,2011,3,9963,3379,2318
