geography,industry,sex,year,quarter,Emp,HirN,EarnS
45,00,1,2011,1,820545,118258,3978
45,00,2,2011,1,871576,107396,2493
45,11,1,2011,1,6778,1214,2600
45,11,2,2011,1,2339,499,1602
45,21,1,2011,1,987,61,4409
45,21,2,2011,1,129,11,3756
45,22,1,2011,1,13775,233,7561
45,22,2,2011,1,4347,83,4888
45,23,1,2011,1,59953,11268,3581
45,23,2,2011,1,13053,2078,2652
45,31-33,1,2011,1,150903,12788,4884
45,31-33,2,2011,1,62861,5049,3217
45,42,1,2011,1,45302,3701,5095
45,42,2,2011,1,18531,1770,3644
45,44-45,1,2011,1,100366,14029,2543
45,44-45,2,2011,1,118002,14894,1587
45,48-49,1,2011,1,34008,4137,3255
45,48-49,2,2011,1,12932,1264,2358
45,51,1,2011,1,15816,1372,4748
45,51,2,2011,1,13541,1238,3381
45,52,1,2011,1,20760,1605,8307
45,52,2,2011,1,47090,2704,3617
45,53,1,2011,1,12448,1456,3328
45,53,2,2011,1,11892,1458,2451
45,54,1,2011,1,38422,5401,6212
45,54,2,2011,1,36822,5532,3249
45,55,1,2011,1,8084,559,6126
45,55,2,2011,1,8258,576,3696
45,56,1,2011,1,72870,25856,3215
45,56,2,2011,1,51980,16678,2171
45,61,1,2011,1,45385,2820,3597
45,61,2,2011,1,118720,5528,2807
45,62,1,2011,1,38801,3792,6184
45,62,2,2011,1,181376,16451,2720
45,71,1,2011,1,12482,1784,1701
45,71,2,2011,1,11142,1815,1169
45,72,1,2011,1,71731,19991,1503
45,72,2,2011,1,94653,24595,1133
45,81,1,2011,1,22976,3908,2774
45,81,2,2011,1,23748,3665,1727
45,92,1,2011,1,48697,2285,2965
45,92,2,2011,1,40159,1507,2616
45,00,1,2011,3,864679,139535,4078
45,00,2,2011,3,886216,133430,2623
45,11,1,2011,3,8599,1407,2786
45,11,2,2011,3,3488,639,1807
45,21,1,2011,3,1154,109,4486
45,21,2,2011,3,159,12,3574
45,22,1,2011,3,13940,274,6364
45,22,2,2011,3,4444,64,4477
45,23,1,2011,3,63154,13312,3811
45,23,2,2011,3,13466,1740,2950
45,31-33,1,2011,3,155700,13335,4750
45,31-33,2,2011,3,64134,4963,3288
45,42,1,2011,3,46080,3916,5202
45,42,2,2011,3,18593,1769,3738
45,44-45,1,2011,3,101556,16901,2754
45,44-45,2,2011,3,118189,21887,1776
45,48-49,1,2011,3,34957,4879,3588
45,48-49,2,2011,3,13114,1593,2572
45,51,1,2011,3,15715,1444,4912
45,51,2,2011,3,13371,1060,3485
45,52,1,2011,3,20668,1924,6739
45,52,2,2011,3,46178,3490,3559
45,53,1,2011,3,13733,2099,3463
45,53,2,2011,3,13585,1997,2678
45,54,1,2011,3,41301,5513,6670
45,54,2,2011,3,38611,4847,3502
45,55,1,2011,3,8263,669,5788
45,55,2,2011,3,8563,641,3617
45,56,1,2011,3,81176,32525,3430
45,56,2,2011,3,54542,21813,2360
45,61,1,2011,3,42550,5185,3756
45,61,2,2011,3,103070,9665,2801
45,62,1,2011,3,39451,3992,7200
45,62,2,2011,3,183004,19141,2982
45,71,1,2011,3,17146,2651,2093
45,71,2,2011,3,14868,2488,1375
45,72,1,2011,3,85489,23159,1721
45,72,2,2011,3,109688,30138,1325
45,81,1,2011,3,24466,3863,3041
45,81,2,2011,3,24672,3611,1830
45,92,1,2011,3,49580,2378,3180
45,92,2,2011,3,40476,1871,2759
45,00,1,2012,1,841105,119474,4190
45,00,2,2012,1,875951,109282,2622
45,11,1,2012,1,7110,1384,2795
45,11,2,2012,1,2425,491,1763
45,21,1,2012,1,1113,59,5030
45,21,2,2012,1,150,7,3894
45,22,1,2012,1,13725,484,7825
45,22,2,2012,1,4290,89,5227
45,23,1,2012,1,60371,12311,3771
45,23,2,2012,1,13067,1747,2868
45,31-33,1,2012,1,157536,11901,4991
45,31-33,2,2012,1,64275,4432,3368
45,42,1,2012,1,45976,4030,5442
45,42,2,2012,1,18720,1669,3886
45,44-45,1,2012,1,100318,13802,2705
45,44-45,2,2012,1,117153,14859,1676
45,48-49,1,2012,1,35004,3756,3493
45,48-49,2,2012,1,13222,1166,2475
45,51,1,2012,1,15216,1170,4902
45,51,2,2012,1,12987,1131,3413
45,52,1,2012,1,20772,1734,8974
45,52,2,2012,1,46785,3308,3845
45,53,1,2012,1,12208,1566,3768
45,53,2,2012,1,11743,1425,2659
45,54,1,2012,1,40724,5477,6804
45,54,2,2012,1,37727,5280,3502
45,55,1,2012,1,8631,661,6117
45,55,2,2012,1,9018,713,3749
45,56,1,2012,1,76142,26628,3357
45,56,2,2012,1,54406,17886,2259
45,61,1,2012,1,46572,2838,3841
45,61,2,2012,1,115387,5622,2933
45,62,1,2012,1,38452,3444,6658
45,62,2,2012,1,180071,16584,2883
45,71,1,2012,1,12850,1918,1868
45,71,2,2012,1,11566,1890,1226
45,72,1,2012,1,77030,20382,1588
45,72,2,2012,1,100521,25154,1209
45,81,1,2012,1,23121,3655,2932
45,81,2,2012,1,23331,3448,1833
45,92,1,2012,1,48235,2273,3106
45,92,2,2012,1,39106,2381,2704
45,00,1,2012,3,871749,134600,3987
45,00,2,2012,3,889617,134961,2581
45,11,1,2012,3,8376,1469,2759
45,11,2,2012,3,3135,573,1791
45,21,1,2012,3,1092,45,4620
45,21,2,2012,3,146,3,3553
45,22,1,2012,3,14067,304,6242
45,22,2,2012,3,4389,93,4453
45,23,1,2012,3,63574,12906,3799
45,23,2,2012,3,13470,1778,2970
45,31-33,1,2012,3,155938,11185,4600
45,31-33,2,2012,3,63103,4073,3225
45,42,1,2012,3,46802,3722,5144
45,42,2,2012,3,18935,1702,3734
45,44-45,1,2012,3,104156,17071,2675
45,44-45,2,2012,3,119898,21988,1710
45,48-49,1,2012,3,35778,4941,3490
45,48-49,2,2012,3,13734,1888,2476
45,51,1,2012,3,15043,1176,4610
45,51,2,2012,3,12858,1263,3260
45,52,1,2012,3,21090,2036,6593
45,52,2,2012,3,46801,4087,3464
45,53,1,2012,3,13524,2161,3472
45,53,2,2012,3,13338,2110,2698
45,54,1,2012,3,41650,4947,6454
45,54,2,2012,3,37824,4429,3475
45,55,1,2012,3,8890,626,6103
45,55,2,2012,3,8981,666,3555
45,56,1,2012,3,81558,28984,3240
45,56,2,2012,3,57285,21316,2255
45,61,1,2012,3,41791,4980,3819
45,61,2,2012,3,97854,9639,2856
45,62,1,2012,3,40765,4100,7076
45,62,2,2012,3,186052,19088,2939
45,71,1,2012,3,17390,2728,1919
45,71,2,2012,3,15045,2432,1317
45,72,1,2012,3,87762,24900,1702
45,72,2,2012,3,112670,31742,1306
45,81,1,2012,3,24452,3815,2960
45,81,2,2012,3,24485,3703,1816
45,92,1,2012,3,48052,2505,3150
45,92,2,2012,3,39613,2385,2773
45,00,1,2013,1,858700,117881,4228
45,00,2,2013,1,893077,110642,2685
45,11,1,2013,1,7343,1122,2802
45,11,2,2013,1,2453,402,1804
45,21,1,2013,1,944,39,5069
45,21,2,2013,1,119,6,4189
45,22,1,2013,1,13877,421,8372
45,22,2,2013,1,4214,182,5508
45,23,1,2013,1,62644,12855,3807
45,23,2,2013,1,13176,1697,2971
45,31-33,1,2013,1,160227,11091,5083
45,31-33,2,2013,1,63702,4522,3523
45,42,1,2013,1,45626,3870,5516
45,42,2,2013,1,18680,1740,3999
45,44-45,1,2013,1,102448,13669,2741
45,44-45,2,2013,1,118881,15111,1705
45,48-49,1,2013,1,35866,3848,3462
45,48-49,2,2013,1,14044,1239,2483
45,51,1,2013,1,15538,1788,5051
45,51,2,2013,1,13226,1796,3621
45,52,1,2013,1,20935,1723,9226
45,52,2,2013,1,47078,4461,3968
45,53,1,2013,1,12591,1652,3662
45,53,2,2013,1,12059,1535,2739
45,54,1,2013,1,41053,5498,6625
45,54,2,2013,1,38806,5696,3527
45,55,1,2013,1,8569,831,6324
45,55,2,2013,1,8941,771,3834
45,56,1,2013,1,77319,24593,3242
45,56,2,2013,1,55672,17465,2234
45,61,1,2013,1,46867,2838,3929
45,61,2,2013,1,121270,5232,2997
45,62,1,2013,1,40165,3340,6717
45,62,2,2013,1,183827,16917,2953
45,71,1,2013,1,13191,1864,1790
45,71,2,2013,1,11351,1843,1238
45,72,1,2013,1,79195,20667,1608
45,72,2,2013,1,102777,25130,1210
45,81,1,2013,1,23849,4073,2989
45,81,2,2013,1,23496,3220,1869
45,92,1,2013,1,50454,2098,3162
45,92,2,2013,1,39307,1678,2822
45,00,1,2013,3,896807,145902,4086
45,00,2,2013,3,911776,146027,2649
45,11,1,2013,3,8908,1281,2785
45,11,2,2013,3,3575,567,1858
45,21,1,2013,3,1052,40,4644
45,21,2,2013,3,135,11,4026
45,22,1,2013,3,14165,348,6464
45,22,2,2013,3,4362,87,4597
45,23,1,2013,3,65732,13765,3900
45,23,2,2013,3,13828,1896,3077
45,31-33,1,2013,3,160961,11651,4775
45,31-33,2,2013,3,63779,4383,3371
45,42,1,2013,3,47163,3732,5334
45,42,2,2013,3,19322,1782,3813
45,44-45,1,2013,3,107529,18789,2754
45,44-45,2,2013,3,123147,24691,1745
45,48-49,1,2013,3,36674,5314,3532
45,48-49,2,2013,3,14455,2058,2484
45,51,1,2013,3,15564,1645,4782
45,51,2,2013,3,13404,1430,3348
45,52,1,2013,3,21484,1680,6940
45,52,2,2013,3,47557,3517,3535
45,53,1,2013,3,13992,2051,3722
45,53,2,2013,3,13636,2143,2814
45,54,1,2013,3,41460,5576,6600
45,54,2,2013,3,38757,4875,3621
45,55,1,2013,3,9083,1005,5556
45,55,2,2013,3,8995,821,3614
45,56,1,2013,3,83632,32264,3277
45,56,2,2013,3,59122,24602,2249
45,61,1,2013,3,41513,5093,3837
45,61,2,2013,3,102214,10277,2896
45,62,1,2013,3,41299,4007,7201
45,62,2,2013,3,187862,19641,3020
45,71,1,2013,3,17593,2994,1894
45,71,2,2013,3,15005,2570,1339
45,72,1,2013,3,90807,27086,1736
45,72,2,2013,3,116058,34478,1348
45,81,1,2013,3,25229,4940,3129
45,81,2,2013,3,23942,3987,1915
45,92,1,2013,3,52966,2641,3190
45,92,2,2013,3,42621,2210,2804
45,00,1,2014,1,883733,129069,4306
45,00,2,2014,1,917472,116863,2721
45,11,1,2014,1,7426,1259,2845
45,11,2,2014,1,2362,430,1868
45,21,1,2014,1,1051,48,5144
45,21,2,2014,1,130,8,5490
45,22,1,2014,1,13780,356,8695
45,22,2,2014,1,4221,140,5745
45,23,1,2014,1,64546,12383,3925
45,23,2,2014,1,13618,1798,3097
45,31-33,1,2014,1,162985,12290,5222
45,31-33,2,2014,1,65094,4722,3612
45,42,1,2014,1,47780,4012,5692
45,42,2,2014,1,19045,1786,4117
45,44-45,1,2014,1,105587,14402,2707
45,44-45,2,2014,1,122563,15991,1689
45,48-49,1,2014,1,37285,4809,3510
45,48-49,2,2014,1,14774,1604,2474
45,51,1,2014,1,15585,1244,5266
45,51,2,2014,1,13663,1193,3630
45,52,1,2014,1,21288,1609,9595
45,52,2,2014,1,47303,3085,4047
45,53,1,2014,1,13133,1517,3679
45,53,2,2014,1,12576,1403,2799
45,54,1,2014,1,41224,7112,6619
45,54,2,2014,1,39412,6724,3625
45,55,1,2014,1,8990,905,6736
45,55,2,2014,1,8372,771,3886
45,56,1,2014,1,82705,29909,3298
45,56,2,2014,1,60084,20442,2265
45,61,1,2014,1,47426,2540,3943
45,61,2,2014,1,122533,4647,3023
45,62,1,2014,1,41401,4129,6908
45,62,2,2014,1,188880,18487,3003
45,71,1,2014,1,13658,2046,1783
45,71,2,2014,1,11875,1890,1263
45,72,1,2014,1,81426,21729,1590
45,72,2,2014,1,105596,26640,1209
45,81,1,2014,1,24217,4046,3046
45,81,2,2014,1,23253,3212,1905
45,92,1,2014,1,52241,2725,3232
45,92,2,2014,1,42119,1891,2838
45,00,1,2014,3,922359,158561,4180
45,00,2,2014,3,933376,163082,2725
45,11,1,2014,3,8946,1357,2961
45,11,2,2014,3,3350,509,1994
