geography,industry,sex,year,quarter,Emp,HirN,EarnS
46,00,1,2011,1,175213,19676,3513
46,00,2,2011,1,190759,18330,2269
46,11,1,2011,1,2855,424,2624
46,11,2,2011,1,968,202,1983
46,21,1,2011,1,627,28,4306
46,21,2,2011,1,77,4,3371
46,22,1,2011,1,1718,38,6263
46,22,2,2011,1,683,15,4127
46,23,1,2011,1,15661,2052,3026
46,23,2,2011,1,2173,239,2011
46,31-33,1,2011,1,26377,2532,3658
46,31-33,2,2011,1,10950,732,2640
46,42,1,2011,1,14344,1060,4305
46,42,2,2011,1,4212,373,2642
46,44-45,1,2011,1,23578,2375,2551
46,44-45,2,2011,1,25681,2579,1488
46,48-49,1,2011,1,7419,814,3175
46,48-49,2,2011,1,1949,165,2287
46,51,1,2011,1,3788,225,3970
46,51,2,2011,1,2765,204,2591
46,52,1,2011,1,7763,430,6008
46,52,2,2011,1,15939,759,3056
46,53,1,2011,1,1969,194,2564
46,53,2,2011,1,1700,156,1935
46,54,1,2011,1,5611,564,5014
46,54,2,2011,1,5880,773,2878
46,55,1,2011,1,1763,86,10509
46,55,2,2011,1,2311,122,3905
46,56,1,2011,1,6092,2498,2547
46,56,2,2011,1,6267,1734,1922
46,61,1,2011,1,11330,877,3471
46,61,2,2011,1,24629,1438,2623
46,62,1,2011,1,10905,764,5524
46,62,2,2011,1,47313,3323,2557
46,71,1,2011,1,3392,494,1819
46,71,2,2011,1,3654,595,1316
46,72,1,2011,1,14330,2968,1289
46,72,2,2011,1,19618,3784,975
46,81,1,2011,1,4899,676,2710
46,81,2,2011,1,4795,613,1605
46,92,1,2011,1,10792,577,2796
46,92,2,2011,1,9195,519,2237
46,00,1,2011,3,190186,33441,3731
46,00,2,2011,3,195909,32617,2409
46,11,1,2011,3,3339,688,2889
46,11,2,2011,3,1206,237,2103
46,21,1,2011,3,835,109,5035
46,21,2,2011,3,108,33,3787
46,22,1,2011,3,1815,46,6509
46,22,2,2011,3,685,21,4152
46,23,1,2011,3,20514,5804,3715
46,23,2,2011,3,2697,718,2438
46,31-33,1,2011,3,28271,3403,3821
46,31-33,2,2011,3,11508,1281,2815
46,42,1,2011,3,14969,1358,4548
46,42,2,2011,3,4431,524,2875
46,44-45,1,2011,3,24592,4144,2745
46,44-45,2,2011,3,26657,5261,1668
46,48-49,1,2011,3,7615,1034,3490
46,48-49,2,2011,3,1929,262,2430
46,51,1,2011,3,3823,306,4051
46,51,2,2011,3,2765,295,2772
46,52,1,2011,3,7711,527,5366
46,52,2,2011,3,15561,912,3102
46,53,1,2011,3,2131,351,2795
46,53,2,2011,3,1835,252,2094
46,54,1,2011,3,5840,645,5679
46,54,2,2011,3,5842,718,3036
46,55,1,2011,3,1887,128,7528
46,55,2,2011,3,2407,184,3712
46,56,1,2011,3,7246,3250,2671
46,56,2,2011,3,6699,2875,2078
46,61,1,2011,3,9430,1209,3382
46,61,2,2011,3,18917,2015,2393
46,62,1,2011,3,11135,964,6521
46,62,2,2011,3,48176,4510,2858
46,71,1,2011,3,4607,932,1964
46,71,2,2011,3,5108,1119,1461
46,72,1,2011,3,16418,6398,1519
46,72,2,2011,3,23383,9418,1170
46,81,1,2011,3,5274,895,2910
46,81,2,2011,3,5145,907,1743
46,92,1,2011,3,12733,1250,3063
46,92,2,2011,3,10852,1074,2518
46,00,1,2012,1,180268,22407,3784
46,00,2,2012,1,192555,22443,2402
46,11,1,2012,1,3070,421,2713
46,11,2,2012,1,1056,184,2026
46,21,1,2012,1,665,42,4802
46,21,2,2012,1,84,5,3695
46,22,1,2012,1,1666,37,6585
46,22,2,2012,1,607,18,4243
46,23,1,2012,1,16571,2501,3304
46,23,2,2012,1,2233,327,2189
46,31-33,1,2012,1,28325,2975,3874
46,31-33,2,2012,1,11517,1040,2792
46,42,1,2012,1,14882,1328,4776
46,42,2,2012,1,4370,417,2854
46,44-45,1,2012,1,24146,2685,2722
46,44-45,2,2012,1,26090,2971,1588
46,48-49,1,2012,1,7520,733,3421
46,48-49,2,2012,1,1933,169,2460
46,51,1,2012,1,3704,225,4223
46,51,2,2012,1,2649,207,2778
46,52,1,2012,1,7736,632,6468
46,52,2,2012,1,15657,1006,3367
46,53,1,2012,1,1962,238,2715
46,53,2,2012,1,1702,185,2075
46,54,1,2012,1,5797,669,5664
46,54,2,2012,1,5902,802,3039
46,55,1,2012,1,1984,118,10610
46,55,2,2012,1,2375,163,4104
46,56,1,2012,1,6274,2284,2676
46,56,2,2012,1,6535,1733,2105
46,61,1,2012,1,11199,819,3664
46,61,2,2012,1,24790,1436,2689
46,62,1,2012,1,11054,993,6116
46,62,2,2012,1,46939,4974,2691
46,71,1,2012,1,3364,536,1881
46,71,2,2012,1,3691,618,1370
