geography,industry,sex,year,quarter,Emp,HirN,EarnS
47,00,1,2011,1,1236980,160264,4387
47,00,2,2011,1,1253304,137268,2754
47,11,1,2011,1,4388,1024,2259
47,11,2,2011,1,1565,335,1721
47,21,1,2011,1,2933,242,5632
47,21,2,2011,1,291,23,5773
47,22,1,2011,1,12291,226,4761
47,22,2,2011,1,4095,111,3809
47,23,1,2011,1,84763,14449,3591
47,23,2,2011,1,14486,2106,2645
47,31-33,1,2011,1,216120,14280,5013
47,31-33,2,2011,1,88848,4853,3542
47,42,1,2011,1,79165,6487,5325
47,42,2,2011,1,36222,3141,3622
47,44-45,1,2011,1,149745,18426,3011
47,44-45,2,2011,1,158768,17747,1874
47,48-49,1,2011,1,92801,10812,4219
47,48-49,2,2011,1,31168,2514,2719
47,51,1,2011,1,25369,1724,5355
47,51,2,2011,1,19934,1286,3726
47,52,1,2011,1,33259,2504,10948
47,52,2,2011,1,67773,3845,4035
47,53,1,2011,1,17238,1820,3747
47,53,2,2011,1,13940,1569,2763
47,54,1,2011,1,53523,6501,6994
47,54,2,2011,1,52814,6661,3803
47,55,1,2011,1,13549,1323,10528
47,55,2,2011,1,14991,1327,4193
47,56,1,2011,1,94274,36629,2995
47,56,2,2011,1,69966,22513,2273
47,61,1,2011,1,66286,4022,3816
47,61,2,2011,1,165436,7414,2938
47,62,1,2011,1,74440,6139,6157
47,62,2,2011,1,290307,25548,2934
47,71,1,2011,1,14001,2369,3664
47,71,2,2011,1,11154,1692,1605
47,72,1,2011,1,100578,24451,1700
47,72,2,2011,1,124041,27583,1258
47,81,1,2011,1,32049,4575,2967
47,81,2,2011,1,36045,5253,1876
47,92,1,2011,1,70208,2260,3238
47,92,2,2011,1,51461,1747,2748
47,00,1,2011,3,1291144,215678,4524
47,00,2,2011,3,1265863,192702,2908
47,11,1,2011,3,5167,1445,2679
47,11,2,2011,3,1873,769,2012
47,21,1,2011,3,3282,368,4618
47,21,2,2011,3,331,21,4518
47,22,1,2011,3,12300,259,5356
47,22,2,2011,3,4159,106,4230
47,23,1,2011,3,95179,23687,4140
47,23,2,2011,3,15898,2918,3063
47,31-33,1,2011,3,222679,17950,4847
47,31-33,2,2011,3,91148,6306,3521
47,42,1,2011,3,81609,7396,5523
47,42,2,2011,3,37539,3560,3834
47,44-45,1,2011,3,155162,25030,3249
47,44-45,2,2011,3,162310,28917,2075
47,48-49,1,2011,3,96060,14763,4639
47,48-49,2,2011,3,32607,3993,3059
47,51,1,2011,3,25015,2539,5411
47,51,2,2011,3,19430,1873,3906
47,52,1,2011,3,33867,3553,8937
47,52,2,2011,3,68365,6070,3887
47,53,1,2011,3,18159,2790,3888
47,53,2,2011,3,14548,1958,2960
47,54,1,2011,3,56015,7592,7118
47,54,2,2011,3,53255,7040,4061
47,55,1,2011,3,14619,1691,6650
47,55,2,2011,3,16060,1934,3787
47,56,1,2011,3,102158,48492,3341
47,56,2,2011,3,72010,31985,2538
47,61,1,2011,3,60416,6890,4041
47,61,2,2011,3,142513,12667,2711
47,62,1,2011,3,75754,8503,7258
47,62,2,2011,3,293897,34190,3301
47,71,1,2011,3,20306,3927,3584
47,71,2,2011,3,15300,2642,2068
47,72,1,2011,3,107370,30419,1870
47,72,2,2011,3,134302,37903,1405
47,81,1,2011,3,33866,5638,3223
47,81,2,2011,3,37495,5633,2077
47,92,1,2011,3,72160,2745,3513
47,92,2,2011,3,52825,2218,2944
47,00,1,2012,1,1270526,198418,4673
47,00,2,2012,1,1287270,186301,2961
47,11,1,2012,1,4772,938,2490
47,11,2,2012,1,1602,409,1931
47,21,1,2012,1,3013,211,6039
47,21,2,2012,1,318,25,5694
47,22,1,2012,1,12302,231,5169
47,22,2,2012,1,4177,140,4154
47,23,1,2012,1,88822,18569,3827
47,23,2,2012,1,14743,2952,2868
47,31-33,1,2012,1,220511,18313,5255
47,31-33,2,2012,1,88712,7059,3784
47,42,1,2012,1,80321,7772,5682
47,42,2,2012,1,37829,4147,3895
47,44-45,1,2012,1,152793,21770,3244
47,44-45,2,2012,1,163641,23370,2012
47,48-49,1,2012,1,96714,13661,4364
47,48-49,2,2012,1,33772,4142,2866
47,51,1,2012,1,24734,2129,5875
47,51,2,2012,1,18843,1882,4008
47,52,1,2012,1,33645,2701,11126
47,52,2,2012,1,68038,5491,4317
47,53,1,2012,1,17718,2269,4075
47,53,2,2012,1,14095,2061,2974
47,54,1,2012,1,54909,7577,7585
47,54,2,2012,1,54369,8590,4140
47,55,1,2012,1,14842,1697,12085
47,55,2,2012,1,16635,2041,4957
47,56,1,2012,1,103060,49311,3260
47,56,2,2012,1,76327,34414,2483
47,61,1,2012,1,67940,4004,3982
47,61,2,2012,1,169099,9474,3113
47,62,1,2012,1,75930,7134,6611
47,62,2,2012,1,298768,33569,3183
47,71,1,2012,1,14108,2906,4906
47,71,2,2012,1,11103,2337,1930
47,72,1,2012,1,103479,29315,1792
47,72,2,2012,1,128809,34864,1313
47,81,1,2012,1,32703,5266,3160
47,81,2,2012,1,36258,6526,2034
47,92,1,2012,1,68210,2644,3369
47,92,2,2012,1,50131,2808,2852
47,00,1,2012,3,1309971,215015,4465
47,00,2,2012,3,1286122,202324,2877
47,11,1,2012,3,5347,1483,2580
47,11,2,2012,3,2024,818,1949
47,21,1,2012,3,2970,223,4433
47,21,2,2012,3,308,28,4130
47,22,1,2012,3,12308,293,5383
47,22,2,2012,3,4206,132,4203
47,23,1,2012,3,94044,20443,4027
47,23,2,2012,3,15838,2751,3094
