geography,industry,sex,year,quarter,Emp,HirN,EarnS
48,00,1,2011,1,5070123,740790,5371
48,00,2,2011,1,4929846,623629,3104
48,11,1,2011,1,40621,7481,2573
48,11,2,2011,1,14892,3187,1986
48,21,1,2011,1,172459,28635,13203
48,21,2,2011,1,44327,4235,9582
48,22,1,2011,1,57982,2076,7439
48,22,2,2011,1,21121,964,5397
48,23,1,2011,1,459218,89895,4391
48,23,2,2011,1,112589,17774,3125
48,31-33,1,2011,1,605531,49685,6546
48,31-33,2,2011,1,223416,17344,4237
48,42,1,2011,1,347614,32849,6690
48,42,2,2011,1,148699,15203,4414
48,44-45,1,2011,1,569930,77143,3013
48,44-45,2,2011,1,577817,72693,1958
48,48-49,1,2011,1,276353,34255,4882
48,48-49,2,2011,1,108336,10417,3587
48,51,1,2011,1,123583,9403,7388
48,51,2,2011,1,83778,6542,4963
48,52,1,2011,1,168025,14829,11290
48,52,2,2011,1,285354,21850,4654
48,53,1,2011,1,96068,12810,5129
48,53,2,2011,1,75998,9619,3257
48,54,1,2011,1,316048,44898,7897
48,54,2,2011,1,257436,38028,4332
48,55,1,2011,1,44351,3847,10789
48,55,2,2011,1,42886,3665,4799
48,56,1,2011,1,354320,120081,3946
48,56,2,2011,1,273226,81473,2662
48,61,1,2011,1,338826,20193,3858
48,61,2,2011,1,817180,36448,3092
48,62,1,2011,1,287213,32233,5573
48,62,2,2011,1,1052164,122896,2914
48,71,1,2011,1,63925,11352,3150
48,71,2,2011,1,51602,9968,1694
48,72,1,2011,1,420796,116425,1749
48,72,2,2011,1,454789,123675,1358
48,81,1,2011,1,141920,26483,3359
48,81,2,2011,1,135727,22446,2037
48,92,1,2011,1,185340,6217,3843
48,92,2,2011,1,148507,5201,3123
48,00,1,2011,3,5250890,950280,5196
48,00,2,2011,3,4950431,823106,3210
48,11,1,2011,3,40019,7946,2808
48,11,2,2011,3,14826,3164,2184
48,21,1,2011,3,189616,41109,10232
48,21,2,2011,3,47472,6146,7549
48,22,1,2011,3,59480,2709,6401
48,22,2,2011,3,22376,1285,4807
48,23,1,2011,3,482739,115691,4744
48,23,2,2011,3,117974,22331,3474
48,31-33,1,2011,3,624640,64684,6026
48,31-33,2,2011,3,228119,22659,4125
48,42,1,2011,3,361960,41359,6425
48,42,2,2011,3,154106,18298,4441
48,44-45,1,2011,3,581944,109463,3213
48,44-45,2,2011,3,582038,122873,2144
48,48-49,1,2011,3,285152,45767,4892
48,48-49,2,2011,3,110296,12709,3554
48,51,1,2011,3,125058,11073,6662
48,51,2,2011,3,83531,8221,4636
48,52,1,2011,3,171848,18718,8033
48,52,2,2011,3,285772,27551,4183
48,53,1,2011,3,101341,17080,4979
48,53,2,2011,3,78767,11441,3411
48,54,1,2011,3,329049,54498,8174
48,54,2,2011,3,258987,40743,4640
48,55,1,2011,3,46230,5074,7862
48,55,2,2011,3,44295,5462,4344
48,56,1,2011,3,386655,157686,3920
48,56,2,2011,3,287516,109937,2862
48,61,1,2011,3,308494,31516,4081
48,61,2,2011,3,726793,55436,3242
48,62,1,2011,3,295837,40345,6166
48,62,2,2011,3,1068697,154875,3204
48,71,1,2011,3,78367,13615,3572
48,71,2,2011,3,63341,12265,1939
48,72,1,2011,3,444200,134518,1858
48,72,2,2011,3,482432,153017,1483
48,81,1,2011,3,150751,30420,3686
48,81,2,2011,3,143537,28581,2241
48,92,1,2011,3,187511,7009,4180
48,92,2,2011,3,149557,6111,3332
48,00,1,2012,1,5244826,830032,5766
48,00,2,2012,1,5005814,692712,3307
48,11,1,2012,1,38750,7222,2737
48,11,2,2012,1,14830,3498,2096
48,21,1,2012,1,202774,40197,13126
48,21,2,2012,1,50007,5796,9852
48,22,1,2012,1,57747,2677,8279
48,22,2,2012,1,21601,1312,5871
48,23,1,2012,1,471760,100427,4784
48,23,2,2012,1,113976,20162,3393
48,31-33,1,2012,1,631198,58464,6843
48,31-33,2,2012,1,228273,20270,4544
48,42,1,2012,1,366300,36868,7458
48,42,2,2012,1,157454,16811,4977
48,44-45,1,2012,1,583030,86086,3258
48,44-45,2,2012,1,593685,82672,2104
48,48-49,1,2012,1,289186,40595,5369
48,48-49,2,2012,1,112274,11721,3857
48,51,1,2012,1,124194,9954,7860
48,51,2,2012,1,81582,7004,5247
48,52,1,2012,1,174591,16589,11603
48,52,2,2012,1,289720,25393,4992
48,53,1,2012,1,101147,13991,5651
48,53,2,2012,1,76884,10219,3554
48,54,1,2012,1,334190,49633,8410
48,54,2,2012,1,268104,42430,4627
48,55,1,2012,1,47125,4762,11855
48,55,2,2012,1,46327,4529,5109
48,56,1,2012,1,374414,130849,4319
48,56,2,2012,1,290735,90442,2887
48,61,1,2012,1,325706,20180,3936
48,61,2,2012,1,784874,37906,3124
48,62,1,2012,1,295550,34536,5830
48,62,2,2012,1,1069409,133736,3129
48,71,1,2012,1,64076,11797,3598
48,71,2,2012,1,51602,10558,1856
48,72,1,2012,1,436520,129863,1846
48,72,2,2012,1,472811,138048,1447
48,81,1,2012,1,146420,28568,3630
48,81,2,2012,1,138739,24277,2231
48,92,1,2012,1,180150,6774,4065
48,92,2,2012,1,142928,5928,3232
48,00,1,2012,3,5430709,955013,5161
48,00,2,2012,3,5063435,868260,3193
48,11,1,2012,3,39870,8461,2810
48,11,2,2012,3,15224,3710,2165
48,21,1,2012,3,217089,39758,9641
48,21,2,2012,3,53774,6223,7426
48,22,1,2012,3,57739,2802,6243
48,22,2,2012,3,21973,1283,4649
48,23,1,2012,3,494550,114754,4738
48,23,2,2012,3,121334,22819,3450
48,31-33,1,2012,3,646500,61172,5945
48,31-33,2,2012,3,233841,23292,4114
48,42,1,2012,3,377555,39083,6393
48,42,2,2012,3,162611,18386,4448
48,44-45,1,2012,3,593669,110380,3191
48,44-45,2,2012,3,596543,124636,2096
48,48-49,1,2012,3,297016,45648,4877
48,48-49,2,2012,3,114386,14029,3554
48,51,1,2012,3,125088,10668,6489
48,51,2,2012,3,82208,8304,4573
48,52,1,2012,3,179781,17790,8193
48,52,2,2012,3,293386,29192,4232
48,53,1,2012,3,105989,16638,4884
48,53,2,2012,3,80430,11819,3398
48,54,1,2012,3,348447,51371,8003
48,54,2,2012,3,274426,41144,4609
48,55,1,2012,3,48002,5221,8140
48,55,2,2012,3,46216,5377,4289
48,56,1,2012,3,401772,156911,3911
48,56,2,2012,3,299056,113140,2832
48,61,1,2012,3,307698,39585,4110
48,61,2,2012,3,719120,77542,3239
48,62,1,2012,3,304624,40111,6007
48,62,2,2012,3,1085036,158645,3179
48,71,1,2012,3,79501,13650,3697
48,71,2,2012,3,64113,12050,1931
48,72,1,2012,3,464844,142616,1855
48,72,2,2012,3,504899,160475,1482
48,81,1,2012,3,155897,30386,3621
48,81,2,2012,3,146608,28345,2221
48,92,1,2012,3,185077,8007,4076
48,92,2,2012,3,148251,7849,3238
48,00,1,2013,1,5419325,864695,5778
48,00,2,2013,1,5139947,736523,3353
48,11,1,2013,1,38798,7265,2762
48,11,2,2013,1,15075,3170,2146
48,21,1,2013,1,222740,34726,12365
48,21,2,2013,1,55346,5797,9651
48,22,1,2013,1,57588,2474,8163
48,22,2,2013,1,21479,1088,5885
48,23,1,2013,1,491128,110146,4926
48,23,2,2013,1,120242,22929,3521
48,31-33,1,2013,1,644163,53812,6867
48,31-33,2,2013,1,234000,20167,4606
48,42,1,2013,1,379517,37564,7272
48,42,2,2013,1,164640,17595,4950
48,44-45,1,2013,1,593151,91821,3286
48,44-45,2,2013,1,604056,89650,2127
48,48-49,1,2013,1,298291,39024,5394
48,48-49,2,2013,1,115952,11879,3780
48,51,1,2013,1,125388,11795,7833
48,51,2,2013,1,81908,7860,5380
48,52,1,2013,1,181282,16902,11833
48,52,2,2013,1,299244,29124,5136
48,53,1,2013,1,105344,15748,5821
48,53,2,2013,1,79280,11672,3615
48,54,1,2013,1,354012,51478,8389
48,54,2,2013,1,281137,45151,4749
48,55,1,2013,1,48553,4666,11723
48,55,2,2013,1,47133,4533,5098
48,56,1,2013,1,383916,137077,4229
48,56,2,2013,1,298463,94794,2950
48,61,1,2013,1,331577,22072,3992
48,61,2,2013,1,794146,42412,3148
48,62,1,2013,1,307219,36597,5776
48,62,2,2013,1,1095952,140597,3142
48,71,1,2013,1,66732,12766,3496
48,71,2,2013,1,54031,11581,1887
48,72,1,2013,1,458993,141583,1860
48,72,2,2013,1,497019,146817,1470
48,81,1,2013,1,150469,29275,3800
48,81,2,2013,1,136359,23079,2316
48,92,1,2013,1,180463,7903,4163
48,92,2,2013,1,144486,6628,3295
48,00,1,2013,3,5608169,1031000,5313
48,00,2,2013,3,5211407,957017,3279
48,11,1,2013,3,39805,8469,2914
48,11,2,2013,3,15435,3690,2239
48,21,1,2013,3,232306,38431,9800
48,21,2,2013,3,58625,6426,7517
48,22,1,2013,3,58365,2849,6470
48,22,2,2013,3,22088,1313,4766
48,23,1,2013,3,519332,116061,4888
48,23,2,2013,3,129895,25089,3629
48,31-33,1,2013,3,652950,61005,6098
48,31-33,2,2013,3,238792,24040,4233
48,42,1,2013,3,389382,44606,6593
48,42,2,2013,3,168529,21390,4613
48,44-45,1,2013,3,611639,125863,3277
48,44-45,2,2013,3,612627,140775,2148
48,48-49,1,2013,3,303497,47094,4993
48,48-49,2,2013,3,117435,14487,3544
48,51,1,2013,3,127545,13448,6631
48,51,2,2013,3,82535,9478,4637
48,52,1,2013,3,187117,18641,8424
48,52,2,2013,3,303140,29784,4378
48,53,1,2013,3,111976,18523,5169
48,53,2,2013,3,83673,13241,3517
48,54,1,2013,3,365308,49444,8386
48,54,2,2013,3,286243,41463,4849
48,55,1,2013,3,49295,5773,8240
48,55,2,2013,3,47630,6001,4467
48,56,1,2013,3,411492,175079,3936
48,56,2,2013,3,310759,129605,2901
48,61,1,2013,3,315044,42232,4250
48,61,2,2013,3,737383,86827,3307
48,62,1,2013,3,312993,43808,6025
48,62,2,2013,3,1105265,170946,3205
48,71,1,2013,3,83192,14698,3707
48,71,2,2013,3,67910,13146,1951
48,72,1,2013,3,491697,163798,1903
48,72,2,2013,3,531434,182782,1523
48,81,1,2013,3,159104,32515,3785
48,81,2,2013,3,142946,28608,2373
48,92,1,2013,3,186133,8666,4209
48,92,2,2013,3,149062,7924,3345
48,00,1,2014,1,5597097,919669,6070
48,00,2,2014,1,5293029,773733,3477
48,11,1,2014,1,39523,7561,2885
48,11,2,2014,1,15615,3376,2259
48,21,1,2014,1,232057,41855,12954
48,21,2,2014,1,57233,6812,10084
48,22,1,2014,1,56291,2565,8138
48,22,2,2014,1,20938,1126,5799
48,23,1,2014,1,512619,113030,5144
48,23,2,2014,1,130246,25577,3708
48,31-33,1,2014,1,648439,55880,7151
48,31-33,2,2014,1,238670,21105,4848
48,42,1,2014,1,389375,41174,7599
48,42,2,2014,1,166793,18855,5144
48,44-45,1,2014,1,619807,98440,3375
48,44-45,2,2014,1,627851,95382,2172
48,48-49,1,2014,1,308755,44340,5821
48,48-49,2,2014,1,118836,13760,4030
48,51,1,2014,1,127438,11810,7749
48,51,2,2014,1,81654,7967,5350
48,52,1,2014,1,185411,18021,12921
48,52,2,2014,1,301601,26381,5394
48,53,1,2014,1,111893,16736,6140
48,53,2,2014,1,83246,11908,3830
48,54,1,2014,1,366812,51480,8846
48,54,2,2014,1,291738,45289,4945
48,55,1,2014,1,60561,5644,14671
48,55,2,2014,1,56333,5297,6346
48,56,1,2014,1,403812,146966,4424
48,56,2,2014,1,321104,105811,3033
48,61,1,2014,1,333111,21142,4118
48,61,2,2014,1,803736,39931,3229
48,62,1,2014,1,318121,37599,6020
48,62,2,2014,1,1120614,141669,3236
48,71,1,2014,1,68148,14637,3476
48,71,2,2014,1,56198,12882,1949
48,72,1,2014,1,478550,151250,1903
48,72,2,2014,1,516178,158370,1502
48,81,1,2014,1,154611,32158,3919
48,81,2,2014,1,138448,25348,2415
48,92,1,2014,1,181761,7379,4278
48,92,2,2014,1,145995,6888,3377
48,00,1,2014,3,5794933,1115046,5516
48,00,2,2014,3,5364517,1013738,3397
48,11,1,2014,3,40450,9328,3062
48,11,2,2014,3,16124,4380,2364
48,21,1,2014,3,248227,48108,10397
48,21,2,2014,3,60936,7810,7771
48,22,1,2014,3,57772,3112,6726
48,22,2,2014,3,21891,1526,4889
48,23,1,2014,3,547746,129330,5129
48,23,2,2014,3,141793,28536,3814
48,31-33,1,2014,3,658836,68199,6236
48,31-33,2,2014,3,244084,26391,4348
48,42,1,2014,3,402378,49400,6849
48,42,2,2014,3,172777,23104,4792
48,44-45,1,2014,3,631290,128918,3378
48,44-45,2,2014,3,631970,146909,2213
48,48-49,1,2014,3,311807,56930,5162
48,48-49,2,2014,3,120761,18112,3616
48,51,1,2014,3,129401,12218,6659
48,51,2,2014,3,82013,8733,4770
48,52,1,2014,3,189381,19215,8558
48,52,2,2014,3,303322,33396,4507
48,53,1,2014,3,117423,19985,5666
48,53,2,2014,3,86954,13553,3770
48,54,1,2014,3,383584,56165,8567
48,54,2,2014,3,300018,45839,5017
48,55,1,2014,3,62709,6515,9494
48,55,2,2014,3,57592,6893,5300
48,56,1,2014,3,431246,185525,4171
48,56,2,2014,3,332973,137633,3026
48,61,1,2014,3,309749,41301,4325
48,61,2,2014,3,734275,85548,3385
48,62,1,2014,3,327474,46499,6112
48,62,2,2014,3,1135398,178463,3329
48,71,1,2014,3,86043,16570,3702
48,71,2,2014,3,71583,15146,2062
48,72,1,2014,3,508499,174816,1947
48,72,2,2014,3,550986,193749,1565
48,81,1,2014,3,163879,34043,3963
48,81,2,2014,3,148413,29627,2481
48,92,1,2014,3,187039,8868,4353
48,92,2,2014,3,150655,8390,3444
48,00,1,2015,1,5815726,916893,6211
48,00,2,2015,1,5475636,805577,3574
48,11,1,2015,1,40799,7539,3046
48,11,2,2015,1,16475,3550,2342
48,21,1,2015,1,249671,22806,13218
48,21,2,2015,1,61853,4720,10752
48,22,1,2015,1,57126,2854,8428
48,22,2,2015,1,21128,1380,6119
48,23,1,2015,1,546219,116509,5176
48,23,2,2015,1,143018,26371,3786
48,31-33,1,2015,1,660246,53546,7409
48,31-33,2,2015,1,245656,21888,4997
48,42,1,2015,1,408209,40779,7836
48,42,2,2015,1,177093,20363,5320
48,44-45,1,2015,1,634619,102464,3477
48,44-45,2,2015,1,643652,101770,2183
48,48-49,1,2015,1,326902,46515,5842
48,48-49,2,2015,1,127275,15219,4112
48,51,1,2015,1,126886,12418,8113
48,51,2,2015,1,79409,8759,5576
48,52,1,2015,1,191925,16864,13216
48,52,2,2015,1,308689,26290,5587
48,53,1,2015,1,116568,14968,6497
48,53,2,2015,1,86484,11795,3983
48,54,1,2015,1,391221,52086,9057
48,54,2,2015,1,311078,47547,5143
48,55,1,2015,1,64758,5801,14290
48,55,2,2015,1,59800,5669,6494
48,56,1,2015,1,418105,145597,4619
48,56,2,2015,1,337689,107560,3142
48,61,1,2015,1,341098,21867,4198
48,61,2,2015,1,821211,41742,3297
48,62,1,2015,1,330466,40962,6006
48,62,2,2015,1,1146927,152486,3285
48,71,1,2015,1,71126,14481,3686
48,71,2,2015,1,59153,13025,2016
48,72,1,2015,1,497668,161149,1951
48,72,2,2015,1,537134,163581,1550
48,81,1,2015,1,159532,29643,4004
48,81,2,2015,1,144203,24601,2485
48,92,1,2015,1,182582,8045,4424
48,92,2,2015,1,147710,7262,3484
48,00,1,2015,3,5898470,1111861,5520
48,00,2,2015,3,5551652,1053986,3486
48,11,1,2015,3,41243,8877,3169
48,11,2,2015,3,16784,4143,2455
48,21,1,2015,3,207497,23752,9802
48,21,2,2015,3,57236,4674,7741
48,22,1,2015,3,58265,2770,6772
48,22,2,2015,3,22237,1205,5033
48,23,1,2015,3,568268,133943,5319
48,23,2,2015,3,151737,29946,3979
48,31-33,1,2015,3,642505,57679,6199
48,31-33,2,2015,3,244756,25321,4425
48,42,1,2015,3,411883,47124,6814
48,42,2,2015,3,181517,24105,4871
48,44-45,1,2015,3,656102,135453,3463
48,44-45,2,2015,3,653810,150957,2280
48,48-49,1,2015,3,325269,55035,5261
48,48-49,2,2015,3,128523,19067,3735
48,51,1,2015,3,128864,14700,6817
48,51,2,2015,3,80548,10468,4936
48,52,1,2015,3,195994,21465,8737
48,52,2,2015,3,311333,32186,4705
48,53,1,2015,3,118185,19119,5525
48,53,2,2015,3,89686,14029,3812
48,54,1,2015,3,398405,53960,8730
48,54,2,2015,3,315817,46197,5193
48,55,1,2015,3,64530,6534,9565
48,55,2,2015,3,60342,7154,5358
48,56,1,2015,3,437155,183869,4192
48,56,2,2015,3,344850,143269,3105
48,61,1,2015,3,319613,43053,4418
48,61,2,2015,3,756902,89072,3462
48,62,1,2015,3,344812,49869,6188
48,62,2,2015,3,1179436,190153,3422
48,71,1,2015,3,88110,17957,4159
48,71,2,2015,3,75067,16076,2119
48,72,1,2015,3,534378,190591,1997
48,72,2,2015,3,574591,206541,1617
48,81,1,2015,3,169042,36163,4048
48,81,2,2015,3,153632,31126,2588
48,92,1,2015,3,188350,9947,4525
48,92,2,2015,3,152848,8295,3571
48001,00,1,2011,1,7654,991,3840
48001,00,2,2011,1,8562,969,2464
48001,11,1,2011,1,81,5,1808
48001,11,2,2011,1,27,,1787
48001,21,1,2011,1,544,90,6775
48001,21,2,2011,1,83,9,4244
48001,22,1,2011,1,77,,5675
48001,22,2,2011,1,28,3,2963
48001,23,1,2011,1,428,101,3560
48001,23,2,2011,1,135,23,2167
48001,31-33,1,2011,1,237,27,3876
48001,31-33,2,2011,1,76,7,2187
48001,42,1,2011,1,276,23,5326
48001,42,2,2011,1,157,8,3962
48001,44-45,1,2011,1,786,99,2754
48001,44-45,2,2011,1,952,147,1868
48001,48-49,1,2011,1,1160,152,3634
48001,48-49,2,2011,1,919,50,2618
48001,51,1,2011,1,155,39,7813
48001,51,2,2011,1,66,12,2911
48001,52,1,2011,1,71,4,8740
48001,52,2,2011,1,200,13,3071
48001,53,1,2011,1,198,38,4865
48001,53,2,2011,1,87,9,2539
48001,54,1,2011,1,219,37,6670
48001,54,2,2011,1,166,44,3119
48001,55,1,2011,1,2,,5047
48001,55,2,2011,1,5,0,3135
48001,56,1,2011,1,200,69,6506
48001,56,2,2011,1,306,45,2648
48001,61,1,2011,1,411,17,3290
48001,61,2,2011,1,1396,59,2633
48001,62,1,2011,1,400,41,5198
48001,62,2,2011,1,1668,271,2678
48001,71,1,2011,1,40,7,2051
48001,71,2,2011,1,31,3,1125
48001,72,1,2011,1,424,131,1381
48001,72,2,2011,1,603,184,1109
48001,81,1,2011,1,184,39,3277
48001,81,2,2011,1,196,35,1379
48001,92,1,2011,1,1760,71,2817
48001,92,2,2011,1,1462,45,2551
48003,00,1,2011,1,3499,853,5562
48003,00,2,2011,1,2161,321,2830
48003,11,1,2011,1,15,,2324
48003,11,2,2011,1,9,,1171
48003,21,1,2011,1,1239,359,7172
48003,21,2,2011,1,195,47,4797
48003,22,1,2011,1,55,4,11324
48003,22,2,2011,1,13,,10027
48003,23,1,2011,1,562,154,4557
48003,23,2,2011,1,104,24,2821
48003,31-33,1,2011,1,120,47,3912
48003,31-33,2,2011,1,23,,3097
48003,42,1,2011,1,218,48,6089
48003,42,2,2011,1,59,8,3656
48003,44-45,1,2011,1,176,36,3518
48003,44-45,2,2011,1,223,60,1607
48003,48-49,1,2011,1,173,57,6142
48003,48-49,2,2011,1,32,10,3717
48003,51,1,2011,1,17,,3203
48003,51,2,2011,1,17,,2170
48003,52,1,2011,1,47,5,5927
48003,52,2,2011,1,139,7,2391
48003,53,1,2011,1,120,20,6050
48003,53,2,2011,1,17,,2541
48003,54,1,2011,1,35,11,5233
