geography,industry,sex,year,quarter,Emp,HirN,EarnS
49,00,1,2011,1,596769,78922,4183
49,00,2,2011,1,511172,59685,2329
49,11,1,2011,1,2648,373,2461
49,11,2,2011,1,1186,233,1637
49,21,1,2011,1,9570,1292,7069
49,21,2,2011,1,1201,153,4494
49,22,1,2011,1,4856,161,6676
49,22,2,2011,1,1218,43,4262
49,23,1,2011,1,50103,9021,3495
49,23,2,2011,1,10684,1868,2142
49,31-33,1,2011,1,79154,5333,4679
49,31-33,2,2011,1,32458,2061,2861
49,42,1,2011,1,32154,2961,5380
49,42,2,2011,1,12685,1305,3038
49,44-45,1,2011,1,67376,7991,2853
49,44-45,2,2011,1,65832,6879,1654
49,48-49,1,2011,1,33076,4555,3646
49,48-49,2,2011,1,13212,1147,2463
49,51,1,2011,1,18476,2254,6035
49,51,2,2011,1,11395,1516,3068
49,52,1,2011,1,22985,2188,6828
49,52,2,2011,1,28018,2182,3413
49,53,1,2011,1,9223,1184,3869
49,53,2,2011,1,6828,919,2313
49,54,1,2011,1,40157,5628,6209
49,54,2,2011,1,25644,3918,3113
49,55,1,2011,1,9507,890,7484
49,55,2,2011,1,8166,693,3331
49,56,1,2011,1,39937,12870,2974
49,56,2,2011,1,29561,7927,2041
49,61,1,2011,1,42586,4064,4027
49,61,2,2011,1,80523,6857,2533
49,62,1,2011,1,36788,3385,4887
49,62,2,2011,1,89081,7851,2366
49,71,1,2011,1,12581,1610,2519
49,71,2,2011,1,10484,1404,1245
49,72,1,2011,1,43418,9522,1522
49,72,2,2011,1,47864,9607,1187
49,81,1,2011,1,15493,2400,3030
49,81,2,2011,1,12597,2112,1587
49,92,1,2011,1,26682,1239,3502
49,92,2,2011,1,22533,1008,2494
49,00,1,2011,3,618494,110854,4339
49,00,2,2011,3,504477,85422,2452
49,11,1,2011,3,3294,1002,2738
49,11,2,2011,3,1474,667,1829
49,21,1,2011,3,10328,1772,6304
49,21,2,2011,3,1333,225,4090
49,22,1,2011,3,5073,163,7238
49,22,2,2011,3,1267,71,4435
49,23,1,2011,3,56771,16555,4053
49,23,2,2011,3,12155,3067,2518
49,31-33,1,2011,3,82052,7512,4900
49,31-33,2,2011,3,32925,3137,3090
49,42,1,2011,3,33389,3450,5479
49,42,2,2011,3,13005,1591,3153
49,44-45,1,2011,3,69690,12488,3069
49,44-45,2,2011,3,67388,13405,1828
49,48-49,1,2011,3,33430,5441,3866
49,48-49,2,2011,3,12614,1482,2524
49,51,1,2011,3,18866,2890,5325
49,51,2,2011,3,11582,2084,2915
49,52,1,2011,3,23283,3563,6238
49,52,2,2011,3,27970,2854,3433
49,53,1,2011,3,9556,1426,3964
49,53,2,2011,3,7055,995,2521
49,54,1,2011,3,42330,6007,6281
49,54,2,2011,3,26050,4205,3342
49,55,1,2011,3,9703,1086,5910
49,55,2,2011,3,8212,954,3281
49,56,1,2011,3,43533,18347,3137
49,56,2,2011,3,31055,11816,2150
49,61,1,2011,3,36357,4775,4244
49,61,2,2011,3,59353,7370,2456
49,62,1,2011,3,37670,4593,5433
49,62,2,2011,3,90519,11183,2596
49,71,1,2011,3,12721,2436,2665
49,71,2,2011,3,11221,2208,1299
49,72,1,2011,3,44514,12223,1656
49,72,2,2011,3,51329,13749,1314
49,81,1,2011,3,17234,3296,3281
49,81,2,2011,3,14650,2870,1667
49,92,1,2011,3,28698,1830,3911
49,92,2,2011,3,23321,1486,2806
49,00,1,2012,1,614719,87545,4414
49,00,2,2012,1,521353,66071,2453
49,11,1,2012,1,2871,508,2700
49,11,2,2012,1,1302,212,1755
49,21,1,2012,1,10208,1721,7491
49,21,2,2012,1,1278,222,4634
49,22,1,2012,1,4869,171,6780
49,22,2,2012,1,1233,54,4277
49,23,1,2012,1,52028,10113,3771
49,23,2,2012,1,11039,2166,2313
49,31-33,1,2012,1,81690,5906,4916
49,31-33,2,2012,1,32649,2332,3030
49,42,1,2012,1,33365,3115,5852
49,42,2,2012,1,12941,1428,3286
49,44-45,1,2012,1,69808,9036,3068
49,44-45,2,2012,1,68362,8421,1778
49,48-49,1,2012,1,33955,5272,3778
49,48-49,2,2012,1,13603,1258,2536
49,51,1,2012,1,19371,3215,5785
49,51,2,2012,1,11624,2391,3763
49,52,1,2012,1,23183,2230,7464
49,52,2,2012,1,27385,2211,3696
49,53,1,2012,1,9411,1147,3994
49,53,2,2012,1,7018,916,2435
49,54,1,2012,1,42228,6897,6413
49,54,2,2012,1,26627,4900,3288
49,55,1,2012,1,9736,993,7910
49,55,2,2012,1,8545,819,3595
49,56,1,2012,1,41240,13765,3114
49,56,2,2012,1,31530,9246,2073
49,61,1,2012,1,42133,3489,4116
49,61,2,2012,1,79107,4891,2558
49,62,1,2012,1,38071,3582,5096
49,62,2,2012,1,91134,8832,2464
49,71,1,2012,1,12549,1925,2949
49,71,2,2012,1,10851,1549,1322
49,72,1,2012,1,44826,10560,1629
49,72,2,2012,1,49326,10822,1259
49,81,1,2012,1,16375,2644,3218
49,81,2,2012,1,13536,2366,1617
49,92,1,2012,1,26802,1256,3813
49,92,2,2012,1,22261,1034,2742
49,00,1,2012,3,643337,108812,4260
49,00,2,2012,3,525466,90587,2399
49,11,1,2012,3,3526,886,2721
49,11,2,2012,3,1520,685,1821
49,21,1,2012,3,10982,1508,6222
49,21,2,2012,3,1410,199,4020
49,22,1,2012,3,5035,134,6684
49,22,2,2012,3,1298,50,4167
49,23,1,2012,3,59789,13909,3946
49,23,2,2012,3,12925,3041,2498
49,31-33,1,2012,3,83790,6760,4693
49,31-33,2,2012,3,33084,2917,2979
49,42,1,2012,3,34589,3688,5494
49,42,2,2012,3,13555,1788,3140
