geography,industry,sex,year,quarter,Emp,HirN,EarnS
51,00,1,2011,1,1631910,192314,5170
51,00,2,2011,1,1662937,175991,3147
51,11,1,2011,1,6876,1180,2492
51,11,2,2011,1,2841,604,1736
51,21,1,2011,1,7609,780,5667
51,21,2,2011,1,525,68,4013
51,22,1,2011,1,12536,345,8376
51,22,2,2011,1,4060,133,5902
51,23,1,2011,1,148086,21075,3896
51,23,2,2011,1,29430,4313,2931
51,31-33,1,2011,1,169390,10811,4899
51,31-33,2,2011,1,65608,3575,3360
51,42,1,2011,1,77474,5674,6215
51,42,2,2011,1,32826,2859,4440
51,44-45,1,2011,1,195639,23020,2680
51,44-45,2,2011,1,210439,21641,1746
51,48-49,1,2011,1,72588,7623,3862
51,48-49,2,2011,1,29606,2439,2753
51,51,1,2011,1,46005,3454,8022
51,51,2,2011,1,32435,2348,5250
51,52,1,2011,1,42726,3178,12938
51,52,2,2011,1,76395,4513,5230
51,53,1,2011,1,26916,2780,4440
51,53,2,2011,1,23252,2542,3106
51,54,1,2011,1,228216,23471,8980
51,54,2,2011,1,163636,18302,5538
51,55,1,2011,1,34917,2128,12683
51,55,2,2011,1,36909,2309,5544
51,56,1,2011,1,110945,29693,3386
51,56,2,2011,1,83277,20473,2441
51,61,1,2011,1,102149,7599,3961
51,61,2,2011,1,246582,12549,3121
51,62,1,2011,1,81724,8089,5529
51,62,2,2011,1,323835,31384,2931
51,71,1,2011,1,22613,3326,2589
51,71,2,2011,1,24336,3506,1655
51,72,1,2011,1,130529,27761,1606
51,72,2,2011,1,153618,31138,1255
51,81,1,2011,1,55577,8032,3860
51,81,2,2011,1,68593,8857,2580
51,92,1,2011,1,59396,2293,3751
51,92,2,2011,1,54734,2441,3079
51,00,1,2011,3,1707319,266166,5205
51,00,2,2011,3,1689309,252836,3253
51,11,1,2011,3,8808,2712,2722
51,11,2,2011,3,3839,1607,1975
51,21,1,2011,3,8178,995,6039
51,21,2,2011,3,580,61,4140
51,22,1,2011,3,14159,453,6912
51,22,2,2011,3,4663,219,4939
51,23,1,2011,3,162579,30576,4354
51,23,2,2011,3,32178,5445,3319
51,31-33,1,2011,3,173750,14040,4891
51,31-33,2,2011,3,65878,5177,3490
51,42,1,2011,3,79905,7374,6505
51,42,2,2011,3,33502,3328,4699
51,44-45,1,2011,3,198454,34042,2879
51,44-45,2,2011,3,211122,39417,1918
51,48-49,1,2011,3,68805,11248,4094
51,48-49,2,2011,3,29280,3855,2915
51,51,1,2011,3,48421,4186,7386
51,51,2,2011,3,33994,2978,4949
51,52,1,2011,3,46098,4422,8434
51,52,2,2011,3,80527,5991,4459
51,53,1,2011,3,28099,4256,4644
51,53,2,2011,3,24519,3588,3366
51,54,1,2011,3,233833,26539,9371
51,54,2,2011,3,166810,18993,5912
51,55,1,2011,3,36416,3098,8768
51,55,2,2011,3,37705,3182,4923
51,56,1,2011,3,121627,40023,3748
51,56,2,2011,3,86847,27882,2722
51,61,1,2011,3,92748,11644,4060
51,61,2,2011,3,214939,21204,2919
51,62,1,2011,3,83317,10193,6308
51,62,2,2011,3,324366,41925,3196
51,71,1,2011,3,38660,7111,2827
51,71,2,2011,3,37581,6385,1912
51,72,1,2011,3,141631,39830,1781
51,72,2,2011,3,168709,47297,1425
