geography,industry,sex,year,quarter,Emp,HirN,EarnS
50,00,1,2011,1,137529,13970,3888
50,00,2,2011,1,149183,14021,2623
50,11,1,2011,1,1534,195,2389
50,11,2,2011,1,739,101,1780
50,21,1,2011,1,453,10,4024
50,21,2,2011,1,72,,3496
50,22,1,2011,1,1648,40,8256
50,22,2,2011,1,543,17,6301
50,23,1,2011,1,10648,1201,3346
50,23,2,2011,1,1793,163,2596
50,31-33,1,2011,1,21963,1133,5134
50,31-33,2,2011,1,8940,543,3646
50,42,1,2011,1,6762,520,4479
50,42,2,2011,1,2696,252,3325
50,44-45,1,2011,1,18152,1841,2502
50,44-45,2,2011,1,18587,1926,1598
50,48-49,1,2011,1,5250,461,3207
50,48-49,2,2011,1,2092,148,2390
50,51,1,2011,1,2814,240,4477
50,51,2,2011,1,2624,151,3179
50,52,1,2011,1,2592,110,9593
50,52,2,2011,1,6345,264,4179
50,53,1,2011,1,1549,176,2952
50,53,2,2011,1,1311,148,2310
50,54,1,2011,1,7062,662,6201
50,54,2,2011,1,6763,649,3758
50,55,1,2011,1,734,57,7650
50,55,2,2011,1,647,64,3892
50,56,1,2011,1,5063,1366,2630
50,56,2,2011,1,3715,854,2351
50,61,1,2011,1,12650,1293,3602
50,61,2,2011,1,26187,1886,2761
50,62,1,2011,1,10467,931,4505
50,62,2,2011,1,37169,3032,2743
50,71,1,2011,1,1980,311,2273
50,71,2,2011,1,1928,281,1485
50,72,1,2011,1,15745,2601,1757
50,72,2,2011,1,16605,2601,1337
50,81,1,2011,1,3816,443,2828
50,81,2,2011,1,4349,539,1851
50,92,1,2011,1,6646,381,3943
50,92,2,2011,1,6076,403,3181
50,00,1,2011,3,142338,22229,4081
50,00,2,2011,3,146286,23110,2748
50,11,1,2011,3,1915,375,2552
50,11,2,2011,3,1008,229,1990
50,21,1,2011,3,559,52,4422
50,21,2,2011,3,82,9,3891
50,22,1,2011,3,1705,59,7312
50,22,2,2011,3,564,24,5185
50,23,1,2011,3,14375,3425,3861
50,23,2,2011,3,2182,387,2865
50,31-33,1,2011,3,22667,1631,5102
50,31-33,2,2011,3,9033,729,3754
50,42,1,2011,3,7039,686,4715
50,42,2,2011,3,2877,345,3486
50,44-45,1,2011,3,18595,2759,2824
50,44-45,2,2011,3,18696,3611,1805
50,48-49,1,2011,3,5253,670,3499
50,48-49,2,2011,3,2098,302,2541
50,51,1,2011,3,2802,176,4612
50,51,2,2011,3,2332,192,3333
50,52,1,2011,3,2656,179,7757
50,52,2,2011,3,6375,333,3903
50,53,1,2011,3,1696,255,3273
50,53,2,2011,3,1283,149,2566
50,54,1,2011,3,7537,696,6533
50,54,2,2011,3,6856,659,4031
50,55,1,2011,3,716,60,6794
50,55,2,2011,3,635,72,3893
50,56,1,2011,3,6584,2448,2912
50,56,2,2011,3,4452,1434,2529
50,61,1,2011,3,10369,1818,3702
50,61,2,2011,3,20146,3022,2627
50,62,1,2011,3,10950,1267,4895
50,62,2,2011,3,38455,4483,2962
50,71,1,2011,3,2693,688,2387
50,71,2,2011,3,2436,605,1595
50,72,1,2011,3,12900,3738,2014
50,72,2,2011,3,15975,4993,1502
50,81,1,2011,3,4177,652,3021
50,81,2,2011,3,4586,884,2040
50,92,1,2011,3,7149,593,3916
50,92,2,2011,3,6213,646,3322
50,00,1,2012,1,140122,14744,4053
50,00,2,2012,1,149628,15505,2780
50,11,1,2012,1,1644,260,2472
50,11,2,2012,1,713,141,1917
50,21,1,2012,1,481,29,3887
50,21,2,2012,1,75,7,3570
50,22,1,2012,1,1655,42,8167
50,22,2,2012,1,541,25,6177
50,23,1,2012,1,11814,1276,3351
50,23,2,2012,1,1864,208,2676
50,31-33,1,2012,1,22594,1226,5295
50,31-33,2,2012,1,9039,622,3861
50,42,1,2012,1,6408,552,4876
50,42,2,2012,1,2651,255,3666
50,44-45,1,2012,1,17954,1896,2651
50,44-45,2,2012,1,18437,1910,1677
50,48-49,1,2012,1,5117,405,3277
50,48-49,2,2012,1,2159,145,2419
50,51,1,2012,1,2608,198,4525
50,51,2,2012,1,2226,183,3235
50,52,1,2012,1,2575,125,9807
50,52,2,2012,1,6208,241,4421
50,53,1,2012,1,1553,155,3147
50,53,2,2012,1,1267,133,2536
50,54,1,2012,1,7331,761,6386
50,54,2,2012,1,6842,656,3929
50,55,1,2012,1,1054,79,6250
50,55,2,2012,1,889,100,3894
50,56,1,2012,1,5562,1310,2753
50,56,2,2012,1,4195,909,2531
50,61,1,2012,1,12522,1460,3727
50,61,2,2012,1,25623,2430,2932
50,62,1,2012,1,10720,891,4737
50,62,2,2012,1,37799,3268,2905
50,71,1,2012,1,2042,362,2444
50,71,2,2012,1,1957,311,1596
50,72,1,2012,1,15914,2957,1977
50,72,2,2012,1,16742,2932,1474
50,81,1,2012,1,3956,440,2903
50,81,2,2012,1,4389,630,1974
50,92,1,2012,1,6617,318,3957
50,92,2,2012,1,6014,401,3245
50,00,1,2012,3,144806,20006,3975
50,00,2,2012,3,149278,22077,2711
50,11,1,2012,3,1925,336,2583
50,11,2,2012,3,999,243,2013
50,21,1,2012,3,590,38,4165
