geography,industry,sex,year,quarter,Emp,HirN,EarnS
53,00,1,2011,1,1325595,147413,5077
53,00,2,2011,1,1333889,131220,3189
53,11,1,2011,1,40524,10966,2348
53,11,2,2011,1,21764,6481,1633
53,21,1,2011,1,1669,148,4732
53,21,2,2011,1,321,27,3563
53,22,1,2011,1,10949,317,6811
53,22,2,2011,1,4749,158,5069
53,23,1,2011,1,96606,17597,4257
53,23,2,2011,1,19911,3843,3008
53,31-33,1,2011,1,181677,12083,6023
53,31-33,2,2011,1,65929,4160,4595
53,42,1,2011,1,79740,6450,6092
53,42,2,2011,1,35082,3215,4144
53,44-45,1,2011,1,143582,14354,3204
53,44-45,2,2011,1,155620,13063,2175
53,48-49,1,2011,1,65219,5983,4697
53,48-49,2,2011,1,26848,1810,3635
53,51,1,2011,1,73929,3959,9879
53,51,2,2011,1,38552,2476,6579
53,52,1,2011,1,30841,2297,11102
53,52,2,2011,1,57291,3392,5088
53,53,1,2011,1,22804,2550,4046
53,53,2,2011,1,21338,2425,3091
53,54,1,2011,1,82898,10198,7685
53,54,2,2011,1,73680,8972,4603
53,55,1,2011,1,16797,815,8050
53,55,2,2011,1,19835,860,4711
53,56,1,2011,1,75448,17894,4146
53,56,2,2011,1,52317,11387,3009
53,61,1,2011,1,78620,5332,3988
53,61,2,2011,1,170138,8800,3020
53,62,1,2011,1,79699,7003,5358
53,62,2,2011,1,274810,23140,3279
53,71,1,2011,1,29824,3920,2481
53,71,2,2011,1,30319,3787,1795
53,72,1,2011,1,92780,16271,1694
53,72,2,2011,1,112877,18667,1452
53,81,1,2011,1,49149,7142,2693
53,81,2,2011,1,93062,12542,1446
53,92,1,2011,1,72839,2135,5137
53,92,2,2011,1,59444,2014,3956
53,00,1,2011,3,1437445,292888,5659
53,00,2,2011,3,1399771,242544,3452
53,11,1,2011,3,66508,76348,2648
53,11,2,2011,3,38630,49765,1920
53,21,1,2011,3,1993,247,5550
53,21,2,2011,3,357,57,3855
53,22,1,2011,3,11567,339,7372
53,22,2,2011,3,5018,158,5237
53,23,1,2011,3,109542,33109,4944
53,23,2,2011,3,22490,6274,3397
53,31-33,1,2011,3,195203,19036,5927
53,31-33,2,2011,3,70998,8421,4494
53,42,1,2011,3,84406,9128,6119
53,42,2,2011,3,37072,4894,4271
53,44-45,1,2011,3,151372,24544,3422
53,44-45,2,2011,3,160466,27134,2369
53,48-49,1,2011,3,70264,9142,4801
53,48-49,2,2011,3,28467,3176,3655
53,51,1,2011,3,76655,5500,18680
53,51,2,2011,3,40070,3312,10263
53,52,1,2011,3,31660,2651,8341
53,52,2,2011,3,57927,4309,4598
53,53,1,2011,3,24640,4112,3941
53,53,2,2011,3,22303,3390,3192
53,54,1,2011,3,88350,11809,7886
53,54,2,2011,3,76231,9956,4858
53,55,1,2011,3,17748,1543,7765
53,55,2,2011,3,20881,1766,4557
53,56,1,2011,3,84552,32196,4471
53,56,2,2011,3,56300,21636,3269
53,61,1,2011,3,73903,6976,4019
53,61,2,2011,3,161499,10330,3131
53,62,1,2011,3,83451,9608,6010
53,62,2,2011,3,283521,30835,3667
53,71,1,2011,3,34188,6966,2860
53,71,2,2011,3,33818,6684,1974
53,72,1,2011,3,102050,26044,1911
53,72,2,2011,3,124498,31556,1660
53,81,1,2011,3,52055,9489,2834
53,81,2,2011,3,96828,15293,1506
53,92,1,2011,3,77338,4100,5339
53,92,2,2011,3,62397,3598,4107
53,00,1,2012,1,1349224,157629,5383
53,00,2,2012,1,1344402,139000,3381
53,11,1,2012,1,41953,11751,2436
53,11,2,2012,1,22450,7232,1741
53,21,1,2012,1,1630,171,5162
53,21,2,2012,1,311,28,4132
53,22,1,2012,1,10896,271,7307
53,22,2,2012,1,4760,147,5389
53,23,1,2012,1,95467,19002,4484
53,23,2,2012,1,19978,3813,3152
53,31-33,1,2012,1,191595,11987,6497
53,31-33,2,2012,1,68514,4234,5024
53,42,1,2012,1,81114,6940,6530
53,42,2,2012,1,35599,3379,4480
53,44-45,1,2012,1,146888,15162,3453
53,44-45,2,2012,1,157853,13654,2349
53,48-49,1,2012,1,65803,5888,4818
53,48-49,2,2012,1,28316,1824,3723
53,51,1,2012,1,74275,3982,10985
53,51,2,2012,1,38818,2639,7321
53,52,1,2012,1,30827,2413,11691
53,52,2,2012,1,56368,3869,5409
53,53,1,2012,1,22858,2728,4172
53,53,2,2012,1,20838,2326,3283
53,54,1,2012,1,85642,10561,8080
53,54,2,2012,1,75387,9524,4944
53,55,1,2012,1,17628,1365,8151
53,55,2,2012,1,20977,1505,5138
53,56,1,2012,1,76351,19882,4355
53,56,2,2012,1,54102,12737,3197
53,61,1,2012,1,78283,5267,3906
53,61,2,2012,1,168167,8732,2999
53,62,1,2012,1,81854,7702,5750
53,62,2,2012,1,277602,24236,3527
53,71,1,2012,1,29835,4445,2518
53,71,2,2012,1,29993,4025,1888
53,72,1,2012,1,94721,18291,1791
53,72,2,2012,1,114122,20733,1535
53,81,1,2012,1,50035,7490,2831
53,81,2,2012,1,93529,11996,1483
53,92,1,2012,1,71570,2332,5245
53,92,2,2012,1,56717,2367,4017
53,00,1,2012,3,1469497,291779,5706
53,00,2,2012,3,1416934,241502,3484
53,11,1,2012,3,73062,77225,2711
53,11,2,2012,3,44866,50929,2006
53,21,1,2012,3,1856,285,5362
53,21,2,2012,3,351,36,3815
53,22,1,2012,3,11439,298,6993
53,22,2,2012,3,5002,174,5030
53,23,1,2012,3,111381,32549,4863
53,23,2,2012,3,23008,6233,3398
53,31-33,1,2012,3,203342,18297,5734
53,31-33,2,2012,3,73626,8354,4450
53,42,1,2012,3,85562,8714,6151
53,42,2,2012,3,37584,4523,4354
53,44-45,1,2012,3,155133,24846,3614
53,44-45,2,2012,3,161818,26667,2394
53,48-49,1,2012,3,70338,8916,4703
53,48-49,2,2012,3,30186,3105,3647
53,51,1,2012,3,76797,5347,20277
53,51,2,2012,3,40251,3304,11388
53,52,1,2012,3,31980,2668,8633
53,52,2,2012,3,57885,4710,4718
53,53,1,2012,3,25091,3943,3948
53,53,2,2012,3,22356,3290,3220
53,54,1,2012,3,90171,11457,7846
53,54,2,2012,3,77943,9595,4891
53,55,1,2012,3,18851,1660,8268
53,55,2,2012,3,22162,2023,4668
53,56,1,2012,3,86217,30850,4295
53,56,2,2012,3,58210,19145,3144
53,61,1,2012,3,73639,7480,4047
53,61,2,2012,3,160165,11725,3194
53,62,1,2012,3,84806,9467,5896
53,62,2,2012,3,283253,30275,3597
53,71,1,2012,3,34435,6782,2820
53,71,2,2012,3,34179,6406,1951
53,72,1,2012,3,105665,27111,1926
53,72,2,2012,3,127388,32526,1681
53,81,1,2012,3,53069,9098,2820
53,81,2,2012,3,96731,14408,1523
53,92,1,2012,3,76665,4785,5302
53,92,2,2012,3,59969,4076,4067
53,00,1,2013,1,1390981,167153,5467
53,00,2,2013,1,1368510,148477,3494
53,11,1,2013,1,43374,12904,2554
53,11,2,2013,1,23909,7768,1822
53,21,1,2013,1,1616,110,5400
53,21,2,2013,1,310,15,4419
53,22,1,2013,1,10887,307,7257
53,22,2,2013,1,4794,165,5462
53,23,1,2013,1,103056,20829,4601
53,23,2,2013,1,21567,4726,3298
53,31-33,1,2013,1,199321,11972,6510
53,31-33,2,2013,1,70925,4702,5097
53,42,1,2013,1,83095,7442,6453
53,42,2,2013,1,36268,3822,4545
53,44-45,1,2013,1,152021,16880,3591
53,44-45,2,2013,1,159937,14658,2431
53,48-49,1,2013,1,67331,5749,5029
53,48-49,2,2013,1,28529,1883,3864
53,51,1,2013,1,74349,4357,10731
53,51,2,2013,1,38920,2747,7605
53,52,1,2013,1,31865,2747,12300
53,52,2,2013,1,57722,4264,5678
53,53,1,2013,1,23501,2863,4396
53,53,2,2013,1,21602,2565,3409
53,54,1,2013,1,88374,10791,8348
53,54,2,2013,1,77897,9987,5141
53,55,1,2013,1,19107,1233,8552
53,55,2,2013,1,22921,1348,5316
53,56,1,2013,1,79424,19787,4476
53,56,2,2013,1,56433,12551,3318
53,61,1,2013,1,79634,5823,4035
53,61,2,2013,1,170479,9348,3094
53,62,1,2013,1,83873,8497,5825
53,62,2,2013,1,279865,27174,3645
53,71,1,2013,1,30242,4389,2449
53,71,2,2013,1,30569,4277,1910
53,72,1,2013,1,99045,20299,1830
53,72,2,2013,1,117793,22213,1594
53,81,1,2013,1,49969,7542,2942
53,81,2,2013,1,92444,11752,1531
53,92,1,2013,1,70899,2633,5321
53,92,2,2013,1,55626,2510,4093
53,00,1,2013,3,1500213,289708,5830
53,00,2,2013,3,1435425,246550,3610
53,11,1,2013,3,72467,58266,2690
53,11,2,2013,3,44731,38511,2016
53,21,1,2013,3,1830,315,5590
53,21,2,2013,3,324,38,4214
53,22,1,2013,3,11388,361,7518
53,22,2,2013,3,5010,186,5281
53,23,1,2013,3,119017,35717,4973
53,23,2,2013,3,25248,7185,3527
53,31-33,1,2013,3,206561,17438,5883
53,31-33,2,2013,3,74893,8303,4608
53,42,1,2013,3,87412,9490,6188
53,42,2,2013,3,38220,5160,4421
53,44-45,1,2013,3,160469,27484,3672
53,44-45,2,2013,3,163899,28964,2480
53,48-49,1,2013,3,70186,10973,4793
53,48-49,2,2013,3,30102,3461,3703
53,51,1,2013,3,77898,5774,21107
53,51,2,2013,3,40693,3828,12061
53,52,1,2013,3,32992,2745,8879
53,52,2,2013,3,58702,4322,4845
53,53,1,2013,3,25487,4099,4181
53,53,2,2013,3,22966,3477,3367
53,54,1,2013,3,90672,12453,8145
53,54,2,2013,3,77575,10702,5108
53,55,1,2013,3,19932,1816,7179
