geography,industry,sex,year,quarter,Emp,HirN,EarnS
55,00,1,2011,1,1257895,119029,4254
55,00,2,2011,1,1310196,108186,2646
55,11,1,2011,1,13241,1548,2548
55,11,2,2011,1,5986,868,1856
55,21,1,2011,1,1511,75,3962
55,21,2,2011,1,273,20,3263
55,22,1,2011,1,9186,167,8257
55,22,2,2011,1,3243,78,5336
55,23,1,2011,1,71426,7037,3690
55,23,2,2011,1,12444,1085,2550
55,31-33,1,2011,1,312060,18735,4679
55,31-33,2,2011,1,125828,6203,3282
55,42,1,2011,1,80095,4758,5019
55,42,2,2011,1,33728,2071,3472
55,44-45,1,2011,1,132590,10942,2469
55,44-45,2,2011,1,153955,11130,1549
55,48-49,1,2011,1,66323,6151,3225
55,48-49,2,2011,1,21848,1384,2331
55,51,1,2011,1,27724,1599,5508
55,51,2,2011,1,22333,1348,3717
55,52,1,2011,1,40234,2290,9471
55,52,2,2011,1,83663,3507,4049
55,53,1,2011,1,12384,1135,3367
55,53,2,2011,1,11632,1060,2179
55,54,1,2011,1,46150,5557,6063
55,54,2,2011,1,49107,5442,3506
55,55,1,2011,1,24847,1569,9417
55,55,2,2011,1,28246,1641,4510
55,56,1,2011,1,71438,24920,2474
55,56,2,2011,1,56498,15503,1904
55,61,1,2011,1,73769,4559,4575
55,61,2,2011,1,152540,7204,3310
55,62,1,2011,1,67603,5255,5872
55,62,2,2011,1,301601,21649,2659
55,71,1,2011,1,18057,2277,2589
55,71,2,2011,1,18876,2225,1260
55,72,1,2011,1,84659,13533,1185
55,72,2,2011,1,118068,17074,936
55,81,1,2011,1,35702,4602,2507
55,81,2,2011,1,47844,6323,1470
55,92,1,2011,1,68894,2322,3855
55,92,2,2011,1,62481,2370,2971
55,00,1,2011,3,1335286,183085,4369
55,00,2,2011,3,1321657,174362,2738
55,11,1,2011,3,16179,3837,2775
55,11,2,2011,3,7233,1991,2029
55,21,1,2011,3,2211,350,5970
55,21,2,2011,3,371,40,4307
55,22,1,2011,3,9570,228,6795
55,22,2,2011,3,3379,80,4499
55,23,1,2011,3,90641,14988,4559
55,23,2,2011,3,14214,1695,2874
55,31-33,1,2011,3,327854,24017,4784
55,31-33,2,2011,3,130630,9038,3442
55,42,1,2011,3,83056,6188,5181
55,42,2,2011,3,34965,2956,3598
55,44-45,1,2011,3,137110,20019,2676
55,44-45,2,2011,3,155889,25455,1722
55,48-49,1,2011,3,68213,8279,3614
55,48-49,2,2011,3,21339,2373,2463
55,51,1,2011,3,27427,2380,5416
55,51,2,2011,3,21996,1841,3798
55,52,1,2011,3,42118,2551,6971
55,52,2,2011,3,86725,4224,3727
55,53,1,2011,3,13810,1909,3450
55,53,2,2011,3,12409,1503,2352
55,54,1,2011,3,47632,6037,6518
55,54,2,2011,3,48414,4975,3721
55,55,1,2011,3,26071,2045,7696
55,55,2,2011,3,28616,2137,4433
55,56,1,2011,3,79254,36831,2752
55,56,2,2011,3,58817,23361,2046
55,61,1,2011,3,58936,6390,4150
55,61,2,2011,3,117044,10808,2782
55,62,1,2011,3,69427,7114,7175
55,62,2,2011,3,304780,30239,3024
55,71,1,2011,3,27748,5437,3128
55,71,2,2011,3,25861,5029,1399
55,72,1,2011,3,94061,25218,1395
55,72,2,2011,3,133217,34513,1111
55,81,1,2011,3,39207,5825,2777
55,81,2,2011,3,51487,8349,1625
55,92,1,2011,3,74762,3441,3944
55,92,2,2011,3,64272,3753,3245
55,00,1,2012,1,1276781,126830,4502
55,00,2,2012,1,1315135,119132,2835
55,11,1,2012,1,14166,1864,2642
55,11,2,2012,1,6449,971,1962
55,21,1,2012,1,1853,176,4360
55,21,2,2012,1,309,28,3592
55,22,1,2012,1,9224,224,8263
55,22,2,2012,1,3187,123,5632
55,23,1,2012,1,72250,7320,3884
55,23,2,2012,1,12254,1175,2684
55,31-33,1,2012,1,322676,19462,4913
55,31-33,2,2012,1,126863,6394,3498
55,42,1,2012,1,81338,5211,5383
55,42,2,2012,1,34611,2329,3735
55,44-45,1,2012,1,133205,11797,2550
55,44-45,2,2012,1,154107,12001,1607
55,48-49,1,2012,1,67190,5809,3499
55,48-49,2,2012,1,22166,1575,2523
55,51,1,2012,1,26746,1640,5863
55,51,2,2012,1,21505,1362,3982
55,52,1,2012,1,41573,2271,10137
55,52,2,2012,1,85052,3624,4419
55,53,1,2012,1,12415,1187,3351
55,53,2,2012,1,11364,1108,2326
55,54,1,2012,1,47487,6006,6351
55,54,2,2012,1,49326,5799,3733
55,55,1,2012,1,26038,1865,9785
55,55,2,2012,1,29590,2139,4819
55,56,1,2012,1,70782,25938,2579
55,56,2,2012,1,56556,16501,2036
55,61,1,2012,1,72279,4292,4761
55,61,2,2012,1,149185,7097,3476
55,62,1,2012,1,68430,5767,6478
55,62,2,2012,1,305521,25060,2896
55,71,1,2012,1,18507,2828,2728
55,71,2,2012,1,19356,2622,1359
55,72,1,2012,1,85690,16206,1267
55,72,2,2012,1,119415,20574,998
55,81,1,2012,1,36643,4182,2646
55,81,2,2012,1,49130,5561,1543
55,92,1,2012,1,68289,2784,3913
55,92,2,2012,1,59189,3090,3166
55,00,1,2012,3,1350544,175977,4232
55,00,2,2012,3,1331734,173192,2672
55,11,1,2012,3,16844,3670,2755
55,11,2,2012,3,7555,1969,2025
55,21,1,2012,3,2651,396,5534
55,21,2,2012,3,432,39,4131
55,22,1,2012,3,9437,176,6527
55,22,2,2012,3,3342,99,4435
55,23,1,2012,3,89452,14325,4485
55,23,2,2012,3,14127,1701,2808
55,31-33,1,2012,3,335600,21828,4564
55,31-33,2,2012,3,132010,8496,3338
55,42,1,2012,3,84737,5858,5046
55,42,2,2012,3,35728,2650,3580
55,44-45,1,2012,3,136785,19182,2600
55,44-45,2,2012,3,154439,24687,1675
55,48-49,1,2012,3,68482,7634,3550
55,48-49,2,2012,3,21421,2239,2441
55,51,1,2012,3,28329,2466,5504
55,51,2,2012,3,22185,1783,3823
55,52,1,2012,3,42350,2346,6940
55,52,2,2012,3,84501,4158,3724
55,53,1,2012,3,13890,1812,3284
55,53,2,2012,3,12308,1554,2377
55,54,1,2012,3,49607,6027,6481
55,54,2,2012,3,49162,5151,3710
55,55,1,2012,3,26845,1849,7150
55,55,2,2012,3,30208,2105,4223
55,56,1,2012,3,79364,34443,2601
55,56,2,2012,3,60030,22777,2011
55,61,1,2012,3,58401,7089,3853
55,61,2,2012,3,116062,12214,2638
55,62,1,2012,3,70595,7116,6859
55,62,2,2012,3,310116,30421,2949
55,71,1,2012,3,27978,5527,3385
55,71,2,2012,3,26174,5097,1386
55,72,1,2012,3,96889,25582,1391
55,72,2,2012,3,135682,34735,1110
55,81,1,2012,3,38725,5356,2734
55,81,2,2012,3,50330,7361,1619
55,92,1,2012,3,73583,3295,3781
55,92,2,2012,3,65923,3955,2996
55,00,1,2013,1,1285622,128467,4514
55,00,2,2013,1,1323643,119934,2864
55,11,1,2013,1,14510,1862,2726
55,11,2,2013,1,6746,1085,2050
55,21,1,2013,1,2133,170,4479
55,21,2,2013,1,342,27,3394
55,22,1,2013,1,9065,183,8272
55,22,2,2013,1,3152,104,6402
55,23,1,2013,1,74080,8596,4078
55,23,2,2013,1,12611,1264,2778
55,31-33,1,2013,1,326669,18535,4992
55,31-33,2,2013,1,127996,7096,3613
55,42,1,2013,1,82346,5218,5336
55,42,2,2013,1,34825,2321,3797
55,44-45,1,2013,1,134422,12466,2568
55,44-45,2,2013,1,154704,12977,1637
55,48-49,1,2013,1,67082,5851,3542
55,48-49,2,2013,1,21872,1622,2587
55,51,1,2013,1,26476,1582,5958
55,51,2,2013,1,21247,1305,4175
55,52,1,2013,1,41443,2473,10451
55,52,2,2013,1,83439,3906,4625
55,53,1,2013,1,12522,1487,3431
55,53,2,2013,1,11619,1159,2428
55,54,1,2013,1,47946,5097,6408
55,54,2,2013,1,49866,5651,3819
55,55,1,2013,1,26734,1466,9543
55,55,2,2013,1,31288,1679,4785
55,56,1,2013,1,73266,27686,2604
55,56,2,2013,1,58911,17201,2057
55,61,1,2013,1,72919,4428,4447
55,61,2,2013,1,149862,7336,3361
55,62,1,2013,1,69597,6257,6327
55,62,2,2013,1,308832,25724,2924
55,71,1,2013,1,18345,2623,2856
55,71,2,2013,1,19244,2462,1401
55,72,1,2013,1,88294,16202,1277
55,72,2,2013,1,120955,19630,1008
55,81,1,2013,1,36211,3739,2711
55,81,2,2013,1,47573,4898,1576
55,92,1,2013,1,61562,2546,3744
55,92,2,2013,1,58559,2487,3033
55,00,1,2013,3,1375086,192380,4373
55,00,2,2013,3,1341515,187024,2770
55,11,1,2013,3,17315,3799,2865
55,11,2,2013,3,7991,2059,2153
55,21,1,2013,3,2853,413,5437
55,21,2,2013,3,431,51,4084
55,22,1,2013,3,9339,175,6712
55,22,2,2013,3,3324,82,4575
55,23,1,2013,3,95885,17814,4776
