geography,industry,sex,year,quarter,Emp,HirN,EarnS
54,00,1,2011,1,333367,45909,3934
54,00,2,2011,1,326306,36409,2396
54,11,1,2011,1,1213,205,2414
54,11,2,2011,1,341,78,1791
54,21,1,2011,1,28631,4213,6460
54,21,2,2011,1,1407,213,4342
54,22,1,2011,1,6346,150,6634
54,22,2,2011,1,1382,63,4093
54,23,1,2011,1,28939,5804,3434
54,23,2,2011,1,3207,594,2441
54,31-33,1,2011,1,38500,2917,4516
54,31-33,2,2011,1,9993,759,3410
54,42,1,2011,1,17556,1460,4553
54,42,2,2011,1,5234,434,3186
54,44-45,1,2011,1,38975,5218,2423
54,44-45,2,2011,1,45193,5364,1593
54,48-49,1,2011,1,14763,1926,3899
54,48-49,2,2011,1,3871,328,2981
54,51,1,2011,1,6893,556,4802
54,51,2,2011,1,5135,332,2868
54,52,1,2011,1,5008,551,6806
54,52,2,2011,1,13942,856,2982
54,53,1,2011,1,4266,560,3608
54,53,2,2011,1,2567,298,2113
54,54,1,2011,1,11169,1716,5408
54,54,2,2011,1,13151,1888,2893
54,55,1,2011,1,2913,312,7390
54,55,2,2011,1,2777,311,3210
54,56,1,2011,1,18961,6161,2883
54,56,2,2011,1,12326,3414,1949
54,61,1,2011,1,23121,1192,3666
54,61,2,2011,1,45419,1713,3103
54,62,1,2011,1,24538,2280,4783
54,62,2,2011,1,98331,8641,2539
54,71,1,2011,1,2872,509,1765
54,71,2,2011,1,3420,690,1201
54,72,1,2011,1,27921,7542,1620
54,72,2,2011,1,35534,8456,1198
54,81,1,2011,1,11136,1725,2572
54,81,2,2011,1,8973,1312,1558
54,92,1,2011,1,19644,913,2886
54,92,2,2011,1,14103,663,2467
54,00,1,2011,3,352138,66426,4152
54,00,2,2011,3,332831,53863,2412
54,11,1,2011,3,1279,347,2654
54,11,2,2011,3,359,117,1825
54,21,1,2011,3,30907,5245,6740
54,21,2,2011,3,1583,285,4508
54,22,1,2011,3,6420,182,6218
54,22,2,2011,3,1411,53,3819
54,23,1,2011,3,34872,11588,4187
