geography,industry,sex,year,quarter,Emp,HirN,EarnS
56,00,1,2011,1,135292,19919,4521
56,00,2,2011,1,120795,15057,2561
56,11,1,2011,1,1600,246,2581
56,11,2,2011,1,575,104,1738
56,21,1,2011,1,22844,2877,7320
56,21,2,2011,1,3172,317,4968
56,22,1,2011,1,2232,57,6344
56,22,2,2011,1,481,12,4138
56,23,1,2011,1,15297,3713,3608
56,23,2,2011,1,2680,542,2466
56,31-33,1,2011,1,6830,720,5098
56,31-33,2,2011,1,1875,206,2756
56,42,1,2011,1,6368,732,5133
56,42,2,2011,1,2097,252,2698
56,44-45,1,2011,1,13115,1875,2714
56,44-45,2,2011,1,15083,2044,1743
56,48-49,1,2011,1,6889,1014,4088
56,48-49,2,2011,1,2027,234,2443
56,51,1,2011,1,2274,200,3808
56,51,2,2011,1,2176,165,2275
56,52,1,2011,1,1748,126,7402
56,52,2,2011,1,4919,315,3024
56,53,1,2011,1,2281,379,4265
56,53,2,2011,1,1689,228,2150
56,54,1,2011,1,4365,550,5571
56,54,2,2011,1,4397,791,2829
56,55,1,2011,1,868,56,9581
56,55,2,2011,1,362,35,4822
56,56,1,2011,1,3729,1447,2686
56,56,2,2011,1,2888,902,1877
56,61,1,2011,1,9414,759,4125
56,61,2,2011,1,20447,1076,3006
56,62,1,2011,1,6611,698,5388
56,62,2,2011,1,26081,2701,2824
56,71,1,2011,1,1248,374,1821
56,71,2,2011,1,1510,251,1394
56,72,1,2011,1,12146,2815,1666
56,72,2,2011,1,15312,3721,1283
56,81,1,2011,1,4304,845,3638
56,81,2,2011,1,3856,691,1921
56,92,1,2011,1,11127,437,4063
56,92,2,2011,1,9167,471,3353
56,00,1,2011,3,149532,35626,4738
56,00,2,2011,3,125963,26536,2656
56,11,1,2011,3,2171,360,2768
56,11,2,2011,3,850,175,1913
56,21,1,2011,3,24324,4155,7153
56,21,2,2011,3,3467,501,4810
56,22,1,2011,3,2273,65,7635
56,22,2,2011,3,495,14,4840
56,23,1,2011,3,18798,8570,4340
56,23,2,2011,3,3225,1194,3014
56,31-33,1,2011,3,7474,1067,5592
56,31-33,2,2011,3,2000,377,2932
56,42,1,2011,3,6733,860,5337
56,42,2,2011,3,2255,317,2945
56,44-45,1,2011,3,14154,3544,2980
56,44-45,2,2011,3,16260,4373,1943
56,48-49,1,2011,3,7460,1516,4497
56,48-49,2,2011,3,2161,424,2722
56,51,1,2011,3,2348,254,4191
56,51,2,2011,3,2227,278,2469
56,52,1,2011,3,1725,148,6460
56,52,2,2011,3,4909,454,3071
56,53,1,2011,3,2333,487,4253
56,53,2,2011,3,1779,330,2565
56,54,1,2011,3,4698,738,5894
56,54,2,2011,3,4507,673,3073
56,55,1,2011,3,940,135,7667
56,55,2,2011,3,386,82,4478
56,56,1,2011,3,5170,3000,3106
56,56,2,2011,3,3655,1607,2104
56,61,1,2011,3,8096,1041,3970
56,61,2,2011,3,15786,1711,2567
56,62,1,2011,3,6751,894,6245
56,62,2,2011,3,26160,3477,3138
56,71,1,2011,3,2058,598,2248
56,71,2,2011,3,2114,538,1646
56,72,1,2011,3,15269,6104,1952
56,72,2,2011,3,19609,8231,1542
56,81,1,2011,3,4700,1246,3753
56,81,2,2011,3,4120,922,1968
56,92,1,2011,3,12056,844,4191
56,92,2,2011,3,9998,858,3463
56,00,1,2012,1,139979,22292,4772
56,00,2,2012,1,122558,16376,2675
56,11,1,2012,1,1691,273,2787
56,11,2,2012,1,617,120,1892
56,21,1,2012,1,25047,3252,7809
56,21,2,2012,1,3485,417,5358
56,22,1,2012,1,2190,77,6611
56,22,2,2012,1,473,19,4333
56,23,1,2012,1,15462,4186,3796
56,23,2,2012,1,2847,616,2662
56,31-33,1,2012,1,7355,706,5313
56,31-33,2,2012,1,1962,214,2943
56,42,1,2012,1,6683,795,5408
56,42,2,2012,1,2193,287,2874
56,44-45,1,2012,1,13110,2110,2840
56,44-45,2,2012,1,15290,2298,1834
56,48-49,1,2012,1,7359,1191,4387
56,48-49,2,2012,1,2153,273,2600
56,51,1,2012,1,2206,208,3854
56,51,2,2012,1,2082,171,2282
56,52,1,2012,1,1626,122,7520
56,52,2,2012,1,4783,383,3224
56,53,1,2012,1,2206,340,4470
56,53,2,2012,1,1721,239,2330
56,54,1,2012,1,4418,813,5753
56,54,2,2012,1,4477,811,2969
56,55,1,2012,1,918,77,9123
56,55,2,2012,1,367,45,4665
56,56,1,2012,1,4080,1653,2955
56,56,2,2012,1,3078,909,2083
56,61,1,2012,1,9368,712,4189
56,61,2,2012,1,20310,1140,3022
56,62,1,2012,1,6779,653,5742
56,62,2,2012,1,26224,2716,2994
56,71,1,2012,1,1319,307,1919
56,71,2,2012,1,1565,264,1432
56,72,1,2012,1,12547,3517,1782
56,72,2,2012,1,15782,4321,1360
56,81,1,2012,1,4510,820,3762
56,81,2,2012,1,3891,664,2013
56,92,1,2012,1,11107,478,4162
56,92,2,2012,1,9260,468,3425
56,00,1,2012,3,150810,32437,4650
56,00,2,2012,3,127334,26192,2632
